Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Kevin Durant,81,38.5,32.0,10.5,20.8,50.3,2.4,6.1,39.1,8.7,9.9,87.3,0.7,6.7,7.4,5.5,1.3,0.7,3.5,31.8
Carmelo Anthony,77,38.7,27.4,9.6,21.3,45.2,2.2,5.4,40.2,6.0,7.0,84.8,1.9,6.2,8.1,3.1,1.2,0.7,2.6,25.2
LeBron James,77,37.7,27.1,10.0,17.6,56.7,1.5,4.0,37.9,5.7,7.6,75.0,1.1,5.9,6.9,6.3,1.6,0.3,3.5,29.3
Kevin Love,77,36.3,26.1,8.4,18.5,45.7,2.5,6.6,37.6,6.8,8.2,82.1,2.9,9.6,12.5,4.4,0.8,0.5,2.5,30.2
James Harden,73,38.0,25.4,7.5,16.5,45.6,2.4,6.6,36.6,7.9,9.1,86.6,0.8,3.9,4.7,6.1,1.6,0.4,3.6,24.3
Blake Griffin,80,35.8,24.1,9.0,17.0,52.8,0.2,0.6,27.3,6.0,8.4,71.5,2.4,7.1,9.5,3.9,1.2,0.6,2.8,26.0
Stephen Curry,78,36.5,24.0,8.4,17.7,47.1,3.3,7.9,42.4,3.9,4.5,88.5,0.6,3.7,4.3,8.5,1.6,0.2,3.8,25.0
LaMarcus Aldridge,69,36.2,23.2,9.4,20.6,45.8,0.0,0.2,20.0,4.3,5.2,82.2,2.4,8.7,11.1,2.6,0.9,1.0,1.8,24.9
DeMarcus Cousins,71,32.4,22.7,8.3,16.8,49.6,0.0,0.1,0.0,6.1,8.4,72.6,3.1,8.6,11.7,2.9,1.5,1.3,3.5,25.9
DeMar DeRozan,79,38.2,22.7,7.6,17.8,42.9,0.8,2.7,30.5,6.6,8.0,82.4,0.6,3.7,4.3,4.0,1.1,0.4,2.2,18.6
Al Jefferson,73,35.0,21.8,9.6,18.8,50.9,0.0,0.2,20.0,2.6,3.8,69.0,2.1,8.7,10.8,2.1,0.9,1.1,1.7,24.7
Paul George,80,36.2,21.7,7.2,17.0,42.4,2.3,6.3,36.4,5.0,5.8,86.4,0.8,6.0,6.8,3.5,1.9,0.3,2.8,20.8
Dirk Nowitzki,80,32.9,21.7,7.9,15.9,49.7,1.6,4.1,39.8,4.2,4.7,89.9,0.5,5.7,6.2,2.7,0.9,0.6,1.5,22.2
Kyrie Irving,71,35.2,20.8,7.5,17.4,43.0,1.7,4.8,35.8,4.1,4.8,86.1,0.7,2.9,3.6,6.1,1.5,0.3,2.7,19.1
Anthony Davis,67,35.2,20.8,7.8,15.0,51.9,0.0,0.1,22.2,5.2,6.6,79.1,3.1,7.0,10.0,1.6,1.3,2.8,1.6,26.4
Damian Lillard,82,35.8,20.7,6.7,15.9,42.4,2.7,6.8,39.4,4.5,5.2,87.1,0.4,3.1,3.5,5.6,0.8,0.3,2.4,18.6
Isaiah Thomas,72,34.7,20.3,6.9,15.2,45.3,1.8,5.1,34.9,4.8,5.7,85.0,0.7,2.3,2.9,6.3,1.3,0.1,3.0,18.8
Goran Dragic,76,35.1,20.3,7.3,14.4,50.5,1.6,3.9,40.8,4.2,5.5,76.0,0.9,2.3,3.2,5.9,1.4,0.3,2.8,19.8
Rudy Gay,73,34.7,20.0,7.4,16.2,45.5,0.9,2.7,33.0,4.4,5.3,82.2,1.5,4.4,6.0,2.9,1.3,0.8,3.1,18.1
John Wall,82,36.3,19.3,7.1,16.3,43.3,1.3,3.8,35.1,3.9,4.8,80.5,0.5,3.6,4.1,8.8,1.8,0.5,3.6,20.7
Chris Paul,62,35.0,19.1,6.5,14.0,46.7,1.3,3.4,36.8,4.8,5.6,85.5,0.6,3.7,4.3,10.7,2.5,0.1,2.3,26.0
Kevin Martin,68,32.0,19.1,6.5,15.0,43.0,1.7,4.4,38.7,4.5,5.0,89.1,0.5,2.5,3.0,1.8,1.0,0.1,1.6,14.2
Monta Ellis,82,36.9,19.0,7.0,15.6,45.1,0.8,2.5,33.0,4.1,5.2,78.8,0.5,3.1,3.6,5.7,1.7,0.3,3.2,17.5
Jamal Crawford,69,30.3,18.6,6.1,14.7,41.6,2.3,6.5,36.1,4.0,4.7,86.6,0.5,1.8,2.3,3.2,0.9,0.2,2.0,14.0
Klay Thompson,81,35.4,18.4,6.9,15.5,44.4,2.8,6.6,41.7,1.8,2.3,79.5,0.5,2.6,3.1,2.2,0.9,0.5,1.7,14.3
