Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
George Mikan,68,-,27.4,9.5,23.5,40.7,-,-,-,8.3,10.7,77.9,-,-,-,2.9,-,-,-,14.0
Alex Groza,64,-,23.4,8.1,17.0,47.8,-,-,-,7.1,9.7,72.9,-,-,-,2.5,-,-,-,14.4
Frank Brian,64,-,17.8,5.8,18.1,31.8,-,-,-,6.3,7.6,82.4,-,-,-,3.0,-,-,-,7.1
Kenny Sailors,57,-,17.3,5.8,16.6,34.9,-,-,-,5.8,8.0,72.1,-,-,-,4.0,-,-,-,8.3
Dolph Schayes,64,-,16.8,5.4,14.1,38.5,-,-,-,5.9,7.6,77.4,-,-,-,4.0,-,-,-,10.4
Max Zaslofsky,68,-,16.4,5.8,16.6,35.1,-,-,-,4.7,5.6,84.3,-,-,-,2.3,-,-,-,7.0
Ed Macauley,67,-,16.1,5.2,13.2,39.8,-,-,-,5.7,7.9,71.8,-,-,-,3.0,-,-,-,9.0
Carl Braun,67,-,15.4,5.6,15.3,36.4,-,-,-,4.3,5.6,76.2,-,-,-,3.7,-,-,-,8.0
Ralph Beard,60,-,14.9,5.7,15.6,36.3,-,-,-,3.6,4.7,76.2,-,-,-,3.9,-,-,-,7.8
Jim Pollard,66,-,14.7,6.0,17.3,34.6,-,-,-,2.8,3.7,76.4,-,-,-,3.8,-,-,-,6.4
"Bear, The Body Hoffman",60,-,14.4,5.2,15.2,34.1,-,-,-,4.0,6.1,66.5,-,-,-,2.7,-,-,-,5.1
Dick Mehen,62,-,14.4,5.6,13.3,42.0,-,-,-,3.2,4.5,70.5,-,-,-,3.1,-,-,-,8.4
Fred Schaus,68,-,14.3,5.2,14.6,35.2,-,-,-,4.0,4.9,81.8,-,-,-,2.6,-,-,-,6.5
Joe Fulks,68,-,14.2,4.9,17.8,27.8,-,-,-,4.3,6.2,69.6,-,-,-,0.8,-,-,-,0.3
Bob Davies,64,-,14.0,5.0,13.9,35.7,-,-,-,4.1,5.4,75.2,-,-,-,4.6,-,-,-,8.3
Belus Smawley,61,-,13.7,4.7,13.6,34.5,-,-,-,4.3,5.1,82.8,-,-,-,3.5,-,-,-,7.4
Dillard Crocker,53,-,13.6,4.6,15.8,29.2,-,-,-,4.4,6.0,73.5,-,-,-,1.6,-,-,-,2.4
Vern Gardner,63,-,13.5,5.0,14.5,34.2,-,-,-,3.6,4.7,76.7,-,-,-,1.9,-,-,-,4.8
Noble Jorgensen,54,-,13.0,4.0,11.4,35.3,-,-,-,5.0,6.5,76.6,-,-,-,1.7,-,-,-,5.8
Freddie Scolari,66,-,13.0,4.7,13.8,34.3,-,-,-,3.6,4.3,82.2,-,-,-,2.7,-,-,-,5.8
Thomas Eddleman,64,-,12.9,5.2,14.2,36.6,-,-,-,2.5,4.1,62.3,-,-,-,2.2,-,-,-,4.6
Harry Boykoff,61,-,12.8,4.7,11.4,41.3,-,-,-,3.3,4.3,77.5,-,-,-,2.4,-,-,-,7.5
Max Morris,62,-,12.6,4.1,11.2,36.3,-,-,-,4.5,6.7,66.7,-,-,-,3.1,-,-,-,6.4
Wallace Jones,60,-,12.5,4.4,11.8,37.4,-,-,-,3.7,5.0,75.1,-,-,-,3.2,-,-,-,7.2
Johnny Logan,62,-,12.2,4.0,12.2,33.1,-,-,-,4.1,5.2,78.3,-,-,-,3.9,-,-,-,6.7
Bob Brannum,59,-,12.1,4.0,12.2,32.6,-,-,-,4.2,6.0,69.0,-,-,-,3.5,-,-,-,5.5
Red Rocha,65,-,11.8,4.2,10.4,40.5,-,-,-,3.4,4.8,70.3,-,-,-,2.4,-,-,-,6.6
Harry Gallatin,68,-,11.8,3.9,9.8,39.6,-,-,-,4.1,5.4,75.7,-,-,-,0.8,-,-,-,5.4
Bobby Wanzer,67,-,11.8,3.8,9.2,41.4,-,-,-,4.2,5.2,80.6,-,-,-,3.2,-,-,-,8.6
Bill Closs,64,-,11.8,4.4,14.0,31.5,-,-,-,2.9,4.0,71.8,-,-,-,2.5,-,-,-,3.5
