Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Nate Archibald,80,46.0,34.0,12.9,26.3,48.8,-,-,-,8.3,9.8,84.7,-,-,2.8,11.4,-,-,-,33.2
Kareem Abdul-Jabbar,76,42.8,30.2,12.9,23.3,55.4,-,-,-,4.3,6.1,71.3,-,-,16.1,5.0,-,-,-,39.1
Spencer Haywood,77,42.3,29.2,11.5,24.3,47.6,-,-,-,6.1,7.3,83.9,-,-,12.9,2.5,-,-,-,30.8
Lou Hudson,75,40.4,27.1,10.9,22.8,47.7,-,-,-,5.3,6.4,82.5,-,-,6.2,3.4,-,-,-,23.7
Pete Maravich,79,39.1,26.1,10.0,22.6,44.1,-,-,-,6.1,7.7,80.0,-,-,4.4,6.9,-,-,-,23.2
Charlie Scott,81,37.8,25.3,10.0,22.3,44.6,-,-,-,5.4,6.9,78.4,-,-,4.2,6.1,-,-,-,21.8
Geoff Petrie,79,39.7,24.9,10.6,22.8,46.4,-,-,-,3.8,4.8,77.8,-,-,3.5,4.4,-,-,-,19.5
Gail Goodrich,76,35.5,23.9,9.9,21.3,46.4,-,-,-,4.1,4.9,84.0,-,-,3.5,4.4,-,-,-,19.5
Sidney Wicks,80,39.4,23.8,9.5,21.1,45.2,-,-,-,4.8,6.6,72.3,-,-,10.9,5.5,-,-,-,26.8
Bob Lanier,81,38.9,23.8,10.0,20.4,49.0,-,-,-,3.8,4.9,77.3,-,-,14.9,3.2,-,-,-,30.3
John Havlicek,80,42.1,23.8,9.6,21.3,45.0,-,-,-,4.6,5.4,85.8,-,-,7.1,6.6,-,-,-,25.0
Bob Love,82,37.0,23.1,9.4,21.9,43.1,-,-,-,4.2,5.1,82.4,-,-,6.5,1.5,-,-,-,17.7
Jerry West,69,35.7,22.8,9.0,18.7,47.9,-,-,-,4.9,6.1,80.5,-,-,4.2,8.8,-,-,-,24.9
Dave Bing,82,41.0,22.4,8.4,18.8,44.8,-,-,-,5.6,6.8,81.4,-,-,3.6,7.8,-,-,-,22.2
Rick Barry,82,37.5,22.3,9.0,19.9,45.2,-,-,-,4.4,4.8,90.2,-,-,8.9,4.9,-,-,-,24.7
Elvin Hayes,81,41.3,21.2,8.8,19.8,44.4,-,-,-,3.6,5.4,67.1,-,-,14.5,1.6,-,-,-,24.5
Walt Frazier,78,40.8,21.1,8.7,17.8,49.0,-,-,-,3.7,4.5,81.7,-,-,7.3,5.9,-,-,-,24.4
Austin Carr,82,37.8,20.5,8.6,19.2,44.6,-,-,-,3.4,4.2,82.2,-,-,4.5,3.4,-,-,-,17.1
Dave Cowens,82,41.8,20.5,9.0,20.0,45.2,-,-,-,2.5,3.2,77.9,-,-,16.2,4.1,-,-,-,29.2
Lenny Wilkens,75,39.6,20.5,7.6,17.0,44.9,-,-,-,5.3,6.3,82.8,-,-,4.6,8.4,-,-,-,23.0
Bob Dandridge,73,39.1,20.2,8.7,18.5,47.2,-,-,-,2.7,3.4,78.9,-,-,8.2,2.8,-,-,-,20.7
Neal Walk,81,38.4,20.2,8.4,18.0,46.6,-,-,-,3.4,4.4,78.6,-,-,12.4,3.5,-,-,-,25.6
Fred Carter,81,37.0,20.0,8.4,19.9,42.1,-,-,-,3.2,4.5,70.4,-,-,6.0,4.3,-,-,-,17.4
Chet Walker,79,31.1,19.9,7.6,15.8,47.8,-,-,-,4.8,5.7,83.2,-,-,5.0,2.3,-,-,-,17.9
Phil Chenier,71,39.1,19.7,8.5,18.8,45.2,-,-,-,2.7,3.4,79.5,-,-,4.1,4.2,-,-,-,17.0
Jojo White,82,39.6,19.7,8.7,20.3,43.1,-,-,-,2.2,2.8,78.1,-,-,5.0,6.1,-,-,-,18.6
Rudy Tomjanovich,81,36.7,19.3,8.1,16.9,47.8,-,-,-,3.1,4.1,74.6,-,-,11.6,2.2,-,-,-,23.1
Jim McMillian,81,36.5,18.9,8.1,17.7,45.8,-,-,-,2.8,3.3,84.5,-,-,5.5,2.7,-,-,-,17.1
Jack Marin,81,37.3,18.5,7.7,16.5,46.8,-,-,-,3.1,3.6,84.9,-,-,6.2,3.6,-,-,-,18.9
Dick Van Arsdale,81,36.8,18.4,6.6,13.8,47.6,-,-,-,5.3,6.1,85.9,-,-,4.0,3.3,-,-,-,17.6
Elmore Smith,76,37.2,18.3,7.9,16.4,48.2,-,-,-,2.5,4.4,55.8,-,-,12.4,2.5,-,-,-,22.8
Mike Riordan,82,42.3,18.1,8.0,15.6,51.0,-,-,-,2.2,2.7,82.1,-,-,4.9,5.2,-,-,-,20.1
Bob McAdoo,80,32.0,18.0,7.3,16.2,45.2,-,-,-,3.4,4.4,77.4,-,-,9.1,1.7,-,-,-,19.0
Jimmy Walker,81,38.0,18.0,7.5,16.1,46.5,-,-,-,3.0,3.4,88.4,-,-,3.3,5.5,-,-,-,17.7
Jeff Mullins,81,37.1,17.8,8.0,16.3,49.3,-,-,-,1.8,2.1,83.1,-,-,4.5,4.2,-,-,-,17.9
Bob Kauffman,77,39.6,17.5,6.9,13.8,50.5,-,-,-,3.6,4.7,78.0,-,-,11.1,5.1,-,-,-,25.9
Nate Thurmond,79,43.3,17.1,6.5,14.7,44.6,-,-,-,4.0,5.6,71.8,-,-,17.1,3.5,-,-,-,28.0
Mike Newlin,82,32.4,17.0,6.5,14.7,44.3,-,-,-,4.0,4.5,88.6,-,-,4.1,5.0,-,-,-,17.4
Dave DeBusschere,77,36.7,16.3,6.9,15.9,43.5,-,-,-,2.5,3.4,74.6,-,-,10.2,3.4,-,-,-,20.1
Walt Bellamy,74,37.9,16.1,6.1,12.2,50.5,-,-,-,3.8,7.1,53.8,-,-,13.0,2.4,-,-,-,22.3
Curtis Rowe,81,37.1,16.1,6.8,13.0,51.9,-,-,-,2.6,4.0,64.2,-,-,9.4,2.1,-,-,-,19.9
Bill Bradley,82,36.6,16.1,7.0,15.3,45.9,-,-,-,2.1,2.4,87.1,-,-,3.7,4.5,-,-,-,15.7
Connie Hawkins,75,36.9,16.1,5.9,12.3,47.9,-,-,-,4.3,5.4,79.7,-,-,8.5,4.1,-,-,-,21.2
Cazzie Russell,80,30.4,15.7,6.8,14.8,45.8,-,-,-,2.2,2.5,86.4,-,-,4.4,2.3,-,-,-,14.0
Earl Monroe,75,31.6,15.5,6.6,13.5,48.8,-,-,-,2.3,2.8,82.2,-,-,3.3,3.8,-,-,-,15.2
Oscar Robertson,73,37.5,15.5,6.1,13.5,45.4,-,-,-,3.3,3.8,84.7,-,-,4.9,7.5,-,-,-,20.0
Lucius Allen,80,33.7,15.5,6.8,14.1,48.4,-,-,-,1.8,2.5,71.5,-,-,3.5,5.3,-,-,-,16.3
Randy Smith,82,31.7,14.8,6.2,14.1,44.3,-,-,-,2.3,3.2,72.7,-,-,4.8,5.1,-,-,-,16.0
John Johnson,82,34.3,14.4,6.0,13.9,43.0,-,-,-,2.4,3.3,73.4,-,-,6.7,3.8,-,-,-,16.1
Herm Gilliam,76,36.1,14.0,6.2,13.3,46.8,-,-,-,1.6,2.0,82.0,-,-,5.3,6.3,-,-,-,18.2
Norm Van Lier,80,36.0,13.9,5.9,13.3,44.5,-,-,-,2.1,2.6,78.7,-,-,5.5,7.1,-,-,-,18.6
Dick Snyder,82,37.3,13.8,5.8,12.5,46.3,-,-,-,2.3,2.6,86.1,-,-,3.9,3.8,-,-,-,14.5
Sam Lacey,79,37.1,13.5,6.0,12.6,47.4,-,-,-,1.6,2.3,70.8,-,-,11.8,2.4,-,-,-,20.4
Fred Brown,79,29.4,13.5,6.0,13.1,45.5,-,-,-,1.5,1.9,81.8,-,-,4.0,5.5,-,-,-,15.5
Lloyd Neal,82,33.2,13.4,5.5,11.2,49.4,-,-,-,2.3,3.6,63.8,-,-,11.8,1.8,-,-,-,20.0
