Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Elgin Baylor,13,43.2,32.6,12.3,27.8,44.2,-,-,-,8.0,9.7,82.5,-,-,13.6,4.5,-,-,-,33.5
Bob Pettit,11,42.1,31.8,10.8,23.5,45.9,-,-,-,10.2,13.1,77.8,-,-,15.1,3.0,-,-,-,34.3
Oscar Robertson,12,47.5,31.8,10.3,22.0,47.0,-,-,-,11.1,12.8,86.4,-,-,13.0,9.0,-,-,-,40.3
Jerry West,13,41.4,27.8,11.1,22.0,50.3,-,-,-,5.7,7.7,74.0,-,-,8.2,4.7,-,-,-,27.8
Lee Shaffer,5,34.6,27.2,11.2,23.4,47.9,-,-,-,4.8,6.0,80.0,-,-,4.6,1.2,-,-,-,19.6
Tom Heinsohn,13,31.8,24.7,9.5,20.8,45.6,-,-,-,5.8,7.5,76.5,-,-,8.9,1.2,-,-,-,21.7
Sam Jones,13,34.6,23.8,9.2,19.1,48.4,-,-,-,5.3,6.4,83.1,-,-,6.2,2.5,-,-,-,21.5
Hal Greer,5,42.8,23.4,8.8,17.4,50.6,-,-,-,5.8,7.0,82.9,-,-,5.4,4.2,-,-,-,23.2
Don Ohl,4,38.8,21.3,8.3,20.8,39.8,-,-,-,4.8,5.5,86.4,-,-,3.0,4.8,-,-,-,15.8
Jack Twyman,12,34.2,20.8,7.7,17.1,44.9,-,-,-,5.4,6.4,84.4,-,-,8.2,2.5,-,-,-,21.0
Bill Russell,13,47.5,20.3,7.4,16.3,45.3,-,-,-,5.5,8.4,66.1,-,-,25.1,5.1,-,-,-,38.7
Dave DeBusschere,4,39.8,20.0,6.3,14.8,42.4,-,-,-,7.5,11.0,68.2,-,-,15.8,1.5,-,-,-,25.3
Cliff Hagan,11,23.2,18.5,7.5,16.3,46.4,-,-,-,3.4,4.8,69.8,-,-,5.0,3.1,-,-,-,16.4
Bailey Howell,4,40.8,17.8,6.0,16.0,37.5,-,-,-,5.8,6.8,85.2,-,-,10.5,2.8,-,-,-,20.0
Dick Barnett,13,28.5,16.8,5.5,11.6,47.0,-,-,-,5.9,7.5,79.4,-,-,2.9,1.6,-,-,-,13.7
Wayne Embry,12,32.8,16.8,6.3,14.1,45.0,-,-,-,4.1,6.2,66.2,-,-,13.5,1.3,-,-,-,21.8
Ray Scott,4,38.8,15.8,6.8,19.3,35.1,-,-,-,2.3,3.3,69.2,-,-,12.0,2.3,-,-,-,16.5
Chet Walker,5,26.0,15.2,5.4,10.6,50.9,-,-,-,4.4,6.0,73.3,-,-,9.4,1.8,-,-,-,19.6
Rudy LaRusso,13,35.8,14.4,5.0,11.8,42.2,-,-,-,4.4,5.8,76.0,-,-,9.8,2.2,-,-,-,18.1
Bob Cousy,13,30.2,14.1,5.5,15.7,35.3,-,-,-,3.0,3.6,83.0,-,-,2.5,8.9,-,-,-,14.7
Lenny Wilkens,11,36.4,13.7,5.2,14.0,37.0,-,-,-,3.4,4.5,75.5,-,-,6.3,6.3,-,-,-,16.4
Johnny Kerr,5,37.4,13.6,5.2,12.0,43.3,-,-,-,3.2,4.2,76.2,-,-,15.0,1.8,-,-,-,22.6
Bob Boozer,12,31.8,13.3,4.8,11.5,41.3,-,-,-,3.8,5.3,71.4,-,-,8.0,1.5,-,-,-,14.5
Bob Ferry,4,35.8,12.0,5.0,11.3,44.4,-,-,-,2.0,6.0,33.3,-,-,8.8,2.8,-,-,-,13.3
Arlen Bockhorn,12,33.9,11.3,4.7,11.3,41.5,-,-,-,1.9,2.6,74.2,-,-,3.8,3.3,-,-,-,11.0
Tom Hawkins,12,22.0,10.5,3.8,7.6,50.5,-,-,-,2.8,3.9,72.3,-,-,6.8,1.9,-,-,-,14.3
Zelmo Beaty,11,27.9,10.3,3.9,8.8,44.3,-,-,-,2.5,3.3,75.0,-,-,7.6,1.0,-,-,-,13.2
Dolph Schayes,5,21.6,10.2,4.0,8.8,45.5,-,-,-,2.2,2.4,91.7,-,-,5.6,1.4,-,-,-,12.2
Larry Costello,5,26.8,10.2,3.2,7.4,43.2,-,-,-,3.8,4.6,82.6,-,-,0.8,4.6,-,-,-,10.6
Charles Vaughn,11,28.5,10.0,4.2,8.7,47.9,-,-,-,1.6,2.5,66.7,-,-,2.8,2.8,-,-,-,10.3
Thomas Sanders,13,29.8,9.8,4.0,9.2,43.7,-,-,-,1.8,2.4,77.4,-,-,7.4,1.5,-,-,-,13.0
Bill Bridges,11,18.5,9.3,3.7,8.7,42.7,-,-,-,1.8,2.5,74.1,-,-,7.8,0.8,-,-,-,12.3
Frank Ramsey,13,19.3,8.3,2.8,8.0,35.6,-,-,-,2.6,3.6,72.3,-,-,2.7,0.9,-,-,-,5.8
Jackie Moreland,4,20.5,8.3,3.3,6.5,50.0,-,-,-,1.8,2.5,70.0,-,-,5.0,1.5,-,-,-,10.8
