Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Kevin Durant,11,44.1,30.8,10.2,22.4,45.5,2.0,6.4,31.4,8.5,10.2,83.0,0.6,8.4,9.0,6.3,1.3,1.1,3.9,30.6
Carmelo Anthony,12,40.1,28.8,10.5,25.8,40.6,1.4,4.8,29.8,6.4,7.3,88.5,0.9,5.7,6.6,1.6,1.1,0.2,2.6,19.5
James Harden,6,40.5,26.3,7.5,19.2,39.1,2.5,7.3,34.1,8.8,11.0,80.3,0.8,5.8,6.7,4.5,2.0,1.0,4.5,22.2
LeBron James,23,41.7,25.9,9.2,18.8,49.1,1.6,4.2,37.5,5.9,7.6,77.7,1.6,6.8,8.4,6.6,1.8,0.8,3.0,29.2
Stephen Curry,12,41.4,23.4,8.5,19.6,43.4,3.5,8.8,39.6,2.9,3.2,92.1,0.4,3.4,3.8,8.1,1.7,0.2,3.3,22.5
Chris Paul,6,37.3,22.8,8.2,15.3,53.3,1.0,3.2,31.6,5.5,6.2,89.2,0.5,3.5,4.0,6.3,1.8,0.0,1.5,25.7
Brook Lopez,7,37.6,22.3,8.3,17.6,47.2,0.1,0.1,100,5.6,6.3,88.6,4.1,3.3,7.4,1.4,0.9,3.0,2.3,22.7
Ty Lawson,6,39.3,21.3,8.0,18.2,44.0,0.7,3.5,19.0,4.7,5.5,84.8,0.8,2.5,3.3,8.0,1.7,0.0,2.2,21.2
Deron Williams,7,41.7,20.6,6.4,15.1,42.5,2.4,6.1,39.5,5.3,6.4,82.2,0.1,3.0,3.1,8.4,1.0,0.6,3.0,20.9
Tony Parker,21,36.4,20.6,8.0,17.4,45.8,0.5,1.5,35.5,4.1,5.3,77.7,0.7,2.6,3.2,7.0,1.1,0.1,2.5,18.9
Jeff Green,6,43.0,20.3,6.2,14.2,43.5,1.7,3.7,45.5,6.3,7.5,84.4,1.0,4.3,5.3,2.3,0.3,0.7,3.2,16.7
Paul George,19,41.1,19.2,6.3,14.6,43.0,1.8,5.5,32.7,4.9,6.7,72.7,0.8,6.6,7.4,5.1,1.3,0.5,3.9,19.4
Paul Pierce,6,42.5,19.2,6.5,17.7,36.8,1.8,6.8,26.8,4.3,4.8,89.7,0.7,5.0,5.7,5.3,0.8,0.5,5.3,14.5
Chandler Parsons,6,39.7,18.2,7.0,15.5,45.2,2.7,6.7,40.0,1.5,2.3,64.3,1.2,5.3,6.5,3.7,0.2,0.3,3.0,16.5
Tim Duncan,21,35.0,18.1,7.2,15.3,47.0,0.0,0.0,0.0,3.8,4.7,80.6,2.6,7.6,10.2,1.9,0.9,1.6,2.0,21.7
Andre Iguodala,6,40.5,18.0,6.3,12.7,50.0,2.3,4.8,48.3,3.0,4.2,72.0,1.5,6.5,8.0,5.3,2.0,0.3,2.8,23.3
Zach Randolph,15,36.9,17.4,6.6,14.3,46.0,0.0,0.1,0.0,4.2,6.3,67.0,3.9,6.1,10.0,1.6,0.7,0.5,2.1,18.3
Marc Gasol,15,40.6,17.2,6.2,13.7,45.4,0.0,0.0,0.0,4.8,6.0,80.0,1.7,6.8,8.5,3.2,0.9,2.2,1.2,22.1
Jarrett Jack,12,35.5,17.2,6.5,12.8,50.6,0.6,2.0,29.2,3.6,4.0,89.6,0.6,3.8,4.4,4.7,0.9,0.3,3.2,17.6
Dwight Howard,4,31.5,17.0,6.5,10.5,61.9,0.0,0.0,0.0,4.0,9.0,44.4,2.5,8.3,10.8,1.0,0.5,2.0,4.0,18.3
