Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Kareem Abdul-Jabbar,11,46.4,28.7,12.6,28.9,43.7,-,-,-,3.5,4.9,70.4,-,-,18.2,5.1,-,-,-,34.3
Pete Maravich,6,36.5,27.7,9.0,20.2,44.6,-,-,-,9.7,11.8,81.7,-,-,5.3,4.7,-,-,-,24.3
John Havlicek,11,47.0,27.4,9.8,21.4,46.0,-,-,-,7.7,9.0,85.9,-,-,8.4,6.4,-,-,-,29.3
Nate Thurmond,5,46.0,25.4,10.6,24.4,43.4,-,-,-,4.2,5.6,75.0,-,-,17.8,5.2,-,-,-,33.2
Lou Hudson,6,44.3,25.0,10.5,23.2,45.3,-,-,-,4.0,4.8,82.8,-,-,5.5,3.5,-,-,-,20.5
Walt Frazier,16,44.0,24.3,9.3,17.3,53.6,-,-,-,5.8,7.8,73.6,-,-,7.0,6.1,-,-,-,27.3
Gail Goodrich,15,38.3,23.8,8.7,19.5,44.5,-,-,-,6.5,7.2,89.8,-,-,2.5,3.3,-,-,-,18.1
Jojo White,11,39.3,23.5,9.9,20.0,49.5,-,-,-,3.6,4.4,83.3,-,-,5.4,5.3,-,-,-,23.3
Jerry West,15,40.5,22.9,8.5,22.7,37.6,-,-,-,5.9,7.1,83.0,-,-,4.9,8.9,-,-,-,21.4
Jim Barnett,5,39.4,21.6,7.8,18.2,42.9,-,-,-,6.0,8.2,73.2,-,-,4.0,5.2,-,-,-,18.2
Bob Dandridge,11,40.1,21.5,9.1,18.4,49.5,-,-,-,3.4,4.5,74.0,-,-,8.8,1.9,-,-,-,21.8
Jim McMillian,15,41.6,19.1,7.5,16.9,44.7,-,-,-,4.0,4.7,85.7,-,-,5.7,1.5,-,-,-,16.2
Bob Love,4,43.3,18.8,8.0,22.3,36.0,-,-,-,2.8,3.3,84.6,-,-,6.8,1.8,-,-,-,12.5
Jerry Lucas,16,46.1,18.6,7.4,14.9,50.0,-,-,-,3.7,4.4,83.1,-,-,10.8,5.3,-,-,-,26.5
Walt Bellamy,6,41.2,18.5,7.0,14.3,48.8,-,-,-,4.5,7.2,62.8,-,-,13.7,1.8,-,-,-,24.0
Lucius Allen,11,35.1,17.9,7.1,15.1,47.0,-,-,-,3.7,4.9,75.9,-,-,3.5,3.8,-,-,-,16.0
Jack Marin,6,38.2,17.2,5.2,13.0,39.7,-,-,-,6.8,7.8,87.2,-,-,6.0,2.0,-,-,-,16.3
Dave DeBusschere,16,38.5,16.6,6.8,15.1,45.0,-,-,-,3.0,4.0,75.0,-,-,12.1,2.3,-,-,-,21.7
Bill Bradley,16,37.1,16.2,6.6,14.2,46.7,-,-,-,2.9,3.5,83.9,-,-,2.9,3.4,-,-,-,14.4
Jerry Sloan,4,42.5,15.8,6.5,16.0,40.6,-,-,-,2.8,4.8,57.9,-,-,8.8,2.5,-,-,-,15.5
Dave Cowens,11,40.1,15.5,6.5,14.2,45.5,-,-,-,2.5,4.3,59.6,-,-,13.8,3.0,-,-,-,22.8
Clifford Ray,4,40.3,15.3,6.8,12.8,52.9,-,-,-,1.8,2.3,77.8,-,-,16.5,4.0,-,-,-,29.3
Jeff Mullins,5,40.6,14.8,6.2,14.4,43.1,-,-,-,2.4,2.6,92.3,-,-,4.8,5.8,-,-,-,17.0
Wilt Chamberlain,15,46.9,14.7,5.3,9.5,56.3,-,-,-,4.0,8.1,49.2,-,-,21.0,3.3,-,-,-,30.7
Cazzie Russell,5,32.2,14.2,6.2,12.6,49.2,-,-,-,1.8,2.4,75.0,-,-,4.4,1.8,-,-,-,13.4
Bob Weiss,4,29.8,13.8,6.0,12.3,49.0,-,-,-,1.8,2.0,87.5,-,-,3.3,3.0,-,-,-,13.5
Happy Hairston,15,38.5,13.5,4.9,11.2,44.0,-,-,-,3.6,4.5,79.4,-,-,13.1,2.1,-,-,-,21.5
Don Nelson,11,28.0,13.2,4.7,9.0,52.5,-,-,-,3.7,4.4,85.4,-,-,5.5,1.9,-,-,-,15.7
Oscar Robertson,11,34.5,13.1,5.2,12.7,40.7,-,-,-,2.7,3.3,83.3,-,-,5.8,7.5,-,-,-,18.4
Wes Unseld,6,44.3,12.3,5.3,10.8,49.2,-,-,-,1.7,3.2,52.6,-,-,12.5,4.2,-,-,-,22.0
Steve Kuberski,11,19.8,11.6,4.4,7.9,55.2,-,-,-,2.9,3.5,84.2,-,-,5.7,0.3,-,-,-,13.5
Chet Walker,4,24.3,11.3,4.0,9.5,42.1,-,-,-,3.3,4.0,81.3,-,-,3.5,1.0,-,-,-,9.5
Herm Gilliam,6,28.8,11.0,4.7,11.8,39.4,-,-,-,1.7,1.8,90.9,-,-,5.0,5.5,-,-,-,14.2
Joe Ellis,5,22.6,10.8,4.2,12.6,33.3,-,-,-,2.4,3.4,70.6,-,-,4.2,0.8,-,-,-,6.4
Phil Jackson,16,20.0,9.8,3.6,7.5,47.5,-,-,-,2.6,3.6,73.7,-,-,5.1,0.9,-,-,-,10.9
Phil Chenier,6,25.5,9.0,3.7,9.8,37.3,-,-,-,1.7,2.0,83.3,-,-,2.7,0.8,-,-,-,6.0
Don Chaney,11,24.6,8.8,3.7,7.4,50.6,-,-,-,1.4,1.8,75.0,-,-,3.5,2.0,-,-,-,10.3
