Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Michael Jordan,21,41.5,32.4,11.6,25.0,46.2,0.6,2.0,30.2,8.6,10.6,81.2,1.6,3.5,5.1,3.5,1.5,0.6,2.1,25.5
Shaquille O'Neal,13,38.5,30.5,12.2,19.8,61.2,0.0,0.0,0.0,6.2,12.2,50.3,3.7,6.5,10.2,2.9,0.5,2.6,3.3,29.6
Karl Malone,20,39.8,26.3,9.9,21.0,47.1,0.0,0.2,0.0,6.5,8.3,78.8,2.4,8.5,10.9,3.4,1.1,1.0,3.0,26.8
Shawn Kemp,4,38.0,26.0,8.3,17.8,46.5,0.0,0.0,0.0,9.5,11.3,84.4,4.0,6.3,10.3,2.0,1.3,1.0,4.0,25.3
Tim Hardaway,5,44.4,26.0,8.4,18.8,44.7,3.4,7.8,43.6,5.8,7.4,78.4,0.6,2.8,3.4,6.6,1.2,0.0,3.6,21.6
Steven Smith,4,40.0,24.8,9.8,17.0,57.4,2.5,5.0,50.0,2.8,4.0,68.8,0.5,2.3,2.8,2.3,0.5,0.8,1.3,21.3
Gary Payton,10,42.8,24.0,8.7,18.3,47.5,1.9,5.0,38.0,4.7,5.0,94.0,0.9,2.5,3.4,7.0,1.8,0.1,2.6,23.8
Glen Rice,9,41.0,22.8,9.1,19.2,47.4,1.2,4.0,30.6,3.3,4.0,83.3,1.2,4.4,5.7,1.4,0.6,0.3,1.4,18.6
Allan Houston,10,40.3,21.1,7.6,17.5,43.4,0.9,2.3,39.1,5.0,5.8,86.2,0.6,3.2,3.8,2.8,0.5,0.1,3.2,14.4
Tim Duncan,9,41.6,20.7,8.1,15.6,52.1,0.0,0.1,0.0,4.4,6.7,66.7,2.2,6.8,9.0,1.9,0.6,2.6,2.8,22.2
Hakeem Olajuwon,5,38.0,20.4,7.8,19.8,39.4,0.0,0.2,0.0,4.8,6.6,72.7,1.8,9.0,10.8,2.4,1.0,3.2,2.6,21.4
Reggie Miller,16,39.3,19.9,6.1,14.4,42.6,2.4,5.9,40.0,5.3,5.9,90.4,0.3,1.4,1.8,2.0,1.2,0.2,1.7,14.6
David Robinson,9,39.2,19.4,6.3,14.9,42.5,0.0,0.0,0.0,6.8,10.7,63.5,4.6,9.6,14.1,2.6,1.2,3.3,2.8,25.4
Isaiah Rider,4,41.5,19.3,7.0,16.8,41.8,0.3,2.8,9.1,5.0,6.5,76.9,1.8,3.3,5.0,4.3,1.3,0.0,4.0,14.5
Sherman Douglas,3,41.7,18.3,7.7,14.7,52.3,0.7,1.7,40.0,2.3,3.3,70.0,0.3,2.3,2.7,8.3,2.0,0.0,4.3,19.0
Antonio McDyess,4,36.8,17.8,7.8,16.3,47.7,0.0,0.0,0.0,2.3,3.5,64.3,4.5,8.8,13.3,1.0,0.5,1.5,1.3,23.0
Damon Stoudamire,4,41.5,17.8,6.3,15.8,39.7,2.0,5.5,36.4,3.3,3.3,100,1.5,2.8,4.3,9.5,1.3,0.3,4.0,19.5
Avery Johnson,9,38.0,17.3,6.8,11.2,60.4,0.0,0.2,0.0,3.8,5.7,66.7,0.3,1.1,1.4,6.1,1.0,0.0,2.3,17.2
Zydrunas Ilgauskas,4,36.8,17.3,7.0,12.3,57.1,0.0,0.0,0.0,3.3,6.3,52.0,3.5,4.0,7.5,0.5,0.5,1.3,2.5,16.3
Eddie Jones,13,36.6,17.0,5.3,11.4,46.6,1.5,3.7,41.7,4.8,5.8,82.9,0.9,3.0,3.9,2.5,2.0,1.6,1.3,18.6
Scottie Pippen,21,39.8,16.8,5.8,14.0,41.5,0.9,3.8,22.8,4.3,6.4,67.9,2.3,4.8,7.1,5.2,2.1,1.0,2.4,19.6
Rik Smits,16,29.8,16.6,6.6,13.1,50.2,0.0,0.1,0.0,3.4,4.0,85.9,1.1,4.3,5.3,1.3,0.5,0.9,1.3,16.1
John Starks,10,31.4,16.4,5.9,12.5,47.2,2.5,5.9,42.4,2.1,2.4,87.5,0.4,3.6,4.0,2.3,1.6,0.1,1.1,16.4
Kerry Kittles,3,42.0,16.3,5.7,13.3,42.5,1.7,4.3,38.5,3.3,3.7,90.9,0.0,5.0,5.0,2.7,1.3,0.7,2.3,15.7
Anthony Peeler,5,42.6,16.2,6.2,15.4,40.3,3.0,6.2,48.4,0.8,0.8,100,3.2,4.4,7.6,3.6,2.0,0.6,1.6,19.2
Detlef Schrempf,10,37.5,16.1,6.4,12.5,51.2,0.2,1.4,14.3,3.1,3.8,81.6,1.8,5.9,7.7,3.9,0.7,0.1,2.2,19.5
Kevin Garnett,5,38.8,15.8,7.2,15.0,48.0,0.0,0.0,0.0,1.4,1.8,77.8,3.4,6.2,9.6,4.0,0.8,2.4,4.4,20.0
Terry Porter,5,37.6,15.8,5.4,12.6,42.9,2.0,5.0,40.0,3.0,3.6,83.3,1.4,3.6,5.0,3.2,1.0,0.0,0.8,16.4
Vin Baker,10,37.1,15.8,7.1,13.4,53.0,0.0,0.0,0.0,1.6,3.8,42.1,4.1,5.3,9.4,1.8,1.8,1.5,2.2,19.6
Anthony Mason,9,40.8,15.4,6.3,11.0,57.6,0.0,0.1,0.0,2.8,4.7,59.5,1.9,6.0,7.9,3.4,0.9,0.0,2.4,18.7
Chris Gatling,3,27.0,15.3,6.3,12.7,50.0,0.0,0.0,0.0,2.7,4.0,66.7,2.0,1.3,3.3,0.7,0.7,0.7,1.0,12.0
Clyde Drexler,5,36.4,15.0,4.2,13.6,30.9,1.0,5.2,19.2,5.6,7.4,75.7,1.8,3.6,5.4,4.6,1.6,0.6,2.6,13.4
Mookie Blaylock,4,38.3,14.8,5.5,13.3,41.5,2.0,6.8,29.6,1.8,3.0,58.3,1.5,3.5,5.0,8.3,2.3,0.3,2.3,19.3
Rasheed Wallace,4,39.3,14.5,5.8,11.8,48.9,1.0,1.3,80.0,2.0,4.0,50.0,1.8,3.0,4.8,2.8,0.5,0.5,1.3,13.8
Sam Mitchell,5,35.4,14.4,5.2,11.6,44.8,0.6,2.8,21.4,3.4,3.8,89.5,1.4,4.0,5.4,1.6,0.2,0.2,1.0,14.0
Voshon Lenard,5,37.2,14.4,4.8,10.4,46.2,1.8,5.2,34.6,3.0,4.0,75.0,0.2,3.6,3.8,1.4,0.2,0.4,2.2,11.4
Kendall Gill,3,33.3,14.3,6.0,13.3,45.0,0.0,0.0,0.0,2.3,2.7,87.5,1.0,3.3,4.3,1.0,1.3,0.3,1.3,12.3
George McCloud,4,31.5,14.3,5.3,10.3,51.2,3.0,5.3,57.1,0.8,1.0,75.0,0.5,4.3,4.8,2.0,0.3,0.3,1.5,14.8
Jason Kidd,4,42.8,14.3,5.5,14.5,37.9,0.0,1.8,0.0,3.3,4.0,81.3,1.3,4.5,5.8,7.8,4.0,0.5,3.0,19.5
Stephon Marbury,5,41.8,13.8,4.4,14.4,30.6,1.4,5.0,28.0,3.6,4.6,78.3,1.0,2.2,3.2,7.6,2.4,0.0,3.6,12.4
Kevin Johnson,4,30.5,13.8,5.8,10.5,54.8,0.3,1.0,25.0,2.0,3.0,66.7,0.5,1.8,2.3,4.8,0.5,0.3,1.5,14.3
Hersey Hawkins,10,33.7,13.4,4.1,8.8,46.6,1.7,4.3,39.5,3.5,4.0,87.5,1.7,4.0,5.7,3.6,1.8,0.1,0.9,18.5
Brian Grant,4,33.8,13.3,4.8,9.0,52.8,0.0,0.0,0.0,3.8,4.5,83.3,4.5,6.3,10.8,1.5,1.0,0.8,1.3,21.0
