Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Tracy McGrady,4,44.5,30.8,10.5,22.8,46.2,1.3,4.0,31.3,8.5,11.5,73.9,1.5,4.8,6.3,5.5,0.5,1.8,3.3,26.3
Allen Iverson,5,41.8,30.0,9.0,23.6,38.1,1.8,5.4,33.3,10.2,12.6,81.0,0.2,3.4,3.6,4.2,2.6,0.0,2.4,21.0
Shaquille O'Neal,19,40.8,28.5,10.7,20.2,52.9,0.0,0.0,0.0,7.1,10.9,64.9,3.5,9.1,12.6,2.8,0.5,2.5,3.3,30.3
Dirk Nowitzki,8,44.6,28.4,9.1,20.5,44.5,2.0,3.5,57.1,8.1,9.3,87.8,2.1,11.0,13.1,2.3,2.0,0.8,2.8,31.3
Tim Duncan,9,42.2,27.6,9.1,20.1,45.3,0.1,0.3,33.3,9.2,11.2,82.2,3.1,11.3,14.4,5.0,0.7,4.3,4.1,34.9
Kobe Bryant,19,43.8,26.6,9.8,22.7,43.4,1.2,3.1,37.9,5.8,7.6,75.9,1.5,4.4,5.8,4.6,1.4,0.9,2.8,21.8
Rasheed Wallace,3,41.7,25.3,9.3,23.0,40.6,2.3,5.7,41.2,4.3,5.3,81.3,3.3,9.0,12.3,1.7,0.7,0.7,0.7,25.3
Michael Finley,8,46.6,24.6,8.6,18.5,46.6,1.8,4.6,37.8,5.6,6.3,90.0,1.6,4.6,6.3,2.3,1.5,0.5,1.9,22.8
Paul Pierce,16,42.0,24.6,7.6,18.9,40.3,1.9,6.5,28.8,7.5,9.8,76.4,1.7,6.9,8.6,4.1,1.7,1.3,3.8,22.8
Kevin Garnett,3,43.3,24.0,8.0,18.7,42.9,0.3,0.7,50.0,7.7,10.7,71.9,5.3,13.3,18.7,5.0,1.7,1.7,4.0,33.3
Chris Webber,16,41.7,23.7,10.0,19.9,50.2,0.0,0.3,0.0,3.7,6.2,59.6,3.1,7.8,10.8,4.7,0.9,1.6,2.9,26.3
Reggie Miller,5,39.6,23.6,8.4,16.6,50.6,2.6,6.2,41.9,4.2,4.8,87.5,0.0,3.2,3.2,2.8,1.6,0.2,2.8,19.8
Baron Davis,9,44.6,22.6,7.9,20.9,37.8,2.3,6.9,33.9,4.4,7.4,59.7,1.8,5.2,7.0,7.9,3.6,0.6,3.0,22.6
Gary Payton,5,41.4,22.2,9.0,21.2,42.5,0.8,3.0,26.7,3.4,5.8,58.6,2.0,6.6,8.6,5.8,0.6,0.4,2.6,20.4
Antoine Walker,16,43.9,22.1,8.2,19.9,41.1,2.6,6.8,38.5,3.1,4.0,78.1,1.4,7.2,8.6,3.3,1.5,0.4,3.4,19.8
Chauncey Billups,3,44.7,22.0,7.7,17.0,45.1,2.0,5.0,40.0,4.7,6.7,70.0,0.3,4.7,5.0,5.7,1.0,0.3,3.0,19.7
Mike Bibby,16,41.3,20.3,7.1,16.1,44.4,1.6,3.7,42.4,4.4,5.4,82.6,0.9,2.9,3.8,5.0,1.4,0.2,2.3,18.4
Karl Malone,4,40.8,20.0,7.5,18.3,41.1,0.0,0.3,0.0,5.0,7.0,71.4,0.8,6.8,7.5,4.5,1.3,0.8,2.8,18.5
Wally Szczerbiak,3,43.7,20.0,7.0,14.7,47.7,0.7,3.0,22.2,5.3,6.0,88.9,3.0,4.0,7.0,2.0,0.7,0.0,2.7,18.7
Jason Kidd,20,40.2,19.6,7.4,17.7,41.5,0.9,4.5,18.9,4.0,5.0,80.8,2.1,6.1,8.2,9.1,1.7,0.4,3.4,24.3
Steve Nash,8,40.4,19.5,6.4,14.8,43.2,2.5,5.6,44.4,4.3,4.4,97.1,0.9,3.1,4.0,8.8,0.5,0.0,3.8,20.5
Jerry Stackhouse,10,36.1,17.6,5.3,16.5,32.1,1.8,5.3,34.0,5.2,6.3,82.5,0.9,3.4,4.3,4.3,0.6,0.6,2.7,12.4
Jermaine O'Neal,5,38.4,17.2,6.8,15.2,44.7,0.0,0.2,0.0,3.6,4.8,75.0,1.2,6.4,7.6,1.0,0.8,1.6,2.8,15.8
Antonio Davis,5,40.4,17.0,6.8,15.0,45.3,0.0,0.0,0.0,3.4,5.6,60.7,3.2,7.4,10.6,1.4,0.4,1.0,2.0,18.0
Kenyon Martin,20,37.5,16.8,6.5,15.2,42.4,0.1,0.5,22.2,3.8,5.5,69.1,1.5,4.3,5.8,2.9,1.2,1.3,2.6,14.9
Scottie Pippen,3,33.0,16.3,6.0,13.0,46.2,2.0,3.7,54.5,2.3,2.7,87.5,2.7,6.7,9.3,5.7,1.3,0.7,3.3,22.7
David Wesley,9,41.9,15.8,5.8,14.3,40.3,1.9,4.2,44.7,2.3,2.6,91.3,0.3,1.6,1.9,3.4,1.1,0.2,2.3,11.3
Tony Parker,10,34.1,15.5,6.2,13.6,45.6,1.0,2.7,37.0,2.1,2.8,75.0,0.5,2.4,2.9,4.0,0.9,0.1,2.2,13.1
Darrell Armstrong,4,39.5,15.3,5.0,10.5,47.6,1.0,4.3,23.5,4.3,5.3,81.0,0.8,2.0,2.8,3.3,1.3,0.0,1.8,14.3
Derek Anderson,3,25.3,14.7,4.3,10.0,43.3,0.7,2.0,33.3,5.3,6.0,88.9,1.0,1.3,2.3,2.3,0.7,0.0,2.0,11.7
Donyell Marshall,4,31.0,14.3,5.3,12.5,42.0,0.8,1.5,50.0,3.0,4.0,75.0,3.5,4.3,7.8,2.8,0.8,1.5,1.3,17.5
Elden Campbell,9,28.2,13.6,5.4,12.2,44.5,0.0,0.1,0.0,2.7,3.8,70.6,1.6,5.1,6.7,1.8,0.7,2.6,1.9,15.4
Vlade Divac,16,33.4,13.5,4.4,9.4,46.4,0.1,0.4,28.6,4.6,6.1,75.5,2.9,6.4,9.3,1.7,1.1,1.3,2.3,18.0
Keon Clark,5,34.8,13.4,5.2,9.6,54.2,0.0,0.0,0.0,3.0,3.2,93.8,2.8,5.2,8.0,1.6,0.4,1.6,2.8,17.6
Corliss Williamson,10,26.9,13.3,5.2,11.2,46.4,0.0,0.2,0.0,2.9,3.8,76.3,1.9,3.4,5.3,1.0,0.9,0.2,2.2,11.6
Keith Van Horn,20,32.2,13.3,4.9,12.1,40.2,1.9,4.2,44.0,1.8,2.5,71.4,1.6,5.1,6.7,2.1,1.0,0.5,1.8,13.8
Clifford Robinson,10,40.9,13.2,4.5,12.4,36.3,1.8,5.3,34.0,2.4,3.0,80.0,0.5,2.5,3.0,2.9,1.8,1.9,2.1,12.2
Vin Baker,5,28.8,13.2,5.8,11.6,50.0,0.2,0.2,100,1.4,1.8,77.8,2.2,2.8,5.0,0.8,0.6,1.2,0.8,13.8
Malik Rose,10,29.2,12.9,4.6,9.6,47.9,0.0,0.1,0.0,3.7,5.0,74.0,2.7,5.2,7.9,1.4,1.0,0.5,1.2,16.2
Derrick Coleman,5,38.2,12.8,4.4,8.4,52.4,0.8,2.6,30.8,3.2,4.0,80.0,3.0,6.2,9.2,2.0,0.2,1.4,1.0,19.8
Troy Hudson,4,26.5,12.8,4.5,12.0,37.5,0.0,1.3,0.0,3.8,4.0,93.8,0.0,1.0,1.0,1.5,0.0,0.0,2.0,5.5
John Stockton,4,35.3,12.5,4.5,10.0,45.0,0.5,1.8,28.6,3.0,3.3,92.3,0.8,3.3,4.0,10.0,2.8,0.3,2.0,21.8
Bonzi Wells,3,35.3,12.3,4.7,12.7,36.8,0.0,2.3,0.0,3.0,4.3,69.2,1.3,2.7,4.0,4.3,2.0,0.3,3.7,10.0
Jamaal Magloire,8,21.0,12.3,2.8,5.0,55.0,0.0,0.0,0.0,6.8,8.9,76.1,2.1,3.5,5.6,0.6,0.0,1.9,2.1,13.9
Kerry Kittles,20,29.0,12.1,4.7,10.8,43.5,0.9,3.4,26.5,1.8,2.3,77.8,1.0,2.2,3.2,2.3,1.6,0.5,0.9,12.1
Alvin Williams,5,39.2,12.0,4.8,15.0,32.0,0.6,2.8,21.4,1.8,2.2,81.8,0.4,4.4,4.8,5.6,1.2,0.4,1.6,11.8
Kenny Anderson,16,35.0,12.0,5.1,12.3,41.6,0.0,0.0,0.0,1.8,2.2,80.0,0.8,2.3,3.1,4.8,1.3,0.0,1.8,11.8
Chris Childs,5,32.6,11.8,4.2,10.8,38.9,1.6,3.4,47.1,1.8,2.0,90.0,0.4,3.4,3.8,7.4,0.8,0.0,4.0,13.0
Desmond Mason,5,41.0,11.8,4.8,11.4,42.1,0.2,0.6,33.3,2.0,3.4,58.8,1.0,5.2,6.2,1.8,0.8,0.4,1.0,12.0
Metta World Peace,5,33.4,11.8,4.4,10.8,40.7,1.2,2.6,46.2,1.8,2.6,69.2,1.2,4.8,6.0,3.2,2.6,0.6,1.8,15.2
Rasho Nesterovic,3,30.7,11.3,5.0,10.3,48.4,0.0,0.0,0.0,1.3,3.0,44.4,2.0,4.7,6.7,1.0,0.3,0.0,1.3,11.0
Chucky Atkins,10,29.4,11.3,4.3,11.8,36.4,1.4,3.9,35.9,1.3,1.7,76.5,0.5,1.9,2.4,3.4,0.6,0.1,1.4,8.5
Raef LaFrentz,8,30.6,11.3,4.9,9.8,50.0,0.8,2.3,33.3,0.8,1.4,54.5,2.3,5.4,7.6,0.6,0.3,2.8,0.8,16.3
Brad Miller,5,36.0,11.2,4.0,8.8,45.5,0.0,0.0,0.0,3.2,4.0,80.0,3.4,6.4,9.8,1.4,0.8,0.4,1.4,16.6
Nick Van Exel,8,33.0,11.1,4.6,12.6,36.6,0.9,4.3,20.6,1.0,1.5,66.7,0.9,2.1,3.0,3.9,1.0,0.0,1.5,9.0
Doug Christie,16,40.3,11.1,3.4,8.3,40.9,1.1,4.0,26.6,3.3,4.1,80.0,1.2,4.6,5.8,4.9,2.1,0.6,2.8,15.9
