Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Bob Cousy,3,46.0,31.0,8.7,21.7,40.0,-,-,-,13.7,14.7,93.2,-,-,4.0,6.3,-,-,-,27.3
Paul Arizin,3,40.0,25.7,8.0,17.7,45.3,-,-,-,9.7,11.0,87.9,-,-,12.7,2.7,-,-,-,30.0
George Mikan,13,42.5,23.6,7.6,20.1,37.9,-,-,-,8.4,10.6,79.0,-,-,15.9,2.8,-,-,-,27.6
Ed Macauley,3,43.0,23.3,9.0,16.3,55.1,-,-,-,5.3,6.3,84.2,-,-,11.0,3.7,-,-,-,29.7
Joe Graboski,2,48.0,23.0,9.5,24.0,39.6,-,-,-,4.0,7.5,53.3,-,-,11.5,1.5,-,-,-,18.0
Dolph Schayes,7,35.4,20.3,5.9,13.0,45.1,-,-,-,8.6,11.1,76.9,-,-,12.9,2.1,-,-,-,25.6
Bob Davies,6,38.8,19.8,6.2,15.3,40.2,-,-,-,7.5,9.2,81.8,-,-,2.2,4.7,-,-,-,15.8
Bobby Wanzer,6,41.5,18.8,5.5,12.8,42.9,-,-,-,7.8,8.2,95.9,-,-,6.3,3.2,-,-,-,20.7
Red Rocha,7,39.4,17.0,5.9,13.6,43.2,-,-,-,5.3,7.3,72.5,-,-,6.9,1.4,-,-,-,15.6
Max Zaslofsky,14,36.1,16.2,4.9,13.2,37.3,-,-,-,6.4,7.9,80.9,-,-,3.1,1.6,-,-,-,11.2
Paul Walther,2,42.5,16.0,4.0,8.0,50.0,-,-,-,8.0,9.0,88.9,-,-,3.5,3.0,-,-,-,17.5
Connie Simmons,14,30.5,15.9,5.5,11.9,46.4,-,-,-,4.9,6.4,76.4,-,-,7.7,0.9,-,-,-,16.6
Arnie Risen,6,38.2,15.7,5.5,13.5,40.7,-,-,-,4.7,6.7,70.0,-,-,12.5,1.5,-,-,-,19.7
Fred Schaus,2,45.0,15.5,6.0,17.5,34.3,-,-,-,3.5,4.0,87.5,-,-,7.5,7.0,-,-,-,18.0
Leo Barnhorst,2,42.5,15.5,7.0,17.0,41.2,-,-,-,1.5,3.5,42.9,-,-,4.5,4.0,-,-,-,12.0
Larry Foust,2,38.5,15.0,6.0,11.5,52.2,-,-,-,3.0,3.5,85.7,-,-,15.0,2.5,-,-,-,26.5
George Senesky,3,40.0,14.3,6.0,11.0,54.5,-,-,-,2.3,3.7,63.6,-,-,4.0,3.7,-,-,-,15.7
Vern Mikkelsen,13,38.2,13.3,4.6,10.7,43.2,-,-,-,4.1,4.9,82.8,-,-,8.5,1.5,-,-,-,16.4
Jack Kerris,2,31.5,12.5,3.5,10.0,35.0,-,-,-,5.5,10.0,55.0,-,-,9.0,4.5,-,-,-,15.0
Paul Seymour,7,38.6,12.1,3.6,8.6,41.7,-,-,-,5.0,6.1,81.4,-,-,3.7,3.6,-,-,-,13.3
Bob Lavoy,2,39.0,12.0,4.5,13.5,33.3,-,-,-,3.0,4.0,75.0,-,-,10.0,2.0,-,-,-,14.0
Andy Phillip,3,40.7,11.7,2.7,6.3,42.1,-,-,-,6.3,8.0,79.2,-,-,4.7,7.3,-,-,-,18.3
Frank Saul,13,17.8,11.3,4.3,8.2,52.8,-,-,-,2.7,3.8,71.4,-,-,2.0,2.3,-,-,-,10.7
Chuck Cooper,3,42.7,11.0,2.7,8.3,32.0,-,-,-,5.7,6.3,89.5,-,-,5.3,1.3,-,-,-,11.3
Ernie Vandeweghe,14,29.6,10.8,3.6,8.4,43.2,-,-,-,3.5,4.3,81.7,-,-,4.9,1.9,-,-,-,12.1
Harry Gallatin,14,33.6,10.8,3.6,8.7,41.0,-,-,-,3.6,4.7,77.3,-,-,9.6,1.4,-,-,-,15.5
Wally Osterkorn,7,35.6,10.6,3.3,9.6,34.3,-,-,-,4.0,6.7,59.6,-,-,8.1,2.9,-,-,-,12.6
Dick McGuire,14,39.0,10.4,3.4,7.6,44.9,-,-,-,3.5,6.1,57.0,-,-,5.1,6.4,-,-,-,15.0
Jack Coleman,6,41.2,9.8,4.0,9.8,40.7,-,-,-,1.8,3.0,61.1,-,-,12.2,5.8,-,-,-,20.8
