Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Elgin Baylor,13,43.9,38.6,14.3,32.7,43.8,-,-,-,10.0,12.9,77.4,-,-,17.7,3.6,-,-,-,38.6
Wilt Chamberlain,12,48.0,35.0,13.5,28.9,46.7,-,-,-,8.0,12.6,63.6,-,-,26.6,3.1,-,-,-,44.7
Jerry West,13,42.8,31.5,11.1,23.8,46.5,-,-,-,9.3,11.5,80.7,-,-,6.8,4.4,-,-,-,27.6
Oscar Robertson,4,46.3,28.8,10.5,20.3,51.9,-,-,-,7.8,9.8,79.5,-,-,11.0,11.0,-,-,-,39.0
Paul Arizin,12,38.3,23.2,7.9,21.1,37.5,-,-,-,7.3,8.5,86.3,-,-,6.7,2.2,-,-,-,17.7
Bill Russell,14,48.0,22.4,8.3,18.1,45.8,-,-,-,5.9,8.1,72.6,-,-,26.4,5.0,-,-,-,41.9
Tom Heinsohn,14,31.8,20.7,8.3,20.8,39.9,-,-,-,4.1,5.4,76.3,-,-,8.2,2.4,-,-,-,17.6
Sam Jones,14,36.0,20.6,8.8,19.8,44.4,-,-,-,3.0,4.3,70.0,-,-,7.1,3.1,-,-,-,18.5
Tom Meschery,12,42.3,20.1,7.4,18.7,39.7,-,-,-,5.3,6.1,86.3,-,-,11.5,2.7,-,-,-,22.2
Bailey Howell,10,37.8,20.0,6.9,16.3,42.3,-,-,-,6.2,7.5,82.7,-,-,9.6,2.3,-,-,-,21.2
Jack Twyman,4,37.3,19.0,8.5,19.5,43.6,-,-,-,2.0,2.0,100,-,-,7.3,3.0,-,-,-,18.3
Lee Shaffer,5,34.8,18.8,7.0,19.8,35.4,-,-,-,4.8,6.2,77.4,-,-,11.0,1.4,-,-,-,17.0
Bob Boozer,4,35.8,18.3,8.0,14.3,56.1,-,-,-,2.3,3.0,75.0,-,-,10.5,0.8,-,-,-,22.5
Johnny Kerr,5,38.6,17.6,8.2,21.8,37.6,-,-,-,1.2,1.6,75.0,-,-,16.0,2.0,-,-,-,21.6
