Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Lou Hudson,6,42.5,29.7,12.7,27.7,45.8,-,-,-,4.3,4.8,89.7,-,-,7.8,2.8,-,-,-,24.8
Pete Maravich,6,39.0,26.2,10.8,25.8,41.9,-,-,-,4.5,5.7,79.4,-,-,4.8,6.7,-,-,-,21.5
Elvin Hayes,5,45.6,25.8,10.6,21.0,50.5,-,-,-,4.6,6.6,69.7,-,-,11.4,1.0,-,-,-,25.8
Jojo White,13,44.8,24.5,10.4,23.1,45.0,-,-,-,3.8,4.2,90.7,-,-,4.9,6.4,-,-,-,22.8
John Havlicek,12,39.9,23.8,9.3,19.6,47.7,-,-,-,5.1,6.2,82.4,-,-,5.2,5.4,-,-,-,23.0
Bob Love,7,44.9,23.7,9.7,21.1,45.9,-,-,-,4.3,5.9,73.2,-,-,9.6,3.3,-,-,-,23.6
Jerry West,17,37.5,23.6,8.9,19.8,44.9,-,-,-,5.8,7.5,78.0,-,-,4.5,7.8,-,-,-,23.3
Kareem Abdul-Jabbar,6,46.0,22.8,9.8,23.0,42.8,-,-,-,3.2,5.8,54.3,-,-,16.2,2.8,-,-,-,26.0
Walt Frazier,17,45.0,21.9,8.8,17.2,51.4,-,-,-,4.3,5.5,77.7,-,-,7.3,6.2,-,-,-,25.9
Dave Cowens,13,46.0,21.9,9.9,21.0,47.3,-,-,-,2.1,3.2,65.9,-,-,16.6,3.7,-,-,-,30.1
Archie Clark,5,42.8,21.2,9.2,18.4,50.0,-,-,-,2.8,3.6,77.8,-,-,3.4,5.2,-,-,-,19.8
Oscar Robertson,6,42.7,21.2,8.0,16.0,50.0,-,-,-,5.2,5.7,91.2,-,-,4.7,7.5,-,-,-,24.8
Jim McMillian,17,37.1,20.1,8.4,18.1,46.6,-,-,-,3.2,4.4,73.3,-,-,4.8,2.2,-,-,-,16.2
Gail Goodrich,17,35.5,20.0,8.2,18.2,44.8,-,-,-,3.6,4.6,78.5,-,-,3.6,3.9,-,-,-,16.5
Phil Chenier,5,42.2,17.8,8.6,17.0,50.6,-,-,-,0.6,0.8,75.0,-,-,4.2,3.4,-,-,-,16.8
Chet Walker,7,32.7,16.7,6.0,17.3,34.7,-,-,-,4.7,5.3,89.2,-,-,8.9,2.0,-,-,-,15.7
Rick Barry,11,26.5,16.4,5.9,14.9,39.6,-,-,-,4.5,5.0,90.9,-,-,4.9,2.2,-,-,-,14.0
Earl Monroe,16,31.5,16.1,6.9,13.2,52.6,-,-,-,2.3,3.0,75.0,-,-,3.2,3.2,-,-,-,15.5
Lucius Allen,6,33.8,15.7,6.0,14.8,40.4,-,-,-,3.7,4.7,78.6,-,-,2.7,3.5,-,-,-,12.0
Dave DeBusschere,17,37.2,15.6,6.9,15.6,44.2,-,-,-,1.8,2.4,77.5,-,-,10.5,3.4,-,-,-,20.3
Jeff Mullins,11,37.2,15.0,6.5,15.3,42.9,-,-,-,1.9,2.6,72.4,-,-,4.2,3.9,-,-,-,13.6
Mike Riordan,5,46.2,15.0,5.6,12.4,45.2,-,-,-,3.8,4.8,79.2,-,-,3.6,3.0,-,-,-,13.8
Jerry Sloan,7,41.7,14.9,6.4,14.7,43.7,-,-,-,2.0,2.7,73.7,-,-,8.4,2.0,-,-,-,16.3
Cazzie Russell,11,23.9,14.8,6.5,13.4,49.0,-,-,-,1.7,2.0,86.4,-,-,3.3,1.5,-,-,-,12.5
Nate Thurmond,11,41.8,14.5,5.8,14.6,39.8,-,-,-,2.9,3.6,80.0,-,-,13.2,3.6,-,-,-,21.8
Norm Van Lier,7,36.9,14.4,6.4,18.4,34.9,-,-,-,1.6,2.1,73.3,-,-,5.3,5.1,-,-,-,12.3
Bill Bradley,17,34.5,14.0,5.8,13.0,44.8,-,-,-,2.4,2.9,80.0,-,-,3.4,2.6,-,-,-,12.2
Bob Dandridge,6,34.0,13.8,5.3,12.7,42.1,-,-,-,3.2,4.5,70.4,-,-,4.7,1.2,-,-,-,11.0
Walt Bellamy,6,41.2,13.7,5.7,14.3,39.5,-,-,-,2.3,5.2,45.2,-,-,12.2,2.2,-,-,-,16.5
Jim Barnett,11,30.5,13.0,5.5,13.4,40.8,-,-,-,2.1,2.5,85.2,-,-,3.5,3.5,-,-,-,11.8
Willis Reed,17,28.6,12.5,5.7,12.2,46.6,-,-,-,1.1,1.2,85.7,-,-,7.6,1.8,-,-,-,15.1
Bob Weiss,7,25.0,12.0,4.9,11.3,43.0,-,-,-,2.3,3.0,76.2,-,-,2.3,2.1,-,-,-,9.3
Herm Gilliam,6,32.8,11.8,5.5,13.5,40.7,-,-,-,0.8,0.8,100,-,-,5.3,5.2,-,-,-,14.3
Don Nelson,13,23.3,11.0,3.6,7.8,46.5,-,-,-,3.8,4.3,87.5,-,-,2.9,1.2,-,-,-,10.4
