Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Bob Pettit,10,43.0,29.8,9.8,23.7,41.4,-,-,-,10.2,13.3,76.7,-,-,16.8,2.5,-,-,-,32.1
George Yardley,2,42.5,28.5,12.0,26.5,45.3,-,-,-,4.5,5.5,81.8,-,-,9.5,4.0,-,-,-,26.5
Clyde Lovellette,5,36.2,24.2,10.2,23.6,43.2,-,-,-,3.8,5.2,73.1,-,-,9.4,2.2,-,-,-,21.0
Tom Heinsohn,10,37.0,22.9,9.0,23.1,39.0,-,-,-,4.9,6.9,71.0,-,-,11.7,2.0,-,-,-,20.5
Larry Foust,2,32.0,22.5,6.5,11.5,56.5,-,-,-,9.5,11.5,82.6,-,-,12.5,3.0,-,-,-,31.0
Bob Leonard,5,40.8,21.4,8.4,20.0,42.0,-,-,-,4.6,5.2,88.5,-,-,6.0,7.6,-,-,-,22.8
Dolph Schayes,5,43.0,21.4,5.8,19.0,30.5,-,-,-,9.8,11.0,89.1,-,-,18.0,2.8,-,-,-,27.8
Bill Sharman,10,37.7,21.1,7.5,19.7,38.1,-,-,-,6.1,6.4,95.3,-,-,3.5,2.9,-,-,-,15.0
Bob Cousy,10,44.0,20.2,6.7,20.7,32.4,-,-,-,6.8,9.1,74.7,-,-,6.1,9.3,-,-,-,19.3
Neil Johnston,2,42.0,19.0,8.5,26.5,32.1,-,-,-,2.0,3.0,66.7,-,-,17.5,4.5,-,-,-,22.0
Vern Mikkelsen,5,32.4,17.6,6.6,16.6,39.8,-,-,-,4.4,6.8,64.7,-,-,8.6,3.4,-,-,-,17.2
Joe Graboski,2,45.5,17.5,6.5,20.0,32.5,-,-,-,4.5,5.5,81.8,-,-,11.0,2.0,-,-,-,16.0
Cliff Hagan,10,31.9,17.0,6.2,14.3,43.4,-,-,-,4.6,6.3,73.0,-,-,11.2,2.8,-,-,-,21.2
Slater Martin,10,43.9,16.6,5.5,15.5,35.5,-,-,-,5.6,7.4,75.7,-,-,4.2,4.9,-,-,-,13.9
Gene Shue,2,39.5,16.0,7.0,13.5,51.9,-,-,-,2.0,2.0,100,-,-,3.5,4.0,-,-,-,17.0
Ernie Beck,2,44.5,15.5,7.0,19.0,36.8,-,-,-,1.5,1.5,100,-,-,5.0,2.5,-,-,-,11.0
Ed Conlin,5,32.8,15.4,5.6,14.2,39.4,-,-,-,4.2,5.4,77.8,-,-,3.4,3.0,-,-,-,12.0
Johnny Kerr,5,32.4,15.2,5.6,13.0,43.1,-,-,-,4.0,5.8,69.0,-,-,13.8,1.2,-,-,-,21.0
Ed Macauley,10,29.7,14.2,4.4,10.9,40.4,-,-,-,5.4,7.4,73.0,-,-,6.2,2.2,-,-,-,14.1
Bill Russell,10,40.9,13.9,5.4,14.8,36.5,-,-,-,3.1,6.1,50.8,-,-,24.4,3.2,-,-,-,29.1
Walter Dukes,5,35.4,13.6,4.8,11.4,42.1,-,-,-,4.0,5.4,74.1,-,-,14.8,1.0,-,-,-,21.4
Dick Garmaker,5,37.4,13.0,3.8,13.8,27.5,-,-,-,5.4,6.4,84.4,-,-,7.0,3.4,-,-,-,12.4
Ed Kalafat,5,20.8,12.6,4.2,7.2,58.3,-,-,-,4.2,6.2,67.7,-,-,4.8,1.8,-,-,-,14.2
George Dempsey,2,37.0,12.5,4.5,10.5,42.9,-,-,-,3.5,8.0,43.8,-,-,7.5,6.0,-,-,-,15.5
Jack McMahon,10,37.5,12.4,5.2,13.7,38.0,-,-,-,2.0,3.6,55.6,-,-,3.8,5.7,-,-,-,11.8
Frank Ramsey,10,22.9,12.2,3.8,8.2,46.3,-,-,-,4.6,5.9,78.0,-,-,4.3,1.7,-,-,-,12.5
Mel Hutchins,2,34.0,11.5,4.5,15.0,30.0,-,-,-,2.5,3.5,71.4,-,-,11.5,5.0,-,-,-,16.5
Bob Houbregs,2,19.0,11.0,3.5,8.5,41.2,-,-,-,4.0,5.5,72.7,-,-,3.0,1.5,-,-,-,9.0
Chuck Noble,2,22.5,10.5,5.0,13.0,38.5,-,-,-,0.5,1.0,50.0,-,-,1.5,2.0,-,-,-,5.5
Charlie Share,10,16.8,9.2,3.1,7.2,43.1,-,-,-,3.0,5.0,60.0,-,-,6.3,0.6,-,-,-,10.0
Jack Coleman,10,31.3,9.2,3.6,11.3,31.9,-,-,-,2.0,3.4,58.8,-,-,8.8,3.3,-,-,-,12.2
Jack George,2,31.5,9.0,3.5,7.5,46.7,-,-,-,2.0,3.0,66.7,-,-,3.5,3.0,-,-,-,10.5
Togo Palazzi,5,17.4,9.0,3.8,9.8,38.8,-,-,-,1.4,1.8,77.8,-,-,3.6,1.0,-,-,-,7.2
Jim Loscutoff,10,25.9,8.0,3.1,10.9,28.4,-,-,-,1.8,2.8,64.3,-,-,8.3,0.5,-,-,-,8.0
Arnie Risen,10,15.2,7.5,2.8,6.3,44.4,-,-,-,1.9,2.9,65.5,-,-,5.8,0.8,-,-,-,9.6
Bill Thieben,2,14.0,7.0,3.0,3.5,85.7,-,-,-,1.0,3.0,33.3,-,-,3.0,1.5,-,-,-,9.0
Al Bianchi,5,19.4,6.4,2.4,7.6,31.6,-,-,-,1.6,2.4,66.7,-,-,3.0,1.6,-,-,-,5.0
Bob Harrison,5,26.6,6.4,2.4,9.0,26.7,-,-,-,1.6,1.8,88.9,-,-,2.6,3.0,-,-,-,5.2
Earl Lloyd,5,16.6,6.2,2.4,6.0,40.0,-,-,-,1.4,2.2,63.6,-,-,4.2,1.0,-,-,-,7.0
Walt Davis,2,18.5,6.0,2.0,6.5,30.8,-,-,-,2.0,2.0,100,-,-,7.0,0.5,-,-,-,9.0
Bob Hopkins,5,14.6,5.6,1.8,5.0,36.0,-,-,-,2.0,3.0,66.7,-,-,3.8,0.4,-,-,-,5.6
Dick Schnittker,5,16.6,5.4,1.2,4.2,28.6,-,-,-,3.0,3.4,88.2,-,-,2.4,1.6,-,-,-,6.0
Chuck Mencel,5,19.6,5.0,1.8,7.2,25.0,-,-,-,1.4,1.8,77.8,-,-,2.6,1.2,-,-,-,3.0
Jim Paxson,5,10.8,5.0,1.8,5.4,33.3,-,-,-,1.4,2.8,50.0,-,-,2.8,0.6,-,-,-,3.4
Paul Arizin,2,11.0,4.5,1.5,4.0,37.5,-,-,-,1.5,2.5,60.0,-,-,4.0,0.5,-,-,-,5.5
Medford Park,10,18.3,4.4,1.4,4.9,28.6,-,-,-,1.6,2.2,72.7,-,-,3.3,1.2,-,-,-,4.8
Paul Seymour,5,19.6,4.2,1.6,7.4,21.6,-,-,-,1.0,1.2,83.3,-,-,2.0,1.6,-,-,-,1.8
Joe Holup,5,17.6,4.0,1.2,5.6,21.4,-,-,-,1.6,2.4,66.7,-,-,4.0,0.2,-,-,-,3.0
Jack Nichols,10,11.7,3.5,1.6,4.0,40.0,-,-,-,0.3,0.5,60.0,-,-,1.7,0.7,-,-,-,3.3
Larry Costello,2,8.0,3.0,1.5,4.0,37.5,-,-,-,0.0,0.5,0.0,-,-,2.5,1.0,-,-,-,3.5
Andy Phillip,10,12.8,2.2,0.8,2.2,36.4,-,-,-,0.6,1.5,40.0,-,-,2.0,1.7,-,-,-,3.6
Bill Kenville,2,15.0,2.0,1.0,6.5,15.4,-,-,-,0.0,0.5,0.0,-,-,0.5,2.5,-,-,-,-1.0
Red Rocha,2,9.0,2.0,0.0,2.5,0.0,-,-,-,2.0,3.0,66.7,-,-,3.0,0.0,-,-,-,1.5
Lew Hitch,2,1.5,1.0,0.0,0.5,0.0,-,-,-,1.0,1.0,100,-,-,1.0,0.0,-,-,-,1.5
