Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Bernard King,12,39.8,34.8,13.5,23.5,57.4,0.0,0.1,0.0,7.8,10.3,75.6,2.3,3.8,6.2,3.0,1.2,0.5,2.6,30.5
Adrian Dantley,11,41.3,32.2,10.6,21.1,50.4,0.0,0.0,0.0,10.9,12.6,86.3,3.4,4.2,7.5,4.2,0.9,0.1,3.5,29.3
Alex English,5,40.6,29.0,12.0,20.4,58.8,0.0,0.2,0.0,5.0,5.6,89.3,3.2,4.8,8.0,5.6,0.6,0.4,1.4,33.2
Larry Bird,23,41.8,27.5,10.0,19.0,52.4,0.3,0.7,41.2,7.3,8.3,87.9,2.7,8.3,11.0,5.9,2.3,1.2,3.8,34.0
Dan Issel,5,30.6,27.4,10.4,20.4,51.0,0.2,0.4,50.0,6.4,7.8,82.1,2.0,6.0,8.0,1.6,1.2,1.2,3.0,25.0
Kelly Tripucka,5,41.6,27.4,9.6,20.4,47.1,0.0,0.2,0.0,8.2,10.2,80.4,2.0,2.6,4.6,3.0,2.2,0.0,3.6,20.8
Kiki Vandeweghe,5,36.0,25.4,9.8,19.2,51.0,0.4,1.0,40.0,5.4,5.6,96.4,1.2,3.4,4.6,4.0,1.8,1.0,2.0,25.2
Walter Davis,17,36.6,24.9,10.3,19.2,53.5,0.2,0.6,27.3,4.1,4.6,89.7,0.9,1.8,2.7,6.4,1.7,0.2,2.5,23.9
Jeff Ruland,4,46.8,24.0,9.3,17.8,52.1,0.0,0.3,0.0,5.5,6.8,81.5,4.0,8.8,12.8,7.8,0.5,0.8,4.8,31.3
Kareem Abdul-Jabbar,21,36.5,23.9,9.8,17.7,55.5,0.0,0.0,0.0,4.3,5.7,75.0,2.7,5.6,8.2,3.8,1.1,2.1,2.1,27.7
Rolando Blackman,10,39.7,23.9,9.3,17.5,53.1,0.0,0.0,0.0,5.3,6.3,84.1,1.5,2.6,4.1,4.0,0.6,0.4,2.4,21.4
Gus Williams,5,43.0,23.4,10.0,19.6,51.0,0.4,1.2,33.3,3.0,4.2,71.4,0.4,2.0,2.4,11.4,1.6,0.6,2.8,25.8
Jim Paxson,5,34.4,22.8,8.0,15.6,51.3,0.2,1.0,20.0,6.6,8.0,82.5,2.2,1.6,3.8,2.4,0.4,0.0,1.8,18.6
Jack Sikma,5,38.6,22.0,9.8,19.6,50.0,0.0,0.2,0.0,2.4,2.8,85.7,2.2,8.0,10.2,1.0,0.6,1.4,1.8,23.2
Mark Aguirre,10,35.0,22.0,8.8,18.4,47.8,0.0,0.5,0.0,4.4,5.7,77.2,2.1,5.5,7.6,3.2,0.5,0.5,2.7,20.2
Isiah Thomas,5,39.6,21.4,7.8,16.6,47.0,0.4,1.2,33.3,5.4,7.0,77.1,1.4,2.4,3.8,11.0,2.6,1.2,4.6,25.0
Moses Malone,5,42.4,21.4,7.6,16.6,45.8,0.0,0.0,0.0,6.2,6.4,96.9,4.0,9.8,13.8,1.4,0.6,2.2,4.2,26.0
Andrew Toney,5,36.0,20.6,8.0,15.4,51.9,0.0,1.0,0.0,4.6,6.0,76.7,1.0,1.2,2.2,3.8,0.8,0.2,5.0,13.8
Marques Johnson,16,37.8,20.3,8.1,17.1,47.3,0.1,0.3,25.0,4.1,5.6,72.2,1.8,3.5,5.3,3.4,1.1,0.4,2.7,17.2
Calvin Natt,5,39.0,19.8,7.4,14.4,51.4,0.0,0.6,0.0,5.0,7.2,69.4,2.2,5.4,7.6,1.8,1.2,0.2,2.0,19.4
Dominique Wilkins,5,39.4,19.2,7.0,16.8,41.7,0.0,0.2,0.0,5.2,6.2,83.9,4.2,4.0,8.2,2.2,2.4,0.2,3.0,18.4
Darrell Griffith,11,37.9,19.2,7.4,16.6,44.3,1.5,4.1,35.6,3.0,4.4,68.8,1.5,4.5,5.9,3.7,1.7,0.2,2.8,17.3
Sidney Moncrief,16,38.6,19.1,6.2,11.9,51.8,0.1,0.3,25.0,6.6,8.4,79.1,2.8,4.2,6.9,4.3,1.8,0.6,3.8,21.3
Darnell Valentine,5,35.6,18.4,6.0,12.0,50.0,0.0,0.0,0.0,6.4,7.0,91.4,0.6,1.6,2.2,8.4,1.8,0.2,2.2,22.2
Darryl Dawkins,11,30.9,18.4,6.0,10.7,55.9,0.0,0.3,0.0,6.4,7.5,84.3,2.0,4.2,6.2,1.2,0.5,0.9,2.9,18.3
Julius Erving,5,38.8,18.2,7.2,15.2,47.4,0.0,0.2,0.0,3.8,4.4,86.4,1.8,4.6,6.4,5.0,1.6,1.2,4.2,19.6
Magic Johnson,21,39.9,18.2,7.2,13.0,55.1,0.0,0.3,0.0,3.8,4.8,80.0,1.2,5.4,6.6,13.5,2.0,1.0,3.8,30.7
James Worthy,21,33.7,17.7,7.8,13.0,59.9,0.0,0.1,50.0,2.0,3.3,60.9,1.7,3.3,5.0,2.7,1.3,0.5,1.9,18.8
Bill Cartwright,12,33.2,17.4,5.8,10.5,55.6,0.0,0.0,0.0,5.8,6.7,86.3,2.3,6.0,8.3,0.4,0.2,1.2,2.2,19.7
Maurice Lucas,17,33.5,17.4,6.8,13.4,51.1,0.0,0.0,0.0,3.7,4.6,80.8,2.5,7.5,9.9,3.6,0.7,0.5,1.7,22.9
Dan Roundfield,5,38.2,17.2,6.0,13.8,43.5,0.2,0.2,100,5.0,7.0,71.4,2.4,6.4,8.8,1.6,0.4,1.4,3.8,15.8
Eddie Johnson,3,35.7,17.0,7.0,16.0,43.8,0.7,1.7,40.0,2.3,2.3,100,1.3,2.0,3.3,4.0,1.0,0.3,0.7,16.0
Larry Nance,17,37.2,16.9,6.9,11.8,59.0,0.0,0.0,0.0,3.0,4.5,67.1,3.0,5.7,8.7,2.4,0.9,2.0,1.8,22.8
Micheal Ray Richardson,11,40.3,16.8,6.3,15.4,40.8,0.5,2.0,27.3,3.7,5.1,73.2,1.8,3.1,4.9,7.2,3.1,0.4,2.7,19.2
Maurice Cheeks,5,34.2,16.6,7.0,13.4,52.2,0.0,0.2,0.0,2.6,3.0,86.7,0.4,2.0,2.4,3.8,2.6,0.0,2.0,16.6
Dennis Johnson,22,36.7,16.6,5.9,14.5,40.4,0.1,0.3,42.9,4.7,5.5,86.7,1.4,2.2,3.6,4.4,1.1,0.3,2.4,14.3
Greg Ballard,4,42.0,16.5,6.8,14.8,45.8,0.0,0.3,0.0,3.0,3.3,92.3,1.8,4.3,6.0,3.5,1.8,0.8,2.0,18.3
Mike Woodson,3,29.0,16.3,6.0,14.7,40.9,0.0,0.3,0.0,4.3,5.0,86.7,1.3,1.3,2.7,3.0,0.7,0.0,1.0,12.3
Buck Williams,11,43.0,15.5,5.7,11.8,48.5,0.0,0.0,0.0,4.1,7.4,55.6,5.2,8.9,14.1,1.5,1.4,1.5,2.6,22.0
Ricky Sobers,4,37.5,15.3,6.3,14.3,43.9,0.8,2.5,30.0,2.0,2.5,80.0,0.5,0.8,1.3,4.0,1.3,0.5,2.3,11.5
