Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Kareem Abdul-Jabbar,10,43.5,35.2,13.9,24.5,56.7,-,-,-,7.4,10.1,73.3,-,-,16.8,4.1,-,-,-,42.8
Jerry West,18,46.1,31.2,10.9,23.2,46.9,-,-,-,9.4,11.8,80.2,-,-,3.7,8.4,-,-,-,28.6
Billy Cunningham,5,41.0,29.2,12.2,24.6,49.6,-,-,-,4.8,7.2,66.7,-,-,10.4,4.0,-,-,-,28.8
Earl Monroe,7,42.7,28.0,10.6,22.0,48.1,-,-,-,6.9,8.6,80.0,-,-,3.3,4.0,-,-,-,22.1
Connie Hawkins,7,46.9,25.4,8.9,21.4,41.3,-,-,-,7.7,9.4,81.8,-,-,13.9,5.9,-,-,-,30.9
Joe Caldwell,9,43.7,25.0,10.3,22.0,47.0,-,-,-,4.3,6.7,65.0,-,-,5.0,4.2,-,-,-,20.2
Willis Reed,18,40.7,23.7,9.9,21.0,47.1,-,-,-,3.9,5.3,73.7,-,-,13.8,2.8,-,-,-,27.8
Wilt Chamberlain,18,47.3,22.1,8.8,16.0,54.9,-,-,-,4.6,11.2,40.6,-,-,22.2,4.5,-,-,-,34.9
Lou Hudson,9,40.0,21.9,8.7,20.8,41.7,-,-,-,4.6,5.6,82.0,-,-,4.4,3.7,-,-,-,16.9
Gail Goodrich,7,37.9,20.3,8.0,16.9,47.5,-,-,-,4.3,5.0,85.7,-,-,4.6,5.4,-,-,-,20.7
Chet Walker,5,35.6,19.4,7.0,16.6,42.2,-,-,-,5.4,6.6,81.8,-,-,8.4,2.2,-,-,-,19.2
Elgin Baylor,18,37.1,18.7,7.7,16.4,46.6,-,-,-,3.3,4.5,74.1,-,-,9.6,4.6,-,-,-,22.9
Gus Johnson,7,42.6,18.4,7.3,15.9,45.9,-,-,-,3.9,4.9,79.4,-,-,11.4,1.3,-,-,-,21.6
Jack Marin,7,37.9,17.9,6.9,16.3,42.1,-,-,-,4.1,4.9,85.3,-,-,6.7,3.1,-,-,-,17.6
Tom Boerwinkle,5,35.4,17.6,8.0,15.8,50.6,-,-,-,1.6,2.6,61.5,-,-,14.4,3.2,-,-,-,26.4
Dick Barnett,19,37.6,16.9,6.9,14.7,46.8,-,-,-,3.1,4.0,77.6,-,-,2.1,3.4,-,-,-,13.6
Dick Van Arsdale,7,36.4,16.4,6.1,14.3,43.0,-,-,-,4.1,4.7,87.9,-,-,2.6,4.1,-,-,-,14.4
Bob Dandridge,10,39.9,16.3,7.2,14.2,50.7,-,-,-,1.9,2.9,65.5,-,-,8.7,5.7,-,-,-,22.7
Clem Haskins,5,30.8,16.2,6.4,13.6,47.1,-,-,-,3.4,3.8,89.5,-,-,3.2,5.0,-,-,-,16.8
Paul Silas,7,40.9,16.1,6.6,15.6,42.2,-,-,-,3.0,4.6,65.6,-,-,15.9,4.3,-,-,-,25.7
Dave DeBusschere,19,36.9,16.1,6.8,16.3,42.1,-,-,-,2.4,3.6,66.2,-,-,11.6,2.4,-,-,-,19.4
Walt Frazier,19,43.9,16.0,6.2,13.0,47.8,-,-,-,3.6,4.7,76.4,-,-,7.8,8.2,-,-,-,24.2
Wali Jones,5,32.0,15.8,6.8,13.0,52.3,-,-,-,2.2,2.8,78.6,-,-,2.2,4.8,-,-,-,16.0
Hal Greer,5,35.6,15.4,6.6,14.8,44.6,-,-,-,2.2,2.6,84.6,-,-,3.4,5.4,-,-,-,15.6
Jon McGlocklin,10,37.7,14.9,6.2,14.4,43.1,-,-,-,2.5,3.1,80.6,-,-,3.6,2.1,-,-,-,11.8
Jerry Sloan,5,38.0,14.8,5.8,14.8,39.2,-,-,-,3.2,5.0,64.0,-,-,7.8,2.2,-,-,-,14.0
Fred Carter,7,36.1,14.1,5.9,15.3,38.3,-,-,-,2.4,4.0,60.7,-,-,4.4,3.4,-,-,-,11.0
Archie Clark,5,29.2,13.6,5.2,12.0,43.3,-,-,-,3.2,4.4,72.7,-,-,2.8,3.6,-,-,-,12.0
Flynn Robinson,10,30.0,12.8,4.2,12.9,32.6,-,-,-,4.4,5.0,88.0,-,-,2.3,5.0,-,-,-,10.8
Eldo Garrett,18,33.1,12.8,5.6,11.0,51.0,-,-,-,1.6,1.8,87.5,-,-,2.9,2.2,-,-,-,12.2
Jim Washington,5,33.4,12.6,5.0,11.4,43.9,-,-,-,2.6,4.6,56.5,-,-,9.8,1.8,-,-,-,15.8
Bill Bradley,19,32.4,12.4,5.3,12.3,42.9,-,-,-,1.8,2.3,81.4,-,-,3.8,3.2,-,-,-,11.9
Bob Love,5,34.4,11.8,4.0,10.4,38.5,-,-,-,3.8,4.8,79.2,-,-,9.2,0.8,-,-,-,14.4
Bob Weiss,5,24.2,11.6,5.0,11.8,42.4,-,-,-,1.6,2.0,80.0,-,-,1.2,4.8,-,-,-,10.4
Bill Bridges,9,42.3,11.6,4.9,12.2,40.0,-,-,-,1.8,3.0,59.3,-,-,17.1,3.2,-,-,-,23.3
Jim Fox,6,29.0,11.2,4.2,11.5,36.2,-,-,-,2.8,4.0,70.8,-,-,10.7,1.3,-,-,-,14.7
Greg Smith,10,32.9,10.7,4.7,9.4,50.0,-,-,-,1.3,2.2,59.1,-,-,8.5,2.2,-,-,-,15.8
Wes Unseld,7,41.3,10.4,4.1,10.0,41.4,-,-,-,2.1,2.7,78.9,-,-,23.6,3.4,-,-,-,31.0
Keith Erickson,17,32.5,9.9,4.2,9.0,46.4,-,-,-,1.6,2.1,77.1,-,-,4.5,4.4,-,-,-,13.5
Kevin Loughery,7,21.9,9.6,3.7,11.0,33.8,-,-,-,2.1,3.0,71.4,-,-,2.3,1.1,-,-,-,4.9
Cazzie Russell,19,16.1,9.4,4.2,8.7,48.5,-,-,-,0.9,1.0,94.7,-,-,2.5,0.8,-,-,-,8.2
Butch Beard,9,16.2,9.0,3.4,7.2,47.7,-,-,-,2.1,2.9,73.1,-,-,2.9,0.9,-,-,-,8.2
Darrall Imhoff,5,27.6,9.0,4.4,9.6,45.8,-,-,-,0.2,1.4,14.3,-,-,7.0,2.2,-,-,-,11.8
Freddie Crawford,10,20.8,8.8,3.4,8.8,38.6,-,-,-,2.0,2.4,83.3,-,-,3.5,3.7,-,-,-,10.2
Shaler Halimon,5,21.2,8.8,4.2,12.2,34.4,-,-,-,0.4,0.6,66.7,-,-,4.0,3.6,-,-,-,8.2
Len Chappell,9,14.8,7.7,3.1,5.6,56.0,-,-,-,1.4,2.1,68.4,-,-,2.9,0.6,-,-,-,8.0
Dave Stallworth,19,14.5,7.2,3.2,7.0,45.9,-,-,-,0.8,0.8,93.8,-,-,4.1,1.1,-,-,-,8.5
Fred Hetzel,5,15.0,7.0,2.6,5.0,52.0,-,-,-,1.8,2.2,81.8,-,-,3.6,0.6,-,-,-,8.4
Mike Riordan,19,15.6,6.9,2.8,5.7,48.6,-,-,-,1.3,1.8,71.4,-,-,2.4,1.4,-,-,-,7.3
Jerry Chambers,7,10.4,4.7,2.0,5.3,37.8,-,-,-,0.7,1.1,62.5,-,-,2.4,1.0,-,-,-,4.4
Ray Scott,7,12.9,4.6,1.6,4.9,32.4,-,-,-,1.4,2.0,71.4,-,-,3.0,0.6,-,-,-,4.3
Jim Davis,9,13.0,4.2,1.6,4.1,37.8,-,-,-,1.1,1.9,58.8,-,-,3.3,0.7,-,-,-,4.9
Lucious Jackson,5,14.6,4.0,1.8,3.8,47.4,-,-,-,0.4,0.4,100,-,-,6.6,0.6,-,-,-,9.2
Johnny Egan,16,10.1,3.5,1.4,2.7,53.5,-,-,-,0.6,0.7,90.9,-,-,0.3,1.4,-,-,-,3.9
Lamar Green,6,11.5,3.0,1.3,4.7,28.6,-,-,-,0.3,0.8,40.0,-,-,3.8,0.8,-,-,-,3.8
Stan McKenzie,7,10.1,2.9,1.1,4.1,27.6,-,-,-,0.6,0.7,80.0,-,-,1.3,0.4,-,-,-,1.4
Nate Bowman,18,7.1,2.4,1.0,2.6,38.3,-,-,-,0.4,0.6,70.0,-,-,2.4,0.3,-,-,-,3.4
Brian Heaney,6,1.2,0.0,0.0,0.3,0.0,-,-,-,0.0,0.0,0.0,-,-,0.2,0.2,-,-,-,0.0
