Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Cliff Hagan,6,43.2,28.5,10.5,20.5,51.2,-,-,-,7.5,9.0,83.3,-,-,12.0,2.7,-,-,-,31.7
Dolph Schayes,9,39.0,28.2,8.7,21.7,40.0,-,-,-,10.9,11.9,91.6,-,-,13.0,4.6,-,-,-,31.8
Bob Pettit,6,42.8,27.8,9.7,22.8,42.3,-,-,-,8.5,10.8,78.5,-,-,12.5,2.3,-,-,-,27.2
Gene Shue,3,39.3,27.7,9.3,20.0,46.7,-,-,-,9.0,11.0,81.8,-,-,4.7,3.3,-,-,-,23.0
Elgin Baylor,13,42.8,25.5,9.4,23.3,40.3,-,-,-,6.7,8.7,77.0,-,-,12.0,3.3,-,-,-,24.8
George Yardley,9,37.0,25.1,9.2,21.0,43.9,-,-,-,6.7,7.8,85.7,-,-,9.7,2.3,-,-,-,24.2
Frank Ramsey,11,27.5,23.2,8.6,17.5,49.5,-,-,-,5.9,7.4,80.2,-,-,6.2,1.8,-,-,-,20.9
Bill Sharman,11,29.3,20.1,7.5,17.5,42.5,-,-,-,5.2,5.4,96.6,-,-,3.3,2.5,-,-,-,15.6
Tom Heinsohn,11,31.6,19.9,8.3,20.0,41.4,-,-,-,3.4,5.1,66.1,-,-,8.9,2.9,-,-,-,18.3
Bob Cousy,11,41.8,19.5,6.5,20.1,32.6,-,-,-,6.4,8.5,74.5,-,-,6.9,10.8,-,-,-,21.5
Larry Costello,9,40.1,17.7,6.0,13.4,44.6,-,-,-,5.7,6.8,83.6,-,-,5.9,6.0,-,-,-,21.0
Willie Naulls,2,31.5,17.0,7.0,21.0,33.3,-,-,-,3.0,4.0,75.0,-,-,10.5,1.5,-,-,-,14.0
Ken Sears,2,32.0,16.5,5.0,13.5,37.0,-,-,-,6.5,7.5,86.7,-,-,8.5,3.0,-,-,-,18.5
Carl Braun,2,31.0,16.0,6.0,16.0,37.5,-,-,-,4.0,4.5,88.9,-,-,2.0,5.0,-,-,-,12.5
Dick McGuire,3,36.3,15.7,6.7,10.7,62.5,-,-,-,2.3,3.7,63.6,-,-,5.7,6.3,-,-,-,22.3
Bill Russell,11,45.1,15.5,5.9,14.5,40.9,-,-,-,3.7,6.1,61.2,-,-,27.7,3.6,-,-,-,36.0
Vern Mikkelsen,13,28.5,15.5,5.6,13.6,41.2,-,-,-,4.3,5.6,76.7,-,-,7.2,1.8,-,-,-,15.2
Clyde Lovellette,6,26.8,15.3,5.8,11.7,50.0,-,-,-,3.7,4.7,78.6,-,-,9.8,1.3,-,-,-,19.7
Charlie Tyra,2,27.5,15.0,6.0,14.0,42.9,-,-,-,3.0,4.5,66.7,-,-,15.5,0.5,-,-,-,21.5
Phil Jordon,3,33.0,15.0,5.0,15.0,33.3,-,-,-,5.0,6.0,83.3,-,-,8.0,1.7,-,-,-,13.7
Richie Guerin,2,38.5,15.0,4.5,17.5,25.7,-,-,-,6.0,7.0,85.7,-,-,9.0,7.5,-,-,-,17.5
Dick Garmaker,13,33.8,14.5,5.4,12.7,42.4,-,-,-,3.8,4.8,77.8,-,-,4.2,3.0,-,-,-,13.4
Frank Selvy,2,21.5,14.5,5.0,10.0,50.0,-,-,-,4.5,5.5,81.8,-,-,2.0,1.5,-,-,-,12.0
Johnny Kerr,9,34.7,14.4,5.6,15.8,35.2,-,-,-,3.3,3.7,90.9,-,-,12.0,2.7,-,-,-,18.6
Walter Dukes,3,37.7,14.3,5.0,10.0,50.0,-,-,-,4.3,5.7,76.5,-,-,13.3,1.0,-,-,-,22.3
Ray Felix,2,22.5,13.0,6.0,14.0,42.9,-,-,-,1.0,2.0,50.0,-,-,11.5,1.0,-,-,-,16.5
Bob Leonard,13,35.9,12.2,4.8,13.3,36.4,-,-,-,2.5,3.1,80.0,-,-,3.4,5.4,-,-,-,11.8
Larry Foust,13,31.1,11.8,4.3,10.3,41.8,-,-,-,3.2,3.8,82.0,-,-,10.5,0.9,-,-,-,16.5
Jack McMahon,6,41.7,11.7,5.0,15.0,33.3,-,-,-,1.7,3.2,52.6,-,-,3.0,5.3,-,-,-,8.5
Hal Greer,9,30.8,11.6,4.3,10.3,41.9,-,-,-,2.9,3.6,81.3,-,-,5.2,2.2,-,-,-,12.3
Sam Jones,11,17.5,10.3,3.6,9.8,37.0,-,-,-,3.0,3.5,84.6,-,-,5.7,1.5,-,-,-,10.8
Al Bianchi,9,21.3,9.1,3.8,8.2,45.9,-,-,-,1.6,2.4,63.6,-,-,3.2,2.8,-,-,-,9.8
Earl Lloyd,3,29.0,8.7,3.0,9.3,32.1,-,-,-,2.7,2.7,100,-,-,6.0,2.3,-,-,-,10.7
Bob Hopkins,9,22.6,8.2,2.6,7.6,33.8,-,-,-,3.1,3.8,82.4,-,-,6.7,1.0,-,-,-,10.2
Jim Loscutoff,11,23.6,8.1,3.5,10.3,34.5,-,-,-,1.0,1.9,52.4,-,-,6.6,1.2,-,-,-,8.3
Al Ferrari,6,28.8,8.0,2.3,6.7,35.0,-,-,-,3.3,4.2,80.0,-,-,2.5,2.5,-,-,-,7.8
Jim Krebs,13,16.4,7.2,2.8,7.9,35.0,-,-,-,1.7,1.8,95.7,-,-,5.9,0.4,-,-,-,8.3
Alexander Ellis,13,19.6,6.8,2.7,6.2,43.8,-,-,-,1.4,2.4,58.1,-,-,7.2,1.2,-,-,-,10.7
Shellie McMillon,3,18.0,6.3,2.3,7.7,30.4,-,-,-,1.7,2.0,83.3,-,-,4.7,0.0,-,-,-,5.3
Mike Farmer,2,17.0,6.0,2.5,8.5,29.4,-,-,-,1.0,2.5,40.0,-,-,5.0,0.0,-,-,-,3.5
Si Green,6,21.8,6.0,2.0,4.2,48.0,-,-,-,2.0,4.0,50.0,-,-,3.8,2.3,-,-,-,8.0
Ed Fleming,13,13.7,5.8,2.1,5.9,35.1,-,-,-,1.7,1.9,88.0,-,-,3.0,1.4,-,-,-,6.2
Gene Conley,11,14.3,4.9,2.2,6.0,36.4,-,-,-,0.5,1.2,46.2,-,-,6.8,0.6,-,-,-,7.9
Togo Palazzi,8,8.4,4.5,1.6,5.5,29.5,-,-,-,1.3,1.8,71.4,-,-,2.6,0.8,-,-,-,3.5
Charlie Share,6,20.3,4.3,1.3,4.5,29.6,-,-,-,1.7,2.3,71.4,-,-,8.7,1.5,-,-,-,10.7
Chuck Noble,3,9.3,4.0,1.7,5.7,29.4,-,-,-,0.7,0.7,100,-,-,0.0,0.3,-,-,-,0.3
Jack George,2,15.5,4.0,2.0,6.0,33.3,-,-,-,0.0,0.0,0.0,-,-,2.0,1.5,-,-,-,3.5
Joe Holup,3,12.0,4.0,1.0,4.7,21.4,-,-,-,2.0,2.3,85.7,-,-,2.7,1.0,-,-,-,3.7
Rod Hundley,13,13.5,4.0,1.5,4.5,34.5,-,-,-,0.9,1.1,85.7,-,-,1.8,1.5,-,-,-,4.2
Dick Farley,3,11.0,3.7,1.7,4.0,41.7,-,-,-,0.3,0.3,100,-,-,2.0,1.0,-,-,-,4.3
Ed Conlin,3,14.3,3.3,1.3,5.3,25.0,-,-,-,0.7,1.3,50.0,-,-,2.3,1.3,-,-,-,2.3
Pete Brennan,2,3.0,2.0,1.0,3.5,28.6,-,-,-,0.0,0.5,0.0,-,-,2.5,0.0,-,-,-,1.5
