Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
George Gervin,6,37.8,33.2,13.0,23.7,54.9,-,-,-,7.2,9.3,76.8,1.8,3.8,5.7,3.2,1.0,2.7,3.2,29.7
Campy Russell,2,44.0,27.5,9.5,19.5,48.7,-,-,-,8.5,10.5,81.0,3.5,4.0,7.5,5.5,1.5,0.5,5.0,25.5
Kareem Abdul-Jabbar,3,44.7,27.0,12.7,24.3,52.1,-,-,-,1.7,3.0,55.6,4.7,9.0,13.7,3.7,0.7,4.0,4.7,31.3
John Drew,2,39.5,26.0,10.5,24.5,42.9,-,-,-,5.0,8.0,62.5,4.5,3.0,7.5,1.5,0.5,0.5,2.0,17.0
Paul Westphal,2,33.0,26.0,11.0,23.5,46.8,-,-,-,4.0,4.5,88.9,1.5,1.5,3.0,9.5,0.5,0.0,2.5,23.5
David Thompson,13,37.0,25.2,10.1,22.4,45.0,-,-,-,5.1,6.2,82.5,1.4,2.7,4.1,4.0,0.7,1.6,3.0,19.2
Walter Davis,2,33.0,25.0,9.5,20.0,47.5,-,-,-,6.0,8.0,75.0,2.0,6.5,8.5,4.0,1.5,0.0,3.0,23.5
Marques Johnson,9,35.7,24.0,9.3,17.0,54.9,-,-,-,5.3,7.1,75.0,3.9,8.6,12.4,3.4,1.1,1.9,1.6,31.9
Bob McAdoo,6,39.7,23.8,10.2,21.0,48.4,-,-,-,3.5,5.8,60.0,1.8,7.8,9.7,3.8,1.2,2.0,3.8,23.5
Julius Erving,10,35.8,21.8,8.8,18.0,48.9,-,-,-,4.2,5.6,75.0,4.0,5.7,9.7,4.0,1.5,1.8,3.5,24.7
Elvin Hayes,21,41.3,21.8,9.0,18.3,49.1,-,-,-,3.8,6.3,59.4,4.9,8.4,13.3,2.0,1.5,2.5,2.8,26.4
Bob Dandridge,19,39.3,21.2,9.1,18.9,47.9,-,-,-,3.1,4.4,69.0,1.8,4.6,6.5,3.9,1.6,0.7,3.0,19.6
Brian Winters,9,33.9,20.4,9.1,18.3,49.7,-,-,-,2.2,3.0,74.1,0.4,2.9,3.3,6.4,1.3,0.9,3.2,19.2
Doug Collins,10,34.2,20.4,8.2,16.5,49.7,-,-,-,4.0,4.9,81.6,0.8,2.3,3.1,2.7,0.3,0.0,2.3,15.0
Dan Issel,13,35.4,20.2,7.9,16.3,48.6,-,-,-,4.3,5.0,86.2,3.2,7.2,10.3,4.1,0.5,0.2,3.0,23.2
Gus Williams,22,31.9,18.3,7.4,15.5,47.7,-,-,-,3.5,4.8,72.6,1.4,2.5,3.9,4.0,2.0,0.5,2.5,16.9
Larry Kenon,6,33.3,17.7,7.7,17.2,44.7,-,-,-,2.3,3.2,73.7,2.7,6.5,9.2,3.7,0.8,0.3,3.2,18.2
Austin Carr,2,34.5,17.5,5.0,13.5,37.0,-,-,-,7.5,8.0,93.8,1.5,2.5,4.0,2.5,1.0,0.5,2.0,14.5
Ray Williams,6,23.3,17.5,6.8,13.0,52.6,-,-,-,3.8,4.3,88.5,1.0,1.5,2.5,5.2,1.0,0.0,2.8,16.7
Fred Brown,22,26.1,17.3,7.0,15.5,44.9,-,-,-,3.4,4.1,83.3,0.7,1.4,2.1,2.4,1.0,0.1,1.4,12.4
Maurice Lucas,6,38.8,17.2,7.7,18.0,42.6,-,-,-,1.8,3.2,57.9,3.2,9.3,12.5,2.5,0.7,0.3,3.2,18.3
Adrian Dantley,3,34.7,17.0,6.7,11.7,57.1,-,-,-,3.7,5.7,64.7,3.0,5.3,8.3,3.7,1.7,1.0,2.0,22.7
Lionel Hollins,6,37.2,16.7,6.7,14.8,44.9,-,-,-,3.3,4.8,69.0,0.8,4.0,4.8,5.5,1.2,0.0,3.2,15.3
Anthony Roberts,13,30.8,16.3,6.6,15.3,43.2,-,-,-,3.1,3.8,80.0,3.5,4.8,8.3,2.3,0.8,0.5,2.1,16.7
Spencer Haywood,6,29.5,16.2,7.2,14.2,50.6,-,-,-,1.8,1.8,100,3.2,3.8,7.0,2.0,0.3,0.8,1.7,17.7
Marvin Webster,22,41.1,16.1,6.2,12.7,48.9,-,-,-,3.7,5.5,67.5,4.3,8.8,13.1,2.6,0.3,2.6,3.4,23.2
World Free,10,26.8,16.1,5.1,12.4,41.1,-,-,-,5.9,8.1,72.8,1.0,2.1,3.1,3.7,0.4,0.6,2.6,11.8
Dennis Johnson,22,37.6,16.1,5.5,13.4,41.2,-,-,-,5.1,7.2,70.4,2.1,2.5,4.6,3.3,1.0,1.0,2.5,13.5
Alvan Adams,2,35.5,16.0,7.5,16.5,45.5,-,-,-,1.0,1.0,100,4.0,4.0,8.0,2.0,1.0,0.5,4.5,14.0
Terry Furlow,2,25.0,16.0,6.5,13.5,48.1,-,-,-,3.0,3.0,100,1.5,1.0,2.5,2.5,0.0,0.0,1.5,12.5
Eddie Johnson,2,32.0,15.5,6.0,9.5,63.2,-,-,-,3.5,4.0,87.5,1.0,2.0,3.0,3.0,4.0,0.5,2.5,19.5
Kevin Grevey,21,27.8,15.5,6.0,13.5,44.4,-,-,-,3.5,4.3,81.1,1.2,1.7,2.9,2.0,0.5,0.1,2.1,10.6
Tom Owens,6,33.3,15.2,6.3,11.5,55.1,-,-,-,2.5,3.5,71.4,2.2,4.3,6.5,4.3,0.8,1.2,1.2,20.7
Jim Chones,2,41.0,15.0,6.5,13.5,48.1,-,-,-,2.0,4.0,50.0,1.5,6.0,7.5,3.5,1.0,0.5,2.0,16.5
George McGinnis,10,27.3,14.7,5.3,12.5,42.4,-,-,-,4.1,4.9,83.7,2.4,5.4,7.8,3.0,1.5,0.1,3.8,15.3
Johnny Davis,6,33.5,14.3,5.8,12.7,46.1,-,-,-,2.7,3.8,69.6,0.5,1.2,1.7,2.2,0.2,0.3,1.8,8.8
Jack Sikma,22,31.9,13.7,5.2,11.2,46.6,-,-,-,3.2,4.1,78.0,2.3,5.8,8.1,1.2,0.8,0.5,1.6,15.8
Steve Mix,10,23.5,13.6,4.9,8.2,59.8,-,-,-,3.8,4.3,88.4,1.7,2.9,4.6,3.6,1.5,0.1,1.2,18.4
Charlie Criss,2,32.5,13.5,5.0,12.0,41.7,-,-,-,3.5,4.5,77.8,0.0,2.0,2.0,1.5,2.0,0.5,2.5,9.0
Alex English,9,23.1,13.4,5.3,8.7,61.5,-,-,-,2.8,3.6,78.1,1.8,2.9,4.7,1.4,0.7,0.8,1.3,15.6
Tom McMillen,2,37.5,13.0,6.5,11.5,56.5,-,-,-,0.0,0.0,0.0,3.5,7.5,11.0,0.5,0.5,0.0,1.5,18.5
Dave Meyers,9,31.0,12.9,4.9,11.0,44.4,-,-,-,3.1,4.7,66.7,3.0,5.2,8.2,3.9,0.8,1.2,2.8,16.6
Bobby Jones,13,30.0,12.8,5.1,8.9,56.9,-,-,-,2.6,3.5,73.9,2.8,5.1,7.8,2.7,1.2,0.7,1.8,18.6
Elmore Smith,2,28.0,12.5,5.5,12.0,45.8,-,-,-,1.5,3.0,50.0,3.0,6.5,9.5,0.0,1.5,1.5,2.5,14.5
Foots Walker,2,35.0,12.5,5.0,13.0,38.5,-,-,-,2.5,2.5,100,2.5,1.0,3.5,5.0,1.5,1.0,3.0,12.5
Jamaal Wilkes,3,36.0,12.0,5.0,10.7,46.9,-,-,-,2.0,3.7,54.5,3.0,5.7,8.7,2.7,1.0,0.3,3.7,13.7
Lou Hudson,3,31.0,11.7,4.7,12.7,36.8,-,-,-,2.3,2.7,87.5,2.3,0.7,3.0,3.0,1.7,0.0,1.7,9.3
Billy Paultz,6,31.8,11.5,4.8,10.5,46.0,-,-,-,1.8,2.8,64.7,1.2,5.7,6.8,2.3,0.8,0.8,1.0,14.7
Larry Steele,6,31.8,11.5,4.2,10.0,41.7,-,-,-,3.2,3.5,90.5,1.3,3.0,4.3,2.3,1.2,0.3,2.0,11.5
Quinn Buckner,9,28.6,11.2,4.8,9.6,50.0,-,-,-,1.7,2.6,65.2,0.3,2.7,3.0,6.9,2.0,0.1,4.3,13.2
Lonnie Shelton,6,25.2,11.0,5.0,9.3,53.6,-,-,-,1.0,1.3,75.0,3.0,4.3,7.3,2.8,0.3,0.8,2.3,15.3
Mark Olberding,6,25.3,10.5,4.2,8.5,49.0,-,-,-,2.2,2.5,86.7,1.5,3.5,5.0,2.3,1.0,1.0,1.3,13.8
Junior Bridgeman,9,19.8,10.4,4.9,10.1,48.4,-,-,-,0.7,0.9,75.0,0.7,1.3,2.0,1.2,1.0,0.2,0.9,8.6
Mitch Kupchak,21,24.0,10.1,4.0,9.5,42.2,-,-,-,2.1,3.3,65.2,2.3,3.7,6.0,1.0,0.2,0.1,2.0,9.0
Earl Monroe,6,24.2,9.8,4.0,10.3,38.7,-,-,-,1.8,3.0,61.1,0.2,0.7,0.8,2.8,1.0,0.0,1.0,6.0
Tom Henderson,21,28.4,9.6,3.4,8.2,41.6,-,-,-,2.8,3.8,73.4,0.8,1.4,2.2,5.0,1.3,0.2,1.5,11.1
Wes Unseld,18,37.6,9.4,3.9,7.4,53.0,-,-,-,1.5,2.6,58.7,4.0,8.0,12.0,4.4,0.9,0.4,2.0,20.6
Bob Wilkerson,13,32.8,9.2,3.6,9.8,37.0,-,-,-,2.0,3.2,61.9,1.5,3.9,5.5,6.0,1.5,0.3,1.9,13.2
Butch Beard,6,26.7,9.0,4.0,8.0,50.0,-,-,-,1.0,1.7,60.0,1.2,2.3,3.5,4.5,1.7,0.3,1.8,12.5
Jim McMillian,6,22.3,8.8,4.0,8.8,45.3,-,-,-,0.8,1.0,83.3,1.5,2.0,3.5,1.8,1.2,0.0,1.2,9.2
Mike Gale,6,33.5,8.7,4.2,9.3,44.6,-,-,-,0.3,0.7,50.0,1.2,3.0,4.2,5.2,1.2,0.7,2.8,11.5
Henry Bibby,10,28.9,8.6,3.3,8.2,40.2,-,-,-,2.0,2.2,90.9,0.9,2.1,3.0,4.8,1.2,0.0,2.2,10.3
Larry Wright,21,19.1,8.1,3.6,7.8,46.6,-,-,-,0.9,1.2,76.0,0.3,1.1,1.5,3.2,0.8,0.1,1.2,8.1
Armond Hill,2,30.5,8.0,3.0,7.5,40.0,-,-,-,2.0,2.0,100,0.0,1.5,1.5,3.5,1.0,0.0,2.5,7.0
Bingo Smith,2,17.0,8.0,4.0,6.5,61.5,-,-,-,0.0,0.0,0.0,1.0,0.5,1.5,0.5,0.0,0.0,0.5,7.0
Norm Nixon,3,30.7,8.0,3.7,8.0,45.8,-,-,-,0.7,1.0,66.7,1.3,1.7,3.0,5.3,1.3,0.3,1.7,11.7
Steve Hawes,2,35.5,8.0,3.5,9.0,38.9,-,-,-,1.0,1.5,66.7,1.5,7.0,8.5,4.0,0.5,1.0,3.0,13.0
Tree Rollins,2,25.5,8.0,3.5,6.0,58.3,-,-,-,1.0,4.0,25.0,1.5,3.0,4.5,0.5,0.5,2.0,1.5,8.5
John Gianelli,9,32.2,7.8,2.8,6.6,42.4,-,-,-,2.2,2.9,76.9,1.8,4.7,6.4,1.6,0.9,1.2,1.4,12.0
Alvin Scott,2,18.5,6.5,2.0,4.0,50.0,-,-,-,2.5,3.0,83.3,1.0,2.0,3.0,1.5,1.0,0.0,1.0,8.5
Garfield Heard,2,31.0,6.5,3.0,8.5,35.3,-,-,-,0.5,1.0,50.0,2.0,6.0,8.0,2.5,1.0,2.0,1.0,13.0
Caldwell Jones,10,30.1,6.4,2.8,5.6,50.0,-,-,-,0.8,1.0,80.0,2.2,8.4,10.6,1.4,0.5,3.0,1.9,17.0
Darryl Dawkins,10,18.0,6.3,2.7,5.3,50.9,-,-,-,0.9,1.7,52.9,0.6,5.1,5.7,1.0,0.3,1.5,1.4,10.0
Dave Twardzik,6,18.0,6.0,1.8,3.8,47.8,-,-,-,2.3,2.3,100,0.2,0.5,0.7,1.8,1.2,0.0,1.7,6.0
Ron Lee,2,20.5,6.0,2.5,8.0,31.3,-,-,-,1.0,1.0,100,1.0,2.0,3.0,1.5,2.0,0.0,2.0,5.0
Lou Dampier,6,21.5,5.8,2.8,6.2,45.9,-,-,-,0.2,0.7,25.0,0.2,1.0,1.2,2.5,0.7,0.3,0.7,6.0
Corky Calhoun,6,18.2,5.7,2.5,4.8,51.7,-,-,-,0.7,1.2,57.1,1.0,1.3,2.3,0.5,0.3,0.2,0.5,5.7
Jim Cleamons,6,21.2,5.7,2.3,6.0,38.9,-,-,-,1.0,1.0,100,0.8,1.3,2.2,3.8,0.5,0.0,1.3,7.2
Mack Calvin,12,11.3,5.4,1.6,3.5,45.2,-,-,-,2.3,2.4,93.1,0.3,0.4,0.7,1.8,0.6,0.0,0.9,5.4
Joe Bryant,10,12.2,5.0,2.1,4.7,44.7,-,-,-,0.8,1.1,72.7,0.7,1.8,2.5,0.9,0.6,0.1,0.5,5.7
Paul Silas,22,27.5,4.9,1.5,4.3,35.1,-,-,-,1.9,2.7,68.3,3.3,5.2,8.5,1.6,0.5,0.3,1.4,10.8
Coby Dietrick,6,16.0,4.8,2.3,4.5,51.9,-,-,-,0.2,0.3,50.0,1.3,2.8,4.2,0.7,0.8,0.8,1.5,7.5
Lloyd Walton,9,13.8,4.7,1.9,3.9,48.6,-,-,-,0.9,1.4,61.5,0.1,0.3,0.4,4.1,0.9,0.3,1.6,6.3
Glen Gondrezick,6,11.7,4.2,1.7,3.2,52.6,-,-,-,0.8,1.3,62.5,1.2,1.7,2.8,1.0,0.8,0.0,1.0,5.8
Don Buse,2,38.0,4.0,2.0,5.5,36.4,-,-,-,0.0,0.0,0.0,0.0,2.5,2.5,2.0,2.0,0.0,0.5,6.5
Ollie Johnson,2,10.5,4.0,2.0,5.5,36.4,-,-,-,0.0,0.0,0.0,0.5,1.0,1.5,1.0,0.5,0.5,0.0,4.0
Greg Ballard,19,12.8,3.9,1.1,3.3,33.3,-,-,-,1.7,2.2,78.0,1.4,2.7,4.2,0.9,0.5,0.2,0.7,6.2
