Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Allen Iverson,8,44.8,28.5,11.0,26.8,41.1,1.9,6.6,28.3,4.6,6.5,71.2,1.8,2.4,4.1,4.9,2.5,0.3,3.0,19.6
Shaquille O'Neal,8,39.4,26.6,9.9,19.4,51.0,0.0,0.0,0.0,6.9,14.8,46.6,5.5,6.1,11.6,2.3,0.9,2.9,2.3,24.6
Charles Barkley,4,39.3,23.5,9.0,17.0,52.9,0.5,1.8,28.6,5.0,7.5,66.7,3.3,10.5,13.8,3.8,1.5,0.5,2.0,30.5
Tim Duncan,17,43.1,23.2,8.5,16.6,51.1,0.0,0.2,0.0,6.3,8.4,74.8,3.2,8.2,11.5,2.8,0.8,2.6,3.1,27.6
Ray Allen,3,40.0,22.3,8.3,15.7,53.2,3.0,6.3,47.4,2.7,4.3,61.5,2.7,4.7,7.3,4.3,1.0,0.3,3.7,22.7
Karl Malone,11,41.0,21.8,7.8,18.7,41.7,0.0,0.1,0.0,6.2,7.8,79.1,3.3,8.0,11.3,4.7,1.2,0.7,3.6,23.5
Kevin Garnett,4,42.5,21.8,8.8,19.8,44.3,0.0,0.5,0.0,4.3,5.8,73.9,4.0,8.0,12.0,3.8,1.8,2.0,3.3,25.5
Alonzo Mourning,5,38.8,21.6,7.6,14.6,52.1,0.0,0.0,0.0,6.4,9.8,65.3,1.4,6.8,8.2,0.8,1.6,2.8,2.4,22.2
Nick Anderson,4,38.0,20.8,7.3,19.8,36.7,2.8,10.5,26.2,3.5,4.8,73.7,1.8,5.0,6.8,2.3,2.3,0.0,2.5,15.8
Glenn Robinson,3,39.3,20.7,7.0,17.0,41.2,1.3,2.7,50.0,5.3,6.0,88.9,1.3,7.0,8.3,1.7,1.0,0.7,3.3,18.3
Latrell Sprewell,20,37.2,20.4,7.3,17.3,41.9,0.2,1.3,16.0,5.7,6.7,85.0,1.2,3.6,4.8,2.2,1.0,0.3,2.9,14.6
Reggie Miller,13,37.0,20.2,6.1,15.3,39.7,2.2,6.5,33.3,5.9,6.6,89.5,1.0,2.9,3.9,2.6,0.7,0.2,1.6,16.2
Kobe Bryant,8,39.4,19.8,7.6,17.8,43.0,1.0,2.9,34.8,3.5,4.4,80.0,1.6,5.3,6.9,4.6,1.9,1.3,3.9,19.5
Grant Hill,5,35.2,19.4,8.4,18.4,45.7,0.0,0.2,0.0,2.6,3.2,81.3,1.4,5.8,7.2,7.4,2.0,0.4,2.4,23.4
Terrell Brandon,4,40.3,19.3,7.8,17.3,44.9,0.8,1.3,60.0,3.0,3.3,92.3,0.5,7.0,7.5,7.0,2.3,0.5,3.5,23.3
Anfernee Hardaway,4,41.8,19.0,5.0,14.3,35.1,1.5,3.3,46.2,7.5,9.8,76.9,2.3,2.8,5.0,5.5,2.3,0.3,3.0,17.5
Allan Houston,20,39.2,18.5,6.8,15.3,44.3,0.5,1.8,25.0,4.6,5.2,88.3,0.3,2.4,2.7,2.6,0.4,0.1,2.5,12.6
Glen Rice,7,43.9,18.3,6.4,14.4,44.6,1.4,4.0,35.7,4.0,4.1,96.6,0.6,3.3,3.9,1.6,0.7,0.1,1.3,15.1
Scottie Pippen,4,43.0,18.3,5.8,17.5,32.9,1.5,5.5,27.3,5.3,6.5,80.8,5.0,6.8,11.8,5.5,1.8,0.8,3.3,21.8
Steven Smith,9,39.6,17.3,6.0,17.0,35.3,1.0,3.7,27.3,4.3,4.8,90.7,1.6,1.9,3.4,3.3,1.6,0.2,2.3,12.1
Isaiah Rider,13,32.8,16.5,5.4,12.5,42.9,0.8,2.0,42.3,4.8,5.5,88.7,1.3,2.5,3.8,2.4,0.8,0.0,2.5,13.2
Vlade Divac,5,39.6,16.2,5.0,11.2,44.6,0.2,1.0,20.0,6.0,7.2,83.3,1.8,8.2,10.0,4.6,1.6,0.8,3.8,22.0
Clifford Robinson,3,39.0,15.7,6.3,13.3,47.5,0.7,3.0,22.2,2.3,3.7,63.6,2.3,3.0,5.3,2.7,2.0,0.3,2.3,15.3
David Robinson,17,35.3,15.6,5.1,10.6,48.3,0.0,0.0,0.0,5.4,7.4,72.2,2.1,7.8,9.9,2.5,1.6,2.4,2.4,22.1
Sam Cassell,3,34.0,15.3,5.3,10.7,50.0,0.0,0.3,0.0,4.7,5.3,87.5,0.0,2.0,2.0,8.7,1.0,0.0,2.3,18.7
Jason Kidd,3,42.0,15.0,6.0,14.3,41.9,1.3,5.3,25.0,1.7,2.3,71.4,0.3,2.0,2.3,10.3,1.7,0.3,3.0,17.7
Rasheed Wallace,13,36.0,14.8,5.8,11.2,51.4,0.1,0.7,11.1,3.2,4.5,72.4,1.3,3.5,4.8,1.5,1.5,0.8,1.2,15.7
Chris Webber,5,38.4,14.8,6.2,16.0,38.8,0.4,1.4,28.6,2.0,5.0,40.0,2.6,6.8,9.4,4.0,1.8,1.0,4.0,14.2
Darrell Armstrong,4,40.8,14.8,4.3,11.5,37.0,2.3,6.0,37.5,4.0,4.0,100,1.5,3.5,5.0,6.3,2.3,0.0,6.3,14.8
George McCloud,3,26.7,14.0,4.3,10.0,43.3,3.0,6.7,45.0,2.3,3.3,70.0,0.7,3.7,4.3,0.7,1.7,0.0,1.0,13.0
Matt Geiger,8,29.9,13.5,5.3,12.0,43.8,0.0,0.1,0.0,3.0,3.6,82.8,2.9,4.8,7.6,0.8,1.1,0.8,1.6,14.8
Hakeem Olajuwon,4,30.8,13.3,5.8,13.5,42.6,0.0,0.0,0.0,1.8,2.0,87.5,1.3,6.0,7.3,0.5,1.3,0.8,1.3,13.8
Brian Grant,13,37.1,13.2,4.8,9.2,52.9,0.0,0.0,0.0,3.5,5.5,62.5,2.6,6.5,9.2,1.1,0.8,1.2,1.6,17.4
Danny Manning,3,26.3,12.7,4.7,8.0,58.3,0.0,0.0,0.0,3.3,4.3,76.9,0.0,1.7,1.7,2.0,1.3,0.0,1.0,12.3
Avery Johnson,17,38.4,12.6,5.4,11.0,48.7,0.1,0.2,33.3,1.9,2.8,68.1,0.5,1.9,2.5,7.4,1.2,0.1,2.9,14.3
Dikembe Mutombo,9,42.2,12.6,4.4,7.9,56.3,0.0,0.0,0.0,3.7,5.2,70.2,4.0,9.9,13.9,1.2,0.6,2.6,2.0,23.8
Mookie Blaylock,9,39.8,12.6,4.9,15.0,32.6,2.0,5.7,35.3,0.8,1.7,46.7,0.7,3.3,4.0,4.0,2.0,0.2,3.3,8.4
Sam Mack,4,30.8,12.5,3.3,9.5,34.2,2.5,6.5,38.5,3.5,4.3,82.4,0.3,2.0,2.3,1.8,1.0,0.0,1.3,9.3
Eric Snow,8,38.3,12.4,4.6,11.0,42.0,0.4,1.6,23.1,2.8,3.4,81.5,0.4,3.8,4.1,7.1,1.0,0.1,3.1,14.6
Jeff Hornacek,11,27.6,12.2,4.5,9.6,46.2,0.6,1.6,38.9,2.6,3.0,87.9,0.8,2.9,3.7,2.4,1.0,0.0,1.1,12.6
Jalen Rose,13,27.3,12.2,4.7,10.6,44.2,0.6,1.8,34.8,2.2,2.6,82.4,0.8,1.5,2.4,2.5,1.0,0.4,1.9,10.1
Bryon Russell,11,35.2,12.1,4.5,10.5,42.6,0.8,3.3,25.0,2.4,3.3,72.2,1.5,4.5,6.1,1.2,1.8,0.2,1.0,13.5
Sean Elliott,17,33.8,11.9,4.0,9.0,44.4,1.3,3.2,40.0,2.6,3.5,76.3,0.6,2.8,3.4,2.6,0.5,0.2,1.2,11.7
Rik Smits,13,22.5,11.8,5.2,11.3,45.6,0.0,0.0,0.0,1.5,1.5,95.0,1.2,3.8,5.0,0.7,0.5,1.2,1.9,10.9
Grant Long,9,39.8,11.7,4.0,9.8,40.9,0.1,0.4,25.0,3.6,4.9,72.7,3.1,5.1,8.2,0.9,2.0,0.4,2.6,13.6
Larry Johnson,20,34.2,11.5,4.4,10.2,42.6,1.2,4.1,29.3,1.6,2.3,67.4,1.1,3.8,4.9,1.6,1.1,0.1,1.7,10.7
Mark Jackson,13,34.7,11.2,3.9,7.9,49.5,1.1,2.6,41.2,2.3,3.2,71.4,1.1,3.5,4.5,8.6,1.1,0.1,2.7,17.9
Vernon Maxwell,5,25.8,11.2,3.8,12.0,31.7,2.2,7.0,31.4,1.4,2.0,70.0,0.8,1.4,2.2,1.0,1.2,0.0,1.2,5.6
John Stockton,11,32.0,11.1,3.8,9.5,40.0,0.4,1.1,33.3,3.1,4.2,73.9,1.0,2.3,3.3,8.4,1.6,0.1,2.8,14.8
Tom Gugliotta,3,39.3,10.7,4.3,11.7,37.1,0.0,0.0,0.0,2.0,2.7,75.0,2.0,6.3,8.3,3.3,1.3,1.0,2.7,14.0
Bison Dele,5,24.4,10.6,4.8,8.0,60.0,0.0,0.0,0.0,1.0,1.8,55.6,2.4,4.0,6.4,0.2,0.6,0.4,1.4,12.8
Corliss Williamson,5,26.0,10.6,4.6,8.0,57.5,0.0,0.0,0.0,1.4,2.0,70.0,1.4,1.8,3.2,1.2,0.4,0.2,1.2,10.4
Marcus Camby,20,25.5,10.4,4.1,7.2,56.6,0.0,0.1,0.0,2.3,3.7,61.6,2.6,5.1,7.7,0.3,1.2,1.9,0.8,16.2
Larry Hughes,8,24.8,10.3,3.9,9.6,40.3,0.0,0.9,0.0,2.5,3.0,83.3,2.1,2.5,4.6,2.0,1.9,1.1,1.5,12.1
Christian Laettner,5,24.6,10.2,4.0,9.4,42.6,0.0,0.0,0.0,2.2,2.8,78.6,1.2,1.6,2.8,2.2,0.8,0.2,0.6,9.6
Joe Dumars,5,30.6,10.2,3.8,7.8,48.7,2.0,3.8,52.6,0.6,0.6,100,0.2,1.2,1.4,2.6,0.4,0.0,1.8,8.8
P.J. Brown,5,28.8,10.2,4.2,9.0,46.7,0.0,0.2,0.0,1.8,2.0,90.0,2.8,3.4,6.2,1.0,0.4,0.4,0.6,12.6
Damon Stoudamire,13,31.0,10.2,3.8,9.9,38.0,0.8,1.7,45.5,1.8,2.6,70.6,0.5,2.6,3.2,5.6,0.6,0.1,2.9,9.8
Arvydas Sabonis,13,30.2,10.0,3.5,8.7,39.8,0.1,0.4,20.0,3.0,3.3,90.7,0.9,7.8,8.8,2.2,1.2,1.2,1.5,16.3
Jamal Mashburn,5,30.4,10.0,3.8,9.8,38.8,1.2,2.8,42.9,1.2,1.8,66.7,0.8,1.8,2.6,2.0,0.4,0.0,2.0,6.4
Jason Williams,5,32.6,10.0,3.2,9.0,35.6,1.8,5.8,31.0,1.8,1.8,100,0.4,3.2,3.6,4.0,1.6,0.2,2.6,11.0
Jerry Stackhouse,5,24.8,10.0,3.6,9.2,39.1,0.4,1.6,25.0,2.4,2.8,85.7,0.6,1.0,1.6,1.2,0.4,0.2,2.0,5.4
Sam Mitchell,4,32.8,10.0,3.8,10.0,37.5,0.3,1.5,16.7,2.3,3.0,75.0,1.3,2.3,3.5,1.5,0.3,0.5,2.0,6.8
Derek Fisher,8,29.8,9.8,3.5,8.4,41.8,1.3,3.6,34.5,1.5,1.9,80.0,0.8,2.9,3.6,4.9,1.0,0.0,1.4,12.6
Chris Mullin,13,21.8,9.5,3.2,7.7,41.0,1.7,4.2,40.0,1.5,1.8,87.0,0.2,1.4,1.5,1.2,0.8,0.2,1.5,6.9
Shandon Anderson,11,27.0,9.5,3.4,7.0,48.1,0.5,1.3,42.9,2.2,3.1,70.6,0.7,3.0,3.7,1.2,0.5,0.3,1.3,9.4
Dale Davis,13,30.3,9.1,3.5,5.9,58.4,0.0,0.0,0.0,2.2,3.8,56.0,3.5,6.7,10.2,0.8,0.8,1.4,1.6,16.5
George Lynch,8,31.1,9.0,3.6,8.1,44.6,0.3,0.8,33.3,1.5,2.1,70.6,3.5,3.1,6.6,2.0,2.3,0.3,1.6,13.4
Pat Garrity,3,17.3,9.0,3.0,5.7,52.9,1.0,1.0,100,2.0,2.0,100,2.0,1.0,3.0,0.3,0.3,0.3,1.0,9.3
Terry Porter,5,27.8,9.0,3.0,6.4,46.9,0.6,2.4,25.0,2.4,3.0,80.0,0.6,3.2,3.8,3.0,0.6,0.0,1.6,10.8
Tim Hardaway,5,36.4,9.0,3.0,11.2,26.8,1.0,5.0,20.0,2.0,3.2,62.5,0.6,2.2,2.8,6.4,1.0,0.2,3.6,6.4
Tariq Abdul-Wahad,5,19.8,8.6,3.0,6.6,45.5,0.0,0.2,0.0,2.6,3.2,81.3,1.2,2.6,3.8,0.8,0.8,0.8,0.6,10.0
Brent Price,4,24.5,8.3,2.8,6.0,45.8,1.3,3.5,35.7,1.5,1.5,100,0.8,1.3,2.0,3.5,1.0,0.3,1.5,10.3
Matt Harpring,4,20.5,8.3,3.0,6.5,46.2,0.3,1.3,20.0,2.0,2.8,72.7,1.8,3.3,5.0,1.8,0.3,0.0,1.3,9.8
Jaren Jackson,17,20.3,8.2,2.9,7.7,38.2,1.8,5.1,36.0,0.5,0.8,69.2,0.4,2.1,2.4,1.1,0.8,0.0,1.2,6.3
Jon Barry,5,22.4,8.0,2.4,6.8,35.3,1.0,3.8,26.3,2.2,2.4,91.7,0.6,1.4,2.0,1.8,1.2,0.2,1.8,6.8
Mario Elie,17,30.9,7.9,2.5,6.6,38.4,0.5,1.8,26.7,2.4,2.9,83.7,0.5,2.9,3.5,2.9,1.3,0.1,1.5,9.8
Antonio Davis,13,25.1,7.9,2.4,5.8,41.3,0.0,0.0,0.0,3.2,4.8,66.1,1.8,5.3,7.1,0.6,0.4,1.1,1.5,10.5
Tim Thomas,3,20.0,7.7,2.7,6.0,44.4,0.0,0.7,0.0,2.3,4.0,58.3,1.3,2.7,4.0,0.3,0.3,0.3,1.7,6.0
Tyrone Corbin,9,29.8,7.7,3.3,8.0,41.7,0.7,2.6,26.1,0.3,0.4,75.0,0.8,2.9,3.7,1.8,0.7,0.0,0.9,8.1
Joe Smith,4,30.0,7.5,2.8,9.3,29.7,0.0,0.0,0.0,2.0,2.8,72.7,2.5,4.0,6.5,1.3,0.5,2.0,1.3,9.3
Howard Eisley,11,21.9,7.4,2.4,6.5,36.6,0.5,2.2,20.8,2.2,2.6,82.8,0.3,1.5,1.8,2.9,0.6,0.3,1.8,6.6
Jim Jackson,13,20.4,7.3,2.0,5.5,36.1,0.4,1.4,27.8,2.9,3.2,90.5,0.6,1.7,2.3,1.5,0.5,0.1,1.4,6.5
Theo Ratliff,7,29.1,7.3,2.9,6.1,46.5,0.0,0.0,0.0,1.6,2.7,57.9,3.3,4.0,7.3,0.9,0.7,2.6,1.0,13.3
Lindsey Hunter,5,36.0,7.2,2.8,10.6,26.4,0.6,2.2,27.3,1.0,1.0,100,1.0,2.0,3.0,2.4,1.4,0.0,1.4,4.8
Cuttino Mobley,4,23.5,7.0,1.8,3.8,46.7,1.0,1.8,57.1,2.5,2.8,90.9,0.0,1.0,1.0,2.8,0.5,0.0,1.3,7.8
Anthony Peeler,4,31.3,6.8,2.8,8.8,31.4,1.3,3.3,38.5,0.0,0.0,0.0,1.8,2.3,4.0,1.5,1.0,0.0,1.0,6.3
Horace Grant,4,32.0,6.8,2.8,7.5,36.7,0.0,0.0,0.0,1.3,2.0,62.5,3.5,3.5,7.0,1.3,0.5,0.5,0.5,10.0
Michael Curry,3,19.7,6.7,2.3,4.0,58.3,0.0,0.3,0.0,2.0,2.0,100,0.3,1.0,1.3,1.0,0.7,0.3,0.7,7.7
Rick Fox,8,22.6,6.6,3.0,7.5,40.0,0.5,2.6,19.0,0.1,0.1,100,1.1,1.6,2.8,1.5,0.5,0.6,1.8,5.8
Ike Austin,4,28.0,6.5,2.3,5.8,39.1,0.0,0.5,0.0,2.0,3.0,66.7,1.8,2.3,4.0,2.0,1.0,0.8,2.0,7.8
Jerome Williams,5,24.6,6.2,2.4,5.4,44.4,0.0,0.0,0.0,1.4,1.8,77.8,2.4,4.0,6.4,0.8,0.8,0.0,0.8,10.0
Clar. Weatherspoon,5,22.4,5.8,1.8,5.2,34.6,0.0,0.0,0.0,2.2,3.4,64.7,0.8,3.4,4.2,0.4,1.4,0.2,0.6,6.8
Armen Gilliam,3,11.7,5.7,2.0,5.0,40.0,0.0,0.0,0.0,1.7,1.7,100,0.0,1.7,1.7,0.3,0.7,0.3,0.3,5.3
Rex Chapman,3,19.0,5.7,2.0,7.0,28.6,0.7,2.0,33.3,1.0,1.3,75.0,0.7,1.3,2.0,2.0,0.3,0.0,1.3,3.3
Tyrone Hill,8,24.5,5.6,2.4,4.9,48.7,0.0,0.0,0.0,0.9,2.4,36.8,2.4,5.0,7.4,0.0,0.4,0.3,0.8,8.9
Dean Garrett,4,23.0,5.5,2.5,4.5,55.6,0.0,0.0,0.0,0.5,1.3,40.0,2.3,1.8,4.0,1.3,0.5,0.8,0.5,8.8
Ed Gray,8,8.9,5.5,1.9,5.1,36.6,0.5,1.4,36.4,1.3,1.4,90.9,0.3,0.9,1.1,0.5,0.8,0.1,0.3,4.4
Othella Harrington,4,10.5,5.5,2.3,3.5,64.3,0.0,0.0,0.0,1.0,1.5,66.7,1.3,2.3,3.5,0.3,0.0,0.3,0.8,7.0
Randy Livingston,3,8.0,5.3,2.0,5.0,40.0,0.0,0.3,0.0,1.3,1.3,100,1.7,0.7,2.3,0.7,0.3,0.0,0.7,5.0
Robert Traylor,3,15.0,5.3,2.3,3.0,77.8,0.0,0.0,0.0,0.7,1.3,50.0,2.0,2.0,4.0,0.7,0.7,1.3,1.3,9.3
Kurt Thomas,20,21.0,5.3,2.3,5.9,38.1,0.0,0.0,0.0,0.8,1.2,69.6,1.9,3.6,5.5,0.4,0.8,0.6,1.0,7.6
Greg Anthony,13,17.3,5.2,1.4,4.2,32.7,0.6,2.4,25.8,1.8,2.6,67.6,0.3,0.8,1.1,2.5,1.0,0.1,0.7,5.4
Malik Sealy,4,17.5,5.0,2.0,5.8,34.8,0.0,0.0,0.0,1.0,1.3,80.0,0.5,1.0,1.5,0.8,0.3,0.3,0.5,3.3
Robert Horry,8,22.1,5.0,1.5,3.3,46.2,0.6,1.5,41.7,1.4,1.8,78.6,1.3,3.3,4.5,1.4,0.8,0.8,0.9,9.4
Walt Williams,13,14.2,4.8,1.6,4.5,36.2,1.0,2.5,40.6,0.6,1.1,57.1,0.4,0.8,1.2,0.8,0.5,0.2,0.8,3.5
Peja Stojakovic,5,21.6,4.8,1.8,5.2,34.6,0.6,2.8,21.4,0.6,0.6,100,2.4,1.4,3.8,0.4,0.6,0.0,1.2,5.0
Chris Childs,20,24.7,4.7,1.7,4.7,35.5,0.5,1.4,32.1,1.0,1.3,73.1,0.4,2.0,2.4,3.7,0.7,0.1,1.5,6.6
Charlie Ward,20,24.7,4.6,1.7,4.7,36.6,0.9,2.8,32.1,0.3,0.4,75.0,0.6,1.7,2.3,3.8,1.8,0.2,1.2,8.3
Bo Outlaw,4,20.8,4.5,1.5,2.5,60.0,0.0,0.0,0.0,1.5,3.3,46.2,0.8,3.0,3.8,0.5,0.3,2.0,1.5,6.8
Ervin Johnson,3,30.7,4.3,2.0,4.3,46.2,0.0,0.0,0.0,0.3,0.7,50.0,2.7,3.3,6.0,0.3,0.7,1.7,0.0,10.3
Haywoode Workman,3,17.7,4.3,1.3,3.7,36.4,0.0,1.0,0.0,1.7,2.0,83.3,0.3,0.7,1.0,2.3,1.0,0.0,2.3,3.7
Derek Harper,7,16.1,4.3,1.9,4.4,41.9,0.1,1.4,10.0,0.4,0.9,50.0,0.1,1.3,1.4,2.1,0.3,0.0,0.6,4.6
Michael Dickerson,4,20.5,4.3,1.5,5.5,27.3,0.8,2.0,37.5,0.5,1.0,50.0,0.5,0.5,1.0,0.8,0.5,0.8,0.5,2.3
Michael Doleac,4,10.8,4.3,1.3,4.5,27.8,0.0,0.3,0.0,1.8,2.3,77.8,1.3,1.8,3.0,0.0,0.0,0.3,0.8,3.0
Adam Keefe,10,10.1,4.1,1.8,3.0,60.0,0.0,0.0,0.0,0.5,0.5,100,0.7,1.7,2.4,0.3,0.4,0.3,0.8,5.5
Sam Perkins,13,11.2,4.1,1.4,2.7,51.4,0.8,1.8,45.8,0.5,0.7,66.7,0.2,1.8,1.9,0.5,0.0,0.2,0.5,4.6
Dan Majerle,5,30.4,4.0,1.0,5.2,19.2,1.0,4.4,22.7,1.0,1.4,71.4,0.6,5.2,5.8,1.2,1.0,0.4,0.6,7.2
Greg Ostertag,11,23.7,4.0,1.2,3.2,37.1,0.0,0.0,0.0,1.6,2.5,64.3,1.6,4.3,5.9,0.5,0.2,2.2,0.7,9.2
Derrick McKey,13,18.8,3.6,1.2,3.1,37.5,0.0,0.3,0.0,1.3,2.0,65.4,1.3,2.0,3.3,1.5,0.9,0.3,0.8,6.2
Thurl Bailey,11,10.5,3.4,1.5,3.0,51.5,0.0,0.0,0.0,0.3,0.4,75.0,0.5,0.9,1.4,0.2,0.3,0.5,0.7,3.5
J.R. Reid,8,22.3,3.3,1.3,3.5,35.7,0.0,0.0,0.0,0.8,1.0,75.0,1.1,4.1,5.3,0.4,0.5,0.6,0.3,7.3
Dell Curry,3,16.3,3.0,0.7,5.0,13.3,0.3,2.7,12.5,1.3,1.3,100,0.0,1.3,1.3,0.3,1.0,0.0,0.0,1.3
Scot Pollard,5,14.8,3.0,1.2,1.8,66.7,0.0,0.0,0.0,0.6,1.0,60.0,1.0,1.2,2.2,0.2,0.8,1.2,0.4,6.0
Malik Rose,17,11.4,2.7,0.8,2.2,36.8,0.0,0.0,0.0,1.1,1.5,69.2,1.0,1.3,2.3,0.2,0.4,0.2,0.6,3.4
Stacey Augmon,13,13.5,2.7,0.8,2.2,35.7,0.0,0.1,0.0,1.2,1.4,83.3,0.8,1.8,2.5,0.4,0.6,0.2,0.2,4.6
Anthony Johnson,9,12.3,2.7,0.9,3.2,27.6,0.1,0.2,50.0,0.8,1.1,70.0,0.3,0.7,1.0,1.1,0.1,0.1,0.6,1.8
Todd Fuller,10,10.5,2.6,1.0,2.6,38.5,0.0,0.0,0.0,0.6,1.0,60.0,0.8,2.0,2.8,0.0,0.0,0.2,0.5,3.1
Chris Dudley,18,16.3,2.4,0.9,2.1,42.1,0.0,0.0,0.0,0.6,1.6,39.3,1.5,3.1,4.6,0.3,0.5,0.4,0.5,5.5
Antoine Carr,4,9.3,2.0,1.0,2.8,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.8,1.0,0.0,0.3,1.0,2.3
Antonio Daniels,15,7.1,1.8,0.6,1.4,42.9,0.3,0.4,66.7,0.3,0.4,83.3,0.1,0.6,0.7,1.1,0.3,0.0,0.7,2.3
Jud Buechler,5,16.8,1.6,0.6,3.0,20.0,0.4,1.6,25.0,0.0,0.0,0.0,0.8,1.8,2.6,0.6,0.6,0.2,0.6,2.6
Eric Montross,5,14.0,1.4,0.6,1.2,50.0,0.0,0.0,0.0,0.2,0.4,50.0,0.6,2.0,2.6,0.0,0.0,0.4,0.0,3.6
Luc Longley,3,17.0,1.3,0.7,4.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.3,3.0,0.3,1.0,0.0,0.7,1.7
Sean Rooks,7,6.9,1.3,0.3,0.9,33.3,0.0,0.0,0.0,0.7,0.9,83.3,0.1,0.1,0.3,0.4,0.0,0.1,0.1,1.3
Bobby Jackson,4,6.8,1.0,0.5,2.5,20.0,0.0,0.8,0.0,0.0,0.0,0.0,0.3,0.8,1.0,0.5,0.0,0.0,0.3,0.3
Tom Hammonds,4,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100,0.0,0.5,0.5,0.0,0.0,0.0,0.3,1.3
Mark West,9,7.6,0.9,0.3,1.1,30.0,0.0,0.0,0.0,0.2,0.4,50.0,0.3,0.7,1.0,0.2,0.2,0.1,0.7,0.8
James Robinson,4,2.5,0.8,0.3,1.0,25.0,0.3,0.8,33.3,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.8,-0.5
