Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Rick Barry,15,40.9,34.7,13.1,32.6,40.3,-,-,-,8.5,10.5,80.9,-,-,7.5,3.9,-,-,-,24.7
Hal Greer,15,45.9,27.7,10.7,25.0,42.9,-,-,-,6.3,7.9,79.7,-,-,5.9,5.3,-,-,-,23.0
Willis Reed,4,37.0,27.5,10.8,20.0,53.8,-,-,-,6.0,6.3,96.0,-,-,13.8,1.8,-,-,-,33.5
John Havlicek,9,36.7,27.4,10.6,23.6,44.8,-,-,-,6.3,7.9,80.3,-,-,8.1,3.1,-,-,-,24.1
Sam Jones,9,36.2,26.7,10.6,23.0,45.9,-,-,-,5.6,6.4,86.2,-,-,5.1,3.1,-,-,-,21.6
Archie Clark,3,41.7,25.7,10.7,20.7,51.6,-,-,-,4.3,5.7,76.5,-,-,4.3,5.0,-,-,-,23.7
Oscar Robertson,4,45.8,24.8,8.3,16.0,51.6,-,-,-,8.3,9.3,89.2,-,-,4.0,11.3,-,-,-,31.3
Elgin Baylor,3,40.3,23.7,9.3,25.3,36.8,-,-,-,5.0,6.7,75.0,-,-,13.0,3.0,-,-,-,22.0
Lou Hudson,9,35.2,22.6,8.6,19.9,43.0,-,-,-,5.4,7.6,72.1,-,-,5.3,1.7,-,-,-,16.1
Chet Walker,15,36.7,21.7,7.7,16.4,46.7,-,-,-,6.4,7.9,80.7,-,-,7.6,2.1,-,-,-,21.2
Wilt Chamberlain,15,47.9,21.7,8.8,15.2,57.9,-,-,-,4.1,10.7,38.8,-,-,29.1,9.0,-,-,-,46.9
Lenny Wilkens,9,42.0,21.4,6.4,16.1,40.0,-,-,-,8.6,10.0,85.6,-,-,7.6,7.2,-,-,-,25.1
Bob Boozer,3,35.0,19.7,8.0,12.7,63.2,-,-,-,3.7,4.7,78.6,-,-,11.7,0.3,-,-,-,26.0
Walt Bellamy,4,39.3,18.3,7.0,13.5,51.9,-,-,-,4.3,7.3,58.6,-,-,16.5,3.0,-,-,-,28.3
Jeff Mullins,15,33.2,17.7,7.3,16.1,45.0,-,-,-,3.1,3.9,79.7,-,-,6.1,3.9,-,-,-,17.9
Wali Jones,15,31.7,17.5,7.3,16.3,44.7,-,-,-,3.0,3.9,77.6,-,-,2.8,4.1,-,-,-,14.5
Connie Dierking,4,37.8,17.5,8.0,18.8,42.7,-,-,-,1.5,1.5,100,-,-,13.0,3.5,-,-,-,23.3
Don Kojis,3,34.7,17.0,7.7,16.0,47.9,-,-,-,1.7,2.7,62.5,-,-,10.0,1.3,-,-,-,19.0
Freddie Crawford,4,28.0,17.0,7.8,18.3,42.5,-,-,-,1.5,3.0,50.0,-,-,6.0,4.0,-,-,-,15.0
Jim King,15,30.5,16.3,6.8,14.4,47.2,-,-,-,2.7,3.9,69.0,-,-,6.7,3.3,-,-,-,17.5
Happy Hairston,4,35.0,16.0,7.0,13.5,51.9,-,-,-,2.0,3.8,53.3,-,-,6.8,1.5,-,-,-,16.0
Zelmo Beaty,9,35.3,15.9,5.1,11.6,44.2,-,-,-,5.7,7.2,78.5,-,-,9.9,1.3,-,-,-,19.1
Nate Thurmond,15,46.0,15.9,6.2,14.3,43.3,-,-,-,3.5,6.1,57.1,-,-,23.1,3.1,-,-,-,31.3
Bill Bridges,9,41.0,15.7,5.3,14.2,37.5,-,-,-,5.0,7.4,67.2,-,-,18.8,2.4,-,-,-,25.6
Cazzie Russell,4,22.3,15.5,6.5,16.5,39.4,-,-,-,2.5,3.3,76.9,-,-,4.8,2.8,-,-,-,12.3
