Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Jerry West,15,41.5,30.8,11.0,20.9,52.7,-,-,-,8.8,11.3,78.1,-,-,5.4,5.5,-,-,-,29.3
Elgin Baylor,15,42.2,28.5,11.7,25.1,46.8,-,-,-,5.1,7.5,67.9,-,-,14.5,4.0,-,-,-,31.3
Dave Bing,6,42.3,28.2,11.3,27.7,41.0,-,-,-,5.5,7.5,73.3,-,-,4.0,4.8,-,-,-,18.7
John Havlicek,19,45.4,25.9,9.7,21.4,45.2,-,-,-,6.6,7.9,82.8,-,-,8.6,7.5,-,-,-,28.9
Hal Greer,13,42.5,25.8,9.2,21.4,43.2,-,-,-,7.3,8.5,85.6,-,-,6.1,4.2,-,-,-,22.7
Jeff Mullins,10,39.0,25.1,11.0,21.1,52.1,-,-,-,3.1,4.3,72.1,-,-,4.4,4.9,-,-,-,23.1
Dick Barnett,6,35.2,23.8,10.2,19.5,52.1,-,-,-,3.5,4.8,72.4,-,-,4.5,3.5,-,-,-,21.2
Wilt Chamberlain,13,48.5,23.7,9.5,17.8,53.4,-,-,-,4.6,12.2,38.0,-,-,24.7,6.5,-,-,-,39.1
Cazzie Russell,6,34.8,21.7,9.2,16.3,56.1,-,-,-,3.3,4.0,83.3,-,-,3.8,1.7,-,-,-,19.3
Lou Hudson,6,30.2,21.7,7.3,16.5,44.4,-,-,-,7.0,7.8,89.4,-,-,7.2,2.3,-,-,-,21.2
Zelmo Beaty,6,39.8,21.5,7.2,15.3,46.7,-,-,-,7.2,9.2,78.2,-,-,13.5,2.5,-,-,-,27.3
Willis Reed,6,35.0,21.3,8.8,16.3,54.1,-,-,-,3.7,5.0,73.3,-,-,10.3,1.8,-,-,-,24.7
Sam Jones,19,36.1,20.5,8.5,19.3,44.1,-,-,-,3.5,4.4,78.6,-,-,3.4,2.6,-,-,-,14.8
Rudy LaRusso,10,38.5,20.3,7.2,18.2,39.6,-,-,-,5.9,8.1,72.8,-,-,9.9,1.7,-,-,-,18.7
Walt Bellamy,6,46.2,20.0,7.5,17.8,42.1,-,-,-,5.0,8.0,62.5,-,-,16.0,3.5,-,-,-,26.2
Dave DeBusschere,6,43.8,19.3,7.5,17.7,42.5,-,-,-,4.3,7.5,57.8,-,-,16.2,2.2,-,-,-,24.3
Chet Walker,13,37.3,19.1,6.6,16.2,41.0,-,-,-,5.8,8.6,67.9,-,-,7.4,1.8,-,-,-,16.0
Bob Boozer,5,38.0,18.8,6.6,14.6,45.2,-,-,-,5.6,7.6,73.7,-,-,8.8,2.4,-,-,-,20.0
Fred Hetzel,10,32.1,18.8,6.9,15.0,46.0,-,-,-,5.0,6.1,82.0,-,-,6.6,1.6,-,-,-,17.8
Lenny Wilkens,6,39.5,18.3,6.7,15.2,44.0,-,-,-,5.0,6.7,75.0,-,-,6.3,7.8,-,-,-,22.3
Bailey Howell,19,31.4,18.1,7.1,13.9,51.1,-,-,-,3.9,5.6,69.2,-,-,7.7,1.2,-,-,-,18.4
Jim Washington,5,41.0,17.2,7.6,17.0,44.7,-,-,-,2.0,3.0,66.7,-,-,15.0,2.0,-,-,-,23.8
Bill Bridges,6,36.0,15.7,6.3,12.5,50.7,-,-,-,3.0,4.2,72.0,-,-,12.8,2.3,-,-,-,23.5
Archie Clark,15,35.2,15.3,5.9,13.7,42.7,-,-,-,3.5,4.6,76.8,-,-,3.1,4.0,-,-,-,13.5
Eddie Miles,6,32.8,14.5,6.5,15.8,41.1,-,-,-,1.5,2.0,75.0,-,-,3.7,2.5,-,-,-,10.8
