Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Wilt Chamberlain,12,46.5,34.7,14.6,26.8,54.3,-,-,-,5.5,11.6,47.5,-,-,25.2,3.3,-,-,-,44.8
Jerry West,5,41.2,31.2,11.4,23.0,49.6,-,-,-,8.4,10.6,79.2,-,-,7.2,3.4,-,-,-,28.0
Oscar Robertson,10,47.1,29.3,9.2,20.2,45.5,-,-,-,10.9,12.7,85.8,-,-,8.9,8.4,-,-,-,33.8
Elgin Baylor,5,44.2,24.2,9.0,23.8,37.8,-,-,-,6.2,8.0,77.5,-,-,11.6,5.6,-,-,-,24.8
Sam Jones,10,35.6,23.2,9.1,18.0,50.6,-,-,-,5.0,6.8,73.5,-,-,4.7,2.3,-,-,-,19.5
Hal Greer,5,42.2,21.4,7.4,19.0,38.9,-,-,-,6.6,7.8,84.6,-,-,5.6,6.0,-,-,-,20.2
Bob Pettit,12,41.2,21.0,7.8,18.8,41.2,-,-,-,5.5,6.6,83.5,-,-,14.5,2.8,-,-,-,26.1
Jack Twyman,10,35.4,20.5,8.3,17.6,47.2,-,-,-,3.9,4.9,79.6,-,-,8.7,1.6,-,-,-,20.5
Johnny Kerr,5,37.0,19.0,8.0,16.6,48.2,-,-,-,3.0,4.0,75.0,-,-,13.8,3.2,-,-,-,26.4
Chet Walker,5,38.0,18.8,6.0,15.4,39.0,-,-,-,6.8,9.2,73.9,-,-,10.4,2.6,-,-,-,20.0
Richie Guerin,12,35.7,18.1,6.3,14.1,44.4,-,-,-,5.6,7.1,78.8,-,-,4.2,4.1,-,-,-,17.0
Tom Heinsohn,10,30.8,17.4,7.0,18.0,38.9,-,-,-,3.4,4.2,81.0,-,-,8.0,2.6,-,-,-,16.2
Tom Meschery,12,33.8,16.8,6.7,14.3,46.8,-,-,-,3.5,4.5,77.8,-,-,7.3,1.8,-,-,-,17.3
Cliff Hagan,12,32.7,16.3,6.3,14.6,42.9,-,-,-,3.8,4.5,83.3,-,-,6.2,4.8,-,-,-,18.1
Paul Neumann,5,33.0,16.0,5.4,11.8,45.8,-,-,-,5.2,6.2,83.9,-,-,2.6,5.0,-,-,-,16.2
John Havlicek,10,28.9,15.7,6.1,15.9,38.4,-,-,-,3.5,4.4,79.5,-,-,4.3,3.2,-,-,-,12.5
Lenny Wilkens,12,34.4,14.3,5.3,11.9,44.8,-,-,-,3.7,4.8,75.9,-,-,5.0,5.3,-,-,-,16.9
Zelmo Beaty,12,36.3,14.3,5.3,10.1,52.1,-,-,-,3.8,5.6,68.7,-,-,9.5,1.0,-,-,-,18.3
Dave Gambee,5,29.8,13.8,4.8,12.0,40.0,-,-,-,4.2,5.4,77.8,-,-,5.8,1.6,-,-,-,12.8
Dick Barnett,5,30.8,13.8,4.2,10.4,40.4,-,-,-,5.4,6.4,84.4,-,-,1.6,3.4,-,-,-,11.6
Wayne Embry,10,36.3,13.4,5.3,13.9,38.1,-,-,-,2.8,4.5,62.2,-,-,12.4,2.1,-,-,-,17.6
