Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
John Williamson,2,46.0,29.5,11.5,31.0,37.1,-,-,-,6.5,8.0,81.3,1.5,1.5,3.0,4.0,2.0,0.0,7.0,10.5
George Gervin,14,36.6,28.6,11.3,21.1,53.6,-,-,-,6.0,7.4,80.8,2.4,3.5,5.9,2.5,1.9,1.0,2.9,25.8
Kareem Abdul-Jabbar,8,45.9,28.5,11.0,19.0,57.9,-,-,-,6.5,7.8,83.9,2.3,10.4,12.6,4.8,1.0,4.1,3.6,38.1
David Thompson,3,40.7,28.0,12.7,23.0,55.1,-,-,-,2.7,3.7,72.7,2.3,4.7,7.0,4.0,1.3,0.3,4.0,25.3
Gus Williams,17,36.4,26.7,10.7,22.5,47.6,-,-,-,5.3,7.5,70.9,2.1,2.0,4.1,3.7,2.0,0.6,2.5,20.8
Bernard King,2,40.5,26.0,10.5,21.0,50.0,-,-,-,5.0,12.0,41.7,2.5,3.0,5.5,3.5,2.0,0.0,3.0,16.5
Julius Erving,9,41.3,25.4,9.9,19.1,51.7,-,-,-,5.7,7.4,76.1,3.2,4.6,7.8,5.9,2.0,1.9,4.2,27.8
Moses Malone,2,39.0,24.5,9.0,20.5,43.9,-,-,-,6.5,9.0,72.2,12.5,8.0,20.5,1.0,0.5,4.0,4.0,32.5
Dan Issel,3,36.3,24.3,8.0,15.0,53.3,-,-,-,8.3,10.3,80.6,2.3,7.0,9.3,3.3,0.0,0.0,3.0,25.0
Bob Dandridge,19,41.4,23.1,9.2,19.4,47.3,-,-,-,4.8,5.8,82.7,2.4,5.0,7.4,5.5,0.7,0.8,3.1,23.2
Elvin Hayes,19,41.4,22.5,8.9,20.8,42.9,-,-,-,4.6,6.8,66.9,4.9,9.1,14.0,2.0,0.9,2.7,2.9,25.0
Paul Westphal,15,35.6,22.4,9.5,19.1,49.5,-,-,-,3.5,4.4,78.8,0.5,1.7,2.2,4.3,1.0,0.3,2.5,17.1
Walter Davis,15,32.7,22.1,8.5,16.3,52.0,-,-,-,5.2,6.4,81.3,1.6,3.0,4.6,5.3,1.7,0.3,4.4,20.7
Larry Kenon,14,39.8,21.1,9.1,20.9,43.8,-,-,-,2.8,3.8,73.6,4.1,7.4,11.4,3.0,1.4,0.1,2.4,21.9
Otis Birdsong,5,33.6,21.0,7.8,15.2,51.3,-,-,-,5.4,7.6,71.1,1.6,2.0,3.6,1.8,2.0,0.0,2.0,16.8
Dennis Johnson,17,40.1,20.9,8.0,17.8,45.0,-,-,-,4.9,6.4,77.1,2.6,3.5,6.1,4.1,1.6,1.5,3.0,20.1
Mychal Thompson,3,40.3,19.7,9.0,18.0,50.0,-,-,-,1.7,3.3,50.0,3.0,7.3,10.3,2.0,0.7,1.7,1.7,22.0
Scott Wedman,5,34.8,19.2,7.2,15.6,46.2,-,-,-,4.8,6.4,75.0,2.6,4.8,7.4,1.8,1.8,0.6,2.8,18.0
James Silas,14,33.9,19.1,7.3,15.4,47.4,-,-,-,4.5,5.7,78.8,0.9,2.1,3.0,4.7,1.5,0.1,2.6,16.5
Eddie Jordan,2,41.5,19.0,7.5,19.0,39.5,-,-,-,4.0,4.5,88.9,3.0,4.5,7.5,8.5,4.0,1.5,3.0,25.5
Maurice Cheeks,9,36.7,18.8,7.3,13.4,54.5,-,-,-,4.1,6.2,66.1,1.4,2.4,3.9,7.0,4.1,0.4,3.2,22.8
