Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Hakeem Olajuwon,22,42.2,33.0,13.9,26.2,53.1,0.1,0.2,50.0,5.0,7.4,68.1,2.0,8.3,10.3,4.5,1.2,2.8,3.1,34.0
Michael Jordan,10,42.0,31.5,12.0,24.8,48.4,1.1,3.0,36.7,6.4,7.9,81.0,2.0,4.5,6.5,4.5,2.3,1.4,4.1,27.8
Karl Malone,5,43.2,30.2,9.6,20.6,46.6,0.2,0.6,33.3,10.8,15.6,69.2,3.0,10.2,13.2,3.8,1.4,0.4,2.8,30.4
Charles Barkley,10,39.0,25.7,9.1,18.2,50.0,0.9,3.5,25.7,6.6,9.0,73.3,3.9,9.5,13.4,3.2,1.3,1.1,2.5,30.7
Shaquille O'Neal,21,38.3,25.7,9.3,16.1,57.7,0.0,0.0,0.0,7.1,12.4,57.1,4.5,7.4,11.9,3.3,0.9,1.9,3.5,28.0
Reggie Miller,17,37.7,25.5,8.1,17.1,47.6,3.2,7.5,42.2,6.1,7.1,86.0,0.5,3.1,3.6,2.1,0.9,0.2,2.3,20.1
David Robinson,15,41.5,25.3,8.6,19.3,44.6,0.1,0.3,20.0,8.1,9.9,81.2,3.8,8.3,12.1,3.1,1.5,2.6,3.7,28.4
Kevin Johnson,10,37.1,24.8,8.6,15.0,57.3,0.5,1.0,50.0,7.1,8.4,84.5,0.7,3.4,4.1,9.3,0.9,0.4,3.4,28.4
Shawn Kemp,4,40.0,24.8,8.3,14.3,57.9,0.3,0.3,100,8.0,9.8,82.1,4.3,7.8,12.0,2.8,2.0,1.8,3.8,31.8
Rod Strickland,3,42.0,23.3,9.0,21.7,41.5,0.7,1.7,40.0,4.7,6.0,77.8,0.3,3.7,4.0,12.3,1.0,0.7,3.3,24.0
Alonzo Mourning,4,43.5,22.0,6.0,14.3,42.1,1.0,2.0,50.0,9.0,10.8,83.7,3.5,9.8,13.3,2.8,0.8,3.3,3.5,28.5
Larry Johnson,4,43.0,20.8,7.8,16.3,47.7,0.3,2.3,11.1,5.0,6.3,80.0,2.5,3.3,5.8,2.8,1.0,0.5,1.5,19.5
Clyde Drexler,22,38.6,20.5,7.0,14.6,48.1,1.4,4.5,30.3,5.0,6.4,78.6,2.0,5.0,7.0,5.0,1.5,0.7,2.0,23.7
Rik Smits,17,32.1,20.1,7.5,13.6,54.7,0.1,0.1,100,5.1,6.3,80.4,1.9,5.1,7.0,2.0,0.3,0.8,2.0,20.8
Nick Van Exel,10,46.4,20.0,6.7,16.2,41.4,2.1,6.6,31.8,4.5,5.9,76.3,0.9,2.9,3.8,7.3,2.1,0.3,2.2,20.4
