Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Bob Cousy,7,42.7,21.7,7.6,19.9,38.1,-,-,-,6.6,6.9,95.8,-,-,6.1,9.3,-,-,-,24.6
Bill Sharman,7,41.4,20.7,7.9,15.7,50.0,-,-,-,5.0,5.4,92.1,-,-,5.4,5.4,-,-,-,23.3
Nat Clifton,3,36.7,19.7,6.7,17.3,38.5,-,-,-,6.3,8.0,79.2,-,-,7.7,4.3,-,-,-,19.3
Dolph Schayes,11,33.0,19.0,5.5,15.2,35.9,-,-,-,8.1,9.6,84.0,-,-,12.8,3.6,-,-,-,24.2
Harry Gallatin,3,36.0,18.3,6.3,14.0,45.2,-,-,-,5.7,7.3,77.3,-,-,14.7,2.3,-,-,-,26.0
Ed Macauley,7,40.4,18.1,6.1,13.3,46.2,-,-,-,5.9,7.7,75.9,-,-,7.4,4.6,-,-,-,21.1
Bobby Wanzer,3,33.3,18.0,5.3,11.7,45.7,-,-,-,7.3,8.0,91.7,-,-,7.0,2.7,-,-,-,20.7
Carl Braun,3,34.3,18.0,6.0,14.7,40.9,-,-,-,6.0,6.7,90.0,-,-,4.7,5.3,-,-,-,18.7
Jack McMahon,3,36.3,17.3,5.7,14.0,40.5,-,-,-,6.0,9.3,64.3,-,-,5.7,5.0,-,-,-,16.3
Clyde Lovellette,7,28.1,16.7,6.3,14.0,44.9,-,-,-,4.1,5.7,72.5,-,-,9.1,0.4,-,-,-,17.0
Arnie Risen,3,25.7,16.0,5.7,12.7,44.7,-,-,-,4.7,6.3,73.7,-,-,12.3,1.7,-,-,-,21.3
Jim Baechtold,3,38.3,16.0,5.7,15.0,37.8,-,-,-,4.7,5.0,93.3,-,-,4.7,4.7,-,-,-,15.7
George Yardley,11,38.2,15.8,5.2,13.0,39.9,-,-,-,5.5,7.2,75.9,-,-,9.0,3.3,-,-,-,18.5
Larry Foust,11,30.1,15.6,5.5,13.8,39.5,-,-,-,4.7,6.6,71.2,-,-,9.7,2.4,-,-,-,17.5
Mel Hutchins,11,37.9,14.4,5.5,13.1,41.7,-,-,-,3.5,5.1,67.9,-,-,8.1,2.8,-,-,-,16.0
Jim Pollard,7,36.7,14.1,4.7,14.9,31.7,-,-,-,4.7,6.6,71.7,-,-,11.1,2.0,-,-,-,15.3
Johnny Kerr,11,33.0,13.8,5.4,13.7,39.1,-,-,-,3.1,5.5,55.7,-,-,10.7,1.2,-,-,-,14.9
Slater Martin,7,45.0,13.7,4.0,13.4,29.8,-,-,-,5.7,7.0,81.6,-,-,4.0,4.4,-,-,-,11.4
Vern Mikkelsen,7,29.9,13.7,4.3,12.1,35.3,-,-,-,5.1,6.6,78.3,-,-,11.1,1.9,-,-,-,17.4
Whitey Skoog,7,34.4,13.0,5.1,13.1,39.1,-,-,-,2.7,3.0,90.5,-,-,5.3,2.3,-,-,-,12.3
Paul Seymour,11,37.3,12.5,4.2,13.5,30.9,-,-,-,4.1,4.5,90.0,-,-,3.9,6.8,-,-,-,13.4
Red Rocha,11,33.7,12.4,4.2,10.0,41.8,-,-,-,4.0,5.3,75.9,-,-,6.7,1.3,-,-,-,13.3
Odie Spears,3,30.0,11.7,4.0,8.3,48.0,-,-,-,3.7,5.3,68.8,-,-,4.7,3.3,-,-,-,13.7
Earl Lloyd,11,32.3,11.5,4.0,11.1,36.1,-,-,-,3.5,4.7,75.0,-,-,8.1,3.2,-,-,-,14.5
Frank Brian,11,24.5,11.5,4.4,10.9,40.0,-,-,-,2.8,3.5,81.6,-,-,2.0,2.5,-,-,-,8.8
George King,11,33.7,11.5,4.2,10.6,39.3,-,-,-,3.2,5.0,63.6,-,-,3.7,5.6,-,-,-,12.6
Frank Ramsey,7,22.0,10.7,4.0,7.7,51.9,-,-,-,2.7,3.7,73.1,-,-,5.0,2.3,-,-,-,13.3
Jack Nichols,7,33.0,10.4,4.3,11.6,37.0,-,-,-,1.9,2.3,81.3,-,-,7.0,3.3,-,-,-,13.0
Bob Brannum,7,32.1,9.0,3.7,8.7,42.6,-,-,-,1.6,2.7,57.9,-,-,11.3,1.9,-,-,-,16.0
Andy Phillip,11,40.5,8.5,2.7,8.5,32.3,-,-,-,3.1,3.6,85.0,-,-,5.5,7.1,-,-,-,14.8
Bob Davies,3,25.0,8.3,3.7,11.0,33.3,-,-,-,1.0,1.3,75.0,-,-,2.0,3.0,-,-,-,5.7
Bob Peterson,3,23.7,8.0,2.3,5.0,46.7,-,-,-,3.3,3.7,90.9,-,-,5.3,1.7,-,-,-,12.0
Jack Coleman,3,30.3,8.0,3.7,12.0,30.6,-,-,-,0.7,3.0,22.2,-,-,9.3,2.7,-,-,-,9.3
Lew Hitch,7,19.6,7.9,2.3,5.7,40.0,-,-,-,3.3,4.1,79.3,-,-,6.0,1.4,-,-,-,11.0
Don Barksdale,7,17.4,7.7,2.6,5.7,45.0,-,-,-,2.6,3.0,85.7,-,-,5.0,1.4,-,-,-,10.6
Dick Schnittker,7,20.0,7.6,2.0,7.3,27.5,-,-,-,3.6,5.1,69.4,-,-,4.4,1.0,-,-,-,6.1
Dick Rosenthal,11,19.0,7.5,2.5,7.6,32.1,-,-,-,2.5,3.5,71.8,-,-,4.4,2.4,-,-,-,8.0
Gene Shue,3,16.3,7.3,2.7,5.7,47.1,-,-,-,2.0,2.3,85.7,-,-,4.0,1.3,-,-,-,9.3
Bob Houbregs,11,19.4,7.0,2.2,5.7,38.1,-,-,-,2.6,3.4,78.4,-,-,5.6,1.7,-,-,-,10.1
Dick McGuire,3,25.0,6.7,2.0,6.3,31.6,-,-,-,2.7,4.0,66.7,-,-,3.0,4.0,-,-,-,8.0
Bill Kenville,11,11.8,6.4,1.5,4.4,35.4,-,-,-,3.3,4.5,73.5,-,-,2.8,1.0,-,-,-,6.2
Jim Holstein,7,16.7,5.7,2.3,5.4,42.1,-,-,-,1.1,1.3,88.9,-,-,4.3,0.9,-,-,-,7.6
Ray Felix,3,21.0,5.7,0.7,5.3,12.5,-,-,-,4.3,7.0,61.9,-,-,4.0,0.3,-,-,-,2.7
Don Meineke,11,14.7,5.4,1.6,3.6,45.0,-,-,-,2.1,2.3,92.0,-,-,4.4,0.8,-,-,-,8.4
Art Spoelstra,3,9.3,5.0,2.3,4.7,50.0,-,-,-,0.3,0.3,100,-,-,3.0,0.0,-,-,-,5.7
Dick Farley,11,15.3,4.7,1.7,5.1,33.9,-,-,-,1.3,2.3,56.0,-,-,1.2,1.8,-,-,-,3.4
Max Zaslofsky,11,11.7,4.7,1.6,4.0,40.9,-,-,-,1.5,1.8,80.0,-,-,1.5,1.6,-,-,-,5.1
Don Henriksen,3,23.3,4.3,1.0,4.0,25.0,-,-,-,2.3,3.3,70.0,-,-,5.3,1.0,-,-,-,6.7
Paul Walther,10,9.5,3.5,1.2,2.2,54.5,-,-,-,1.1,1.8,61.1,-,-,2.0,0.8,-,-,-,4.6
