Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Michael Jordan,22,41.8,34.5,13.2,26.4,49.9,0.8,2.0,38.6,7.4,8.6,85.7,1.7,4.5,6.2,5.8,2.0,0.7,3.7,31.1
Karl Malone,16,43.0,29.1,9.3,17.8,52.1,0.0,0.1,0.0,10.6,13.1,80.5,2.7,8.6,11.3,2.6,1.4,1.2,2.9,31.6
Reggie Lewis,10,40.8,28.0,11.5,21.8,52.8,0.2,0.6,33.3,4.8,6.3,76.2,1.1,3.2,4.3,3.9,2.4,0.8,1.6,26.0
Reggie Miller,3,43.3,27.0,8.3,14.3,58.1,2.3,3.7,63.6,8.0,10.0,80.0,1.3,1.0,2.3,4.7,1.3,0.0,1.3,26.0
Clyde Drexler,21,40.3,26.3,9.4,20.2,46.6,0.9,3.9,23.5,6.6,8.1,80.7,2.9,4.5,7.4,7.0,1.5,1.0,2.8,28.0
Terry Cummings,3,40.7,26.0,11.3,22.0,51.5,0.0,0.3,0.0,3.3,6.7,50.0,5.0,6.3,11.3,2.3,1.3,1.3,2.3,26.0
Tim Hardaway,4,44.0,24.5,8.0,20.0,40.0,2.5,7.3,34.5,6.0,9.3,64.9,1.5,2.3,3.8,7.3,3.3,0.0,3.5,20.0
Drazen Petrovic,4,40.8,24.3,10.3,19.0,53.9,1.0,3.0,33.3,2.8,3.3,84.6,1.0,1.5,2.5,3.3,1.0,0.3,2.0,20.0
Kevin Johnson,8,41.9,23.6,7.8,16.0,48.4,0.4,0.8,50.0,7.8,9.0,86.1,1.0,3.1,4.1,11.6,1.5,0.3,3.1,28.5
Patrick Ewing,12,40.2,22.7,9.1,19.9,45.6,0.0,0.1,0.0,4.5,6.1,74.0,2.8,8.3,11.1,2.3,0.6,2.6,1.9,24.8
Danny Manning,5,38.8,22.6,9.2,16.2,56.8,0.2,0.6,33.3,4.0,6.2,64.5,3.0,2.6,5.6,2.8,1.0,0.8,2.6,21.0
Derrick Coleman,4,40.5,22.3,9.0,18.5,48.6,0.3,1.5,16.7,4.0,5.3,76.2,3.3,8.0,11.3,5.3,1.8,1.0,2.8,28.0
Brad Daugherty,17,40.4,21.5,7.3,13.8,52.8,0.0,0.1,0.0,6.9,8.5,81.4,2.2,8.1,10.2,3.4,0.6,1.0,2.2,26.5
Terry Porter,21,41.4,21.4,7.0,13.6,51.6,1.8,3.7,47.4,5.7,6.8,83.2,1.2,3.4,4.6,6.7,1.0,0.1,2.2,24.0
Sarunas Marciulionis,4,33.3,21.3,6.3,11.8,53.2,0.3,0.5,50.0,8.5,10.3,82.9,0.8,1.5,2.3,5.0,0.8,0.3,1.0,21.3
