Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Kobe Bryant,5,43.0,32.8,12.0,26.0,46.2,2.0,5.6,35.7,6.8,7.4,91.9,0.2,5.0,5.2,4.4,1.0,0.4,4.4,24.8
Antawn Jamison,4,43.3,32.0,12.3,25.8,47.6,2.3,6.5,34.6,5.3,7.0,75.0,3.3,6.5,9.8,1.3,0.5,1.0,1.8,27.5
Carmelo Anthony,5,42.0,26.8,9.4,19.6,48.0,1.8,3.6,50.0,6.2,7.8,79.5,3.6,5.0,8.6,1.2,1.0,0.0,3.8,22.0
Amar'e Stoudemire,10,34.3,25.3,9.1,17.4,52.3,0.1,0.3,33.3,7.0,9.1,76.9,3.0,9.1,12.1,0.6,1.3,1.9,1.9,28.9
Tracy McGrady,7,40.0,25.3,9.0,22.9,39.4,1.3,5.1,25.0,6.0,8.1,73.7,0.7,5.1,5.9,7.3,0.7,0.9,3.0,21.0
Baron Davis,11,40.5,25.3,8.9,17.4,51.3,2.3,6.1,37.3,5.2,6.7,77.0,1.0,3.5,4.5,6.5,2.9,0.6,2.9,27.0
Yao Ming,7,37.1,25.1,7.9,17.9,44.0,0.0,0.0,0.0,9.4,10.7,88.0,3.3,7.0,10.3,0.9,0.1,0.7,4.7,21.1
LeBron James,20,44.7,25.1,8.3,20.0,41.6,1.1,3.8,28.0,7.4,9.8,75.5,1.3,6.8,8.1,8.0,1.7,0.5,3.3,25.9
Carlos Boozer,17,38.5,23.5,9.5,17.8,53.6,0.0,0.0,0.0,4.5,6.1,73.8,3.2,9.0,12.2,2.9,1.0,0.3,3.0,27.1
Dwyane Wade,4,40.5,23.5,9.0,21.0,42.9,0.0,1.3,0.0,5.5,8.0,68.8,1.8,3.0,4.8,6.3,1.3,0.5,5.8,16.0
Allen Iverson,5,44.6,22.8,8.4,22.8,36.8,1.0,3.4,29.4,5.0,6.2,80.6,0.0,0.6,0.6,5.8,1.4,0.0,3.0,12.0
Vince Carter,12,40.6,22.3,7.8,19.6,39.6,1.8,4.5,38.9,5.1,7.3,69.3,1.4,5.4,6.8,5.3,0.9,0.6,3.2,18.8
Luol Deng,10,41.0,22.2,8.8,16.8,52.4,0.0,0.1,0.0,4.6,5.7,80.7,3.0,5.7,8.7,2.4,1.0,0.7,2.3,23.6
Tim Duncan,20,36.8,22.2,8.7,16.7,52.1,0.0,0.0,0.0,4.8,7.5,64.4,3.7,7.8,11.5,3.3,0.7,3.1,3.0,27.1
Josh Howard,6,41.3,21.3,8.5,16.5,51.5,1.2,3.0,38.9,3.2,4.5,70.4,2.5,7.3,9.8,2.8,2.2,0.8,2.0,25.7
Tony Parker,20,37.6,20.8,8.4,17.5,48.0,0.4,1.1,33.3,3.6,5.3,67.9,0.7,2.7,3.4,5.8,1.1,0.0,3.3,16.9
Ben Gordon,10,39.5,20.4,6.1,14.7,41.5,2.4,5.5,43.6,5.8,6.3,92.1,0.9,2.9,3.8,3.8,0.9,0.1,3.4,16.5
Stephen Jackson,11,41.3,19.9,5.5,14.6,37.9,2.4,6.5,36.1,6.5,7.9,81.6,0.5,3.1,3.6,3.6,2.0,0.7,3.7,15.6
Dirk Nowitzki,6,39.8,19.7,6.0,15.7,38.3,0.7,3.2,21.1,7.0,8.3,84.0,4.2,7.2,11.3,2.3,1.8,1.3,2.3,23.2
Richard Jefferson,12,40.8,19.7,6.8,14.0,48.2,1.1,3.3,32.5,5.1,5.5,92.4,0.3,5.3,5.6,2.3,0.8,0.4,2.3,18.8
Lamar Odom,5,38.4,19.4,8.2,17.0,48.2,0.6,2.2,27.3,2.4,4.8,50.0,4.0,9.0,13.0,2.2,0.4,1.2,2.0,23.0
Deron Williams,17,38.6,19.2,7.2,15.9,45.2,1.1,3.4,33.3,3.8,4.8,79.0,0.5,3.8,4.3,8.6,1.5,0.2,4.0,20.2
Jason Richardson,11,38.9,19.1,7.4,15.5,47.6,2.6,7.5,35.4,1.7,2.5,70.4,2.2,4.5,6.7,2.0,1.3,0.5,2.2,18.5
Steve Nash,11,37.5,18.9,6.7,14.5,46.3,1.7,3.5,48.7,3.7,4.2,89.1,0.4,2.8,3.2,13.3,0.4,0.1,4.4,23.2
Richard Hamilton,16,39.9,18.8,6.8,15.8,42.9,0.5,1.3,40.0,4.8,5.6,86.5,2.0,2.3,4.3,3.8,0.9,0.1,1.9,16.2
Shaquille O'Neal,4,30.3,18.8,8.3,14.8,55.9,0.0,0.0,0.0,2.3,6.8,33.3,4.0,4.5,8.5,1.3,0.3,1.5,3.5,15.8
Chauncey Billups,16,40.6,18.6,5.3,12.1,43.5,2.2,5.6,38.9,5.9,7.1,83.2,0.4,2.9,3.3,5.7,1.2,0.1,2.9,18.0
Chris Bosh,6,37.0,17.5,6.0,15.2,39.6,0.2,0.8,20.0,5.3,6.3,84.2,1.2,7.8,9.0,2.5,0.8,1.8,2.0,19.5
Jason Terry,6,38.2,17.0,6.5,15.3,42.4,1.5,5.3,28.1,2.5,3.0,83.3,0.5,1.8,2.3,3.7,0.8,0.3,2.8,12.0
Shawn Marion,11,41.4,16.9,6.9,13.8,50.0,1.1,3.1,35.3,2.0,3.0,66.7,2.5,7.9,10.4,1.2,1.5,1.7,1.1,22.6
Manu Ginobili,20,30.1,16.7,5.0,12.4,40.1,1.9,5.0,38.4,4.9,5.8,83.6,0.8,4.7,5.5,3.7,1.7,0.2,2.1,17.2
T.J. Ford,6,22.7,16.0,6.2,12.7,48.7,0.8,1.7,50.0,2.8,3.5,81.0,0.8,0.8,1.7,4.0,1.2,0.3,2.3,13.7
Leandro Barbosa,11,31.7,15.8,5.8,14.4,40.5,1.6,5.4,30.5,2.5,3.5,71.8,0.6,2.8,3.5,2.2,1.1,0.2,2.0,11.2
Dwight Howard,4,41.8,15.3,5.8,10.5,54.8,0.0,0.0,0.0,3.8,8.3,45.5,4.0,10.8,14.8,1.8,0.5,1.0,4.3,19.8
Nene,5,35.8,15.2,6.2,10.6,58.5,0.0,0.0,0.0,2.8,3.6,77.8,4.4,3.4,7.8,2.4,0.6,0.6,2.6,18.8
