Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Rolando Blackman,4,42.3,32.8,11.8,23.0,51.1,0.3,0.5,50.0,9.0,9.5,94.7,2.8,3.8,6.5,4.8,0.5,0.5,3.5,29.8
Alex English,14,38.3,30.2,11.6,21.7,53.6,0.0,0.1,0.0,6.9,7.8,89.0,2.6,4.0,6.6,4.5,1.2,0.4,2.1,29.8
Michael Jordan,4,42.8,29.3,8.5,19.5,43.6,0.3,2.0,12.5,12.0,14.5,82.8,1.8,4.0,5.8,8.5,2.8,1.0,3.8,30.0
Mark Aguirre,4,41.0,29.0,11.0,22.3,49.4,0.3,0.5,50.0,6.8,8.0,84.4,4.0,3.5,7.5,4.0,0.8,0.0,3.8,25.0
Terry Cummings,8,38.9,27.5,10.8,18.6,57.7,0.0,0.1,0.0,6.0,7.3,82.8,2.6,6.1,8.8,2.5,1.5,0.9,3.3,28.8
World Free,4,37.5,26.3,10.3,23.3,44.1,0.0,1.0,0.0,5.8,6.3,92.0,1.0,1.5,2.5,7.8,1.5,0.0,1.5,23.0
Larry Bird,20,40.8,26.0,9.8,21.3,46.1,0.4,1.3,28.0,6.1,6.8,89.0,2.7,6.5,9.1,5.8,1.7,1.0,2.9,28.5
Adrian Dantley,10,39.8,25.3,7.9,15.1,52.3,0.0,0.1,0.0,9.5,12.2,77.9,2.5,5.0,7.5,2.0,1.6,0.0,3.6,22.9
Buck Williams,3,41.0,24.7,8.7,13.3,65.0,0.0,0.0,0.0,7.3,10.0,73.3,4.7,6.0,10.7,0.3,1.0,1.7,2.0,29.0
Isiah Thomas,9,39.4,24.3,9.2,18.4,50.0,0.7,1.7,40.0,5.2,6.9,75.8,1.2,4.0,5.2,11.2,2.1,0.4,3.3,29.1
Sidney Moncrief,8,39.9,23.0,6.9,12.4,55.6,0.5,1.3,40.0,8.8,9.4,93.3,1.3,3.0,4.3,5.0,0.6,0.5,2.5,24.8
Kiki Vandeweghe,9,34.6,22.4,9.4,17.6,53.8,0.1,0.8,14.3,3.4,3.7,93.9,1.6,1.4,3.0,1.9,0.9,0.3,1.3,18.9
Calvin Natt,15,33.9,22.3,8.7,15.9,55.0,0.0,0.0,0.0,4.8,5.9,80.9,2.1,4.5,6.6,3.8,0.5,0.3,2.1,23.2
George Gervin,5,36.6,22.2,8.4,15.8,53.2,0.0,0.6,0.0,5.4,6.8,79.4,0.6,3.0,3.6,2.8,0.6,0.6,4.0,17.0
Kevin McHale,21,39.9,22.1,8.2,14.4,56.8,0.0,0.0,0.0,5.8,7.1,80.7,3.5,6.4,9.9,1.5,0.6,2.2,2.9,25.9
Albert King,3,35.0,22.0,9.3,19.0,49.1,0.3,0.3,100,3.0,4.3,69.2,1.3,6.3,7.7,1.7,2.3,0.7,3.3,20.0
Kareem Abdul-Jabbar,19,32.1,21.9,8.8,15.8,56.0,0.0,0.0,0.0,4.2,5.4,77.7,2.6,5.5,8.1,4.0,1.2,1.9,2.7,26.2
Mike Mitchell,5,36.0,21.8,8.8,15.6,56.4,0.0,0.2,0.0,4.2,4.8,87.5,1.0,2.8,3.8,2.4,0.6,0.8,1.8,20.2
James Worthy,19,32.9,21.5,8.7,14.1,62.2,0.1,0.1,50.0,3.9,5.8,67.6,1.8,3.2,5.1,2.2,0.9,0.7,1.4,21.7
Hakeem Olajuwon,5,37.4,21.2,8.4,17.6,47.7,0.0,0.0,0.0,4.4,9.2,47.8,6.6,6.4,13.0,1.4,1.4,2.6,2.2,23.4
Ralph Sampson,5,38.6,21.2,8.6,20.0,43.0,0.2,0.2,100,3.8,7.4,51.4,5.0,11.6,16.6,1.4,0.4,1.6,3.4,22.8
Orlando Woolridge,4,41.8,20.5,8.5,17.0,50.0,0.0,0.0,0.0,3.5,4.5,77.8,1.5,1.8,3.3,2.0,1.5,0.3,3.0,15.0
Moses Malone,13,38.8,20.2,6.9,16.3,42.5,0.0,0.1,0.0,6.3,7.9,79.6,2.8,7.8,10.6,1.8,1.3,1.7,1.8,22.8
Maurice Lucas,3,28.0,19.7,7.3,15.7,46.8,0.0,0.0,0.0,5.0,6.3,78.9,4.0,7.0,11.0,3.3,0.7,0.7,2.7,23.0
Sam Perkins,4,42.3,18.8,6.0,12.3,49.0,0.3,1.0,25.0,6.5,8.5,76.5,4.0,8.8,12.8,2.8,0.5,0.3,0.8,26.0
Micheal Ray Richardson,3,41.7,18.3,7.7,19.0,40.4,0.0,0.7,0.0,3.0,4.7,64.3,1.3,4.7,6.0,11.3,1.3,0.0,2.7,21.3
Gus Williams,4,39.8,18.0,7.5,17.8,42.3,0.8,2.5,30.0,2.3,3.0,75.0,1.0,1.0,2.0,5.0,1.3,0.3,3.3,12.3
Artis Gilmore,5,37.0,17.8,5.8,10.4,55.8,0.0,0.0,0.0,6.2,9.0,68.9,2.0,8.0,10.0,1.4,0.4,1.4,4.6,19.0
Magic Johnson,19,36.2,17.5,6.1,11.9,51.3,0.1,0.4,14.3,5.3,6.2,84.7,1.0,6.1,7.1,15.2,1.7,0.2,4.0,30.9
Darrell Griffith,10,34.0,17.5,7.2,15.8,45.6,1.3,3.6,36.1,1.8,2.5,72.0,0.6,2.3,2.9,2.5,1.2,0.5,2.5,12.8
Jeff Ruland,4,40.5,17.5,7.0,11.8,59.6,0.0,0.5,0.0,3.5,5.0,70.0,3.0,5.5,8.5,5.3,2.3,1.0,5.8,22.5
Dennis Johnson,21,40.4,17.3,6.8,15.2,44.5,0.0,0.7,0.0,3.8,4.4,86.0,1.1,2.9,4.0,7.3,1.5,0.4,3.4,18.1
Mike Sanders,3,30.3,17.3,7.3,12.3,59.5,0.0,0.0,0.0,2.7,3.3,80.0,2.7,2.3,5.0,3.3,1.7,0.0,3.0,18.7
Lewis Lloyd,5,34.8,17.2,7.6,15.4,49.4,0.0,0.0,0.0,2.0,2.8,71.4,3.0,2.8,5.8,5.0,1.4,1.6,2.0,20.4
Robert Parish,21,38.2,17.1,6.5,13.1,49.3,0.0,0.0,0.0,4.1,5.3,78.4,2.7,7.7,10.4,1.5,1.0,1.6,2.4,21.4
Julius Erving,13,33.4,17.1,6.5,14.4,44.9,0.0,0.1,0.0,4.2,4.8,85.7,2.2,3.4,5.6,3.7,1.9,0.8,2.8,17.7
