Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Michael Jordan,19,42.3,31.1,11.9,26.2,45.6,0.7,3.5,19.4,6.5,7.8,83.1,2.2,5.7,7.9,4.8,1.6,0.9,2.6,28.1
Anfernee Hardaway,5,44.0,31.0,10.4,22.2,46.8,2.2,6.0,36.7,8.0,10.8,74.1,1.4,4.6,6.0,3.4,2.4,1.4,1.8,27.8
Glen Rice,3,45.7,27.7,9.3,19.0,49.1,2.0,5.3,37.5,7.0,7.7,91.3,0.3,3.3,3.7,3.7,1.3,0.3,1.3,25.0
Shaquille O'Neal,9,36.2,26.9,9.9,19.2,51.4,0.0,0.0,0.0,7.1,11.7,61.0,4.2,6.3,10.6,3.2,0.6,1.9,2.4,26.8
Karl Malone,20,40.8,26.0,9.4,21.5,43.5,0.1,0.1,50.0,7.2,10.0,72.0,3.0,8.4,11.4,2.9,1.4,0.8,2.7,24.7
Rex Chapman,5,38.2,24.2,8.2,16.6,49.4,4.4,9.6,45.8,3.4,5.0,68.0,0.4,2.8,3.2,2.6,0.4,0.0,3.0,17.4
Gary Payton,12,45.5,23.8,8.8,21.3,41.2,2.1,6.3,33.3,4.2,5.1,82.0,1.7,3.8,5.4,8.7,2.2,0.3,2.9,24.0
Grant Hill,5,40.6,23.6,9.0,20.6,43.7,0.0,0.0,0.0,5.6,7.8,71.8,2.6,4.2,6.8,5.4,0.8,1.0,3.8,20.0
Hakeem Olajuwon,16,39.3,23.1,9.2,15.6,59.0,0.0,0.2,0.0,4.8,6.5,73.1,2.9,8.0,10.9,3.4,2.1,2.6,2.9,31.0
Patrick Ewing,9,39.7,22.6,9.8,18.6,52.7,0.0,0.1,0.0,3.0,4.7,64.3,2.9,7.7,10.6,1.9,0.3,2.4,3.0,24.3
Shawn Kemp,12,36.8,21.6,7.1,14.6,48.6,0.2,0.8,20.0,7.3,8.8,82.9,4.3,8.0,12.3,3.0,1.2,1.3,3.9,26.5
Stephon Marbury,3,39.0,21.3,8.7,21.7,40.0,2.0,6.7,30.0,2.0,3.3,60.0,0.7,3.3,4.0,7.7,0.7,0.0,3.0,16.3
Rasheed Wallace,4,37.0,19.8,8.3,14.0,58.9,0.5,1.3,40.0,2.8,5.0,55.0,2.0,4.0,6.0,1.5,0.5,0.5,1.5,18.8
Rod Strickland,3,41.3,19.7,7.3,17.3,42.3,0.3,0.7,50.0,4.7,6.3,73.7,1.7,4.3,6.0,8.3,1.0,0.0,3.7,19.7
Allan Houston,9,40.0,19.2,6.4,14.8,43.6,2.9,5.8,50.0,3.4,3.9,88.6,0.3,2.2,2.6,2.3,0.7,0.3,2.7,13.7
