Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Michael Jordan,19,41.2,35.1,13.2,27.8,47.5,1.5,3.8,38.9,7.2,8.9,80.5,1.7,5.1,6.7,6.0,2.1,0.9,2.4,32.1
Reggie Miller,4,43.8,31.5,10.0,18.8,53.3,2.5,4.8,52.6,9.0,9.5,94.7,1.0,2.0,3.0,2.8,0.8,0.0,2.5,26.3
Dominique Wilkins,3,37.7,30.0,10.7,25.0,42.7,1.0,4.0,25.0,7.7,10.0,76.7,4.0,1.3,5.3,3.0,1.0,0.3,3.3,19.7
Derrick Coleman,5,45.0,26.8,10.0,18.8,53.2,1.0,2.4,41.7,5.8,7.2,80.6,2.6,10.8,13.4,4.6,1.2,2.6,2.6,35.8
Charles Barkley,24,42.8,26.6,9.6,20.1,47.7,0.4,1.9,22.2,7.0,9.1,77.1,3.9,9.7,13.6,4.3,1.6,1.0,2.1,32.4
Hakeem Olajuwon,12,43.2,25.7,10.3,19.8,51.7,0.0,0.1,0.0,5.2,6.3,82.7,4.3,9.7,14.0,4.8,1.8,4.9,3.8,36.7
Patrick Ewing,15,40.3,25.5,11.0,21.5,51.2,0.1,0.1,100,3.4,5.3,63.8,2.9,8.1,10.9,2.4,1.1,2.1,2.6,27.0
Karl Malone,5,43.2,24.0,8.8,19.4,45.4,0.2,0.4,50.0,6.2,7.6,81.6,2.4,8.0,10.4,2.0,1.2,0.4,4.0,22.0
Alonzo Mourning,9,40.8,23.8,7.9,16.4,48.0,0.0,0.2,0.0,8.0,10.3,77.4,3.1,6.8,9.9,1.4,0.7,3.4,4.1,24.2
David Robinson,10,42.1,23.1,7.9,17.0,46.5,0.0,0.1,0.0,7.3,11.0,66.4,2.9,9.7,12.6,4.0,1.0,3.6,2.5,29.0
Rik Smits,4,35.8,22.5,9.3,16.0,57.8,0.0,0.3,0.0,4.0,5.5,72.7,3.3,4.8,8.0,1.8,1.3,1.0,2.0,24.3
Scottie Pippen,19,41.5,20.1,8.0,17.2,46.5,0.2,0.9,17.6,3.9,6.1,63.8,1.9,5.0,6.9,5.6,2.2,0.7,3.7,20.3
Larry Johnson,9,38.7,19.8,7.6,13.6,55.7,0.1,0.4,25.0,4.6,5.8,78.8,2.1,4.8,6.9,3.3,0.6,0.2,2.1,21.4
Detlef Schrempf,4,41.3,19.5,6.3,13.5,46.3,0.0,0.5,0.0,7.0,9.0,77.8,0.8,5.0,5.8,7.3,0.3,0.5,4.3,19.8
Kevin McHale,4,28.3,19.0,8.0,13.8,58.2,0.0,0.0,0.0,3.0,3.5,85.7,2.3,5.0,7.3,0.8,0.5,1.8,1.3,21.8
Brad Daugherty,9,39.6,18.7,7.1,12.8,55.7,0.0,0.0,0.0,4.4,5.6,80.0,2.9,8.8,11.7,3.4,0.7,0.8,2.9,25.6
Danny Manning,5,34.2,18.2,7.0,17.0,41.2,0.0,0.4,0.0,4.2,5.2,80.8,2.4,4.8,7.2,1.6,1.4,1.0,2.6,15.8
Ron Harper,5,34.8,18.0,7.4,15.6,47.4,1.0,2.0,50.0,2.2,3.4,64.7,0.8,3.2,4.0,3.2,3.0,2.0,2.2,18.6
Sedale Threatt,5,41.0,18.0,7.8,17.8,43.8,0.6,2.6,23.1,1.8,2.4,75.0,0.6,2.8,3.4,8.0,2.6,0.2,2.4,19.2
Vlade Divac,5,33.4,18.0,7.4,14.8,50.0,0.8,1.8,44.4,2.4,4.4,54.5,3.4,6.0,9.4,5.6,1.2,2.4,2.2,25.0
Kevin Johnson,23,39.7,17.8,6.2,13.0,48.0,0.0,0.1,0.0,5.4,6.8,79.5,0.4,2.3,2.7,7.9,1.5,0.6,3.7,18.7
Ricky Pierce,19,30.4,17.7,6.5,14.2,45.6,0.6,1.6,40.0,4.2,4.6,89.8,0.9,1.5,2.4,2.2,0.6,0.2,1.5,13.5
Kendall Gill,9,39.2,17.3,7.2,18.0,40.1,0.1,0.7,16.7,2.8,3.9,71.4,2.9,2.2,5.1,2.9,2.3,0.7,2.1,14.3
Chris Morris,5,32.6,17.0,6.8,12.2,55.7,1.2,3.2,37.5,2.2,2.4,91.7,2.6,3.8,6.4,1.4,1.6,1.2,0.6,21.4
Robert Parish,4,36.5,17.0,7.8,14.3,54.4,0.0,0.0,0.0,1.5,1.8,85.7,3.3,6.3,9.5,1.3,0.3,1.5,1.5,21.3
Kevin Willis,3,34.3,16.7,7.0,15.0,46.7,0.0,0.3,0.0,2.7,4.7,57.1,4.3,4.3,8.7,1.0,0.7,0.0,2.3,14.7
Terry Porter,4,38.0,16.5,6.8,17.0,39.7,0.8,4.8,15.8,2.3,2.8,81.8,1.0,4.0,5.0,2.0,1.0,0.0,1.5,12.3
Shawn Kemp,19,34.9,16.5,5.8,11.3,51.2,0.0,0.0,0.0,4.9,6.1,80.9,4.2,5.8,10.0,2.6,1.5,2.1,2.8,23.2
John Starks,15,38.3,16.5,5.9,13.3,44.0,1.9,5.0,37.3,2.9,4.0,71.7,0.3,3.2,3.5,6.4,1.0,0.2,3.7,15.3
Larry Nance,9,36.6,16.1,6.8,12.0,56.5,0.0,0.0,0.0,2.6,3.3,76.7,3.9,4.3,8.2,2.3,0.9,1.6,0.7,22.4
Sean Elliott,10,38.1,15.8,5.9,12.5,47.2,0.3,1.4,21.4,3.7,4.0,92.5,0.8,4.0,4.8,3.6,0.8,0.3,2.2,16.2
Drazen Petrovic,5,38.6,15.6,6.0,13.2,45.5,0.4,1.2,33.3,3.2,4.0,80.0,0.4,1.4,1.8,1.8,0.4,0.0,4.4,7.2
Dan Majerle,24,44.6,15.4,5.6,13.0,43.1,2.3,5.7,39.4,2.0,2.9,69.6,1.2,4.6,5.8,3.7,1.4,1.2,1.3,17.9
Mark Jackson,5,37.6,15.2,5.6,12.8,43.8,0.2,0.4,50.0,3.8,4.4,86.4,1.6,4.2,5.8,7.6,1.6,0.2,2.6,20.0
Kenny Smith,12,32.6,14.8,5.3,10.7,49.2,1.9,3.8,50.0,2.3,3.0,77.8,0.2,1.8,2.0,4.2,0.8,0.1,2.2,13.5
Otis Thorpe,12,34.9,14.5,6.1,9.6,63.5,0.0,0.0,0.0,2.3,3.6,65.1,3.0,5.6,8.6,2.6,0.5,0.1,1.4,20.1
Sam Perkins,19,32.9,14.4,5.2,11.8,43.6,1.6,4.2,38.0,2.5,2.9,87.3,1.7,5.3,7.0,1.9,1.0,1.3,1.1,17.5
Jerome Kersey,4,24.5,14.3,5.5,10.5,52.4,0.3,0.3,100,3.0,4.3,70.6,2.5,6.0,8.5,1.0,1.0,0.5,0.5,18.5
Elden Campbell,5,35.6,14.0,5.8,13.8,42.0,0.0,0.0,0.0,2.4,4.8,50.0,3.4,5.0,8.4,1.4,1.2,2.4,2.4,14.6
James Worthy,5,29.6,13.8,6.4,17.2,37.2,0.4,1.6,25.0,0.6,1.0,60.0,1.4,2.0,3.4,2.6,1.0,0.0,1.4,8.2
Kevin Gamble,4,35.5,13.8,5.8,10.5,54.8,1.3,3.0,41.7,1.0,1.0,100,0.8,1.5,2.3,2.5,1.5,0.3,1.3,14.3
Byron Scott,5,35.4,13.6,4.2,8.4,50.0,1.6,3.0,53.3,3.6,4.6,78.3,0.0,2.2,2.2,1.8,1.0,0.0,0.8,12.6
Rod Strickland,4,39.0,13.5,5.5,13.0,42.3,0.0,0.3,0.0,2.5,3.0,83.3,2.3,4.3,6.5,9.3,1.3,0.5,1.8,21.3
Jeff Malone,5,30.0,13.4,5.8,13.0,44.6,0.0,0.0,0.0,1.8,2.6,69.2,0.6,2.6,3.2,0.6,0.6,0.2,1.8,8.2
John Stockton,5,38.6,13.2,4.6,10.2,45.1,1.0,2.6,38.5,3.0,3.6,83.3,1.0,1.4,2.4,11.0,2.4,0.0,3.0,19.8
Mark Price,9,32.0,13.0,4.8,10.8,44.3,0.9,2.9,30.8,2.6,2.7,95.8,0.1,2.0,2.1,6.1,1.7,0.0,3.7,13.1
Ken Norman,5,32.8,12.8,5.0,13.4,37.3,0.6,1.6,37.5,2.2,4.4,50.0,2.8,5.4,8.2,2.4,0.8,0.0,0.2,13.4
Dale Ellis,10,30.5,12.5,5.1,11.3,45.1,1.0,3.2,31.3,1.3,1.6,81.3,0.9,2.6,3.5,1.1,0.4,0.0,1.0,10.0
Xavier McDaniel,4,31.5,12.5,5.5,13.3,41.5,0.0,0.5,0.0,1.5,2.3,66.7,1.5,3.0,4.5,2.3,0.3,0.8,1.8,10.0
Anthony Mason,15,34.0,12.5,4.8,8.1,59.0,0.0,0.0,0.0,2.9,4.5,63.2,3.7,3.6,7.3,2.7,0.7,0.4,1.5,17.0
Gary Payton,19,31.8,12.3,5.5,12.4,44.3,0.1,0.3,16.7,1.3,1.9,67.6,1.2,2.2,3.3,3.7,1.8,0.2,1.8,11.9
Stacey Augmon,3,31.0,12.0,4.7,10.3,45.2,0.0,0.0,0.0,2.7,4.0,66.7,1.0,1.7,2.7,1.7,1.3,0.0,1.3,9.3
Tyrone Corbin,5,32.2,11.8,4.8,10.0,48.0,0.0,0.0,0.0,2.2,3.4,64.7,3.2,4.4,7.6,1.8,0.6,0.2,1.4,14.2
B.J. Armstrong,19,33.8,11.4,4.6,8.8,52.4,1.1,2.2,51.2,1.1,1.2,90.9,0.3,1.2,1.5,3.3,1.0,0.1,0.7,12.2
Stanley Roberts,5,29.8,11.4,5.2,10.0,52.0,0.0,0.2,0.0,1.0,3.6,27.8,3.4,4.8,8.2,0.2,0.6,0.6,2.0,11.6
Derrick McKey,19,34.1,11.3,4.4,8.3,52.5,0.1,0.3,40.0,2.4,3.6,66.7,2.7,2.5,5.2,3.7,0.6,0.9,1.9,14.6
Dee Brown,4,33.3,11.3,3.8,10.3,36.6,0.3,1.8,14.3,3.5,3.5,100,0.5,1.0,1.5,3.8,0.5,1.0,1.5,10.0
Charles Smith,15,25.9,11.1,4.3,9.2,47.1,0.0,0.0,0.0,2.5,3.3,74.0,1.8,2.2,4.0,1.3,0.6,0.9,1.9,10.3
Charles Oakley,15,33.8,11.1,4.2,8.7,48.1,0.0,0.0,0.0,2.7,3.7,72.7,4.7,6.3,11.0,1.1,1.1,0.1,2.4,16.5
Dell Curry,9,24.7,11.0,4.7,10.8,43.3,0.7,2.3,28.6,1.0,1.2,81.8,1.2,2.3,3.6,2.0,1.4,0.0,1.4,10.2
Duane Ferrell,3,18.0,11.0,4.7,7.7,60.9,0.3,1.0,33.3,1.3,1.7,80.0,0.3,1.3,1.7,0.3,0.0,0.0,1.3,8.3
Sherman Douglas,4,41.5,11.0,4.3,11.3,37.8,0.0,0.8,0.0,2.5,3.8,66.7,3.0,3.5,6.5,9.5,1.0,0.0,3.0,16.8
Richard Dumas,23,21.7,10.9,4.7,8.9,52.5,0.0,0.1,0.0,1.6,2.1,75.5,1.6,1.3,2.8,1.0,0.9,0.6,1.2,10.3
Craig Ehlo,9,32.1,10.9,4.2,10.1,41.8,1.1,2.9,38.5,1.3,1.7,80.0,1.1,2.3,3.4,2.8,1.3,0.4,1.9,10.8
Eddie Johnson,19,20.1,10.8,4.3,11.1,39.0,0.6,1.9,33.3,1.5,1.6,93.5,0.9,1.5,2.4,0.9,0.2,0.1,1.0,6.4
Horace Grant,19,34.3,10.7,4.4,8.0,54.6,0.0,0.0,0.0,1.9,2.8,68.5,3.2,5.0,8.2,2.3,1.2,1.2,0.9,18.2
Gerald Wilkins,9,26.2,10.3,4.2,9.7,43.7,0.4,1.3,33.3,1.4,1.9,76.5,0.7,1.1,1.8,2.7,1.0,0.2,1.2,8.9
Clifford Robinson,4,32.8,10.3,4.0,15.3,26.2,0.0,0.3,0.0,2.3,5.5,40.9,2.5,1.8,4.3,1.5,1.5,1.8,2.0,2.8
Robert Horry,12,31.2,10.3,3.9,8.4,46.5,0.8,2.5,30.0,1.7,2.3,74.1,1.2,4.0,5.2,3.2,1.5,1.3,2.3,14.0
Doc Rivers,15,30.5,10.2,3.2,7.1,45.3,0.7,2.1,35.5,3.1,4.0,76.7,0.4,2.2,2.6,5.7,1.9,0.1,2.0,13.7
A.C. Green,5,44.0,9.8,3.6,8.4,42.9,0.0,1.0,0.0,2.6,4.2,61.9,5.2,9.4,14.6,2.6,1.4,0.6,1.8,20.8
Rumeal Robinson,5,27.2,9.8,4.2,9.8,42.9,0.4,1.4,28.6,1.0,1.4,71.4,0.8,1.6,2.4,7.0,1.0,0.0,4.0,10.2
Muggsy Bogues,9,38.4,9.8,4.3,9.1,47.6,0.0,0.2,0.0,1.1,1.6,71.4,0.7,3.3,4.0,7.8,2.7,0.0,1.9,17.1
Mark Bryant,4,20.8,9.8,4.3,9.3,45.9,0.0,0.0,0.0,1.3,1.3,100,2.5,2.0,4.5,0.0,0.0,0.8,1.5,8.5
Willie Anderson,10,21.9,9.5,3.7,8.2,45.1,0.6,1.1,54.5,1.5,1.7,88.2,0.4,1.9,2.3,2.8,0.9,0.2,1.2,9.8
Hot Rod Williams,9,26.3,9.0,3.3,8.3,40.0,0.0,0.0,0.0,2.3,3.1,75.0,1.3,3.2,4.6,1.9,0.6,1.6,1.2,10.6
Mookie Blaylock,3,33.0,9.0,3.0,8.3,36.0,1.3,4.0,33.3,1.7,2.0,83.3,0.7,3.7,4.3,4.3,1.0,1.3,3.7,10.7
Buck Williams,4,29.8,8.8,2.8,5.8,47.8,0.0,0.0,0.0,3.3,4.8,68.4,3.0,4.3,7.3,0.3,0.3,0.8,1.5,11.3
J.R. Reid,10,22.0,8.5,2.9,6.0,48.3,0.0,0.2,0.0,2.7,3.5,77.1,1.6,3.4,5.0,1.5,0.8,0.8,1.3,11.4
Avery Johnson,10,31.4,8.2,3.6,7.0,51.4,0.0,0.1,0.0,1.0,1.4,71.4,0.8,2.3,3.1,8.1,1.0,0.1,2.3,14.4
Danny Ainge,24,24.6,8.1,2.7,7.1,37.6,1.4,3.3,41.3,1.4,1.6,87.2,0.8,1.7,2.5,2.3,0.5,0.1,0.9,8.0
Johnny Newman,9,19.2,7.6,3.1,6.1,50.9,0.1,0.6,20.0,1.2,1.8,68.8,0.8,1.3,2.1,2.0,1.1,0.1,1.7,7.7
David Benoit,5,27.2,7.4,2.6,8.2,31.7,0.4,1.8,22.2,1.8,2.6,69.2,1.4,3.4,4.8,1.0,0.6,1.2,0.4,8.2
Tom Chambers,24,15.7,7.3,2.7,6.9,38.8,0.1,0.2,40.0,1.8,2.3,81.5,1.0,1.8,2.7,0.5,0.3,0.4,1.1,5.4
Oliver Miller,24,21.4,7.2,3.0,5.0,58.7,0.0,0.1,0.0,1.3,2.3,56.4,1.4,3.8,5.2,2.1,0.9,2.5,1.8,13.0
Tony Smith,5,14.6,6.8,2.6,5.0,52.0,0.4,0.8,50.0,1.2,1.8,66.7,1.0,0.6,1.6,0.4,0.2,0.2,0.6,5.6
Terry Cummings,10,13.8,6.7,3.1,7.0,44.3,0.0,0.1,0.0,0.5,0.8,62.5,1.7,2.2,3.9,0.5,0.3,0.1,0.8,6.5
Mike Brown,5,18.6,6.6,2.6,5.0,52.0,0.0,0.0,0.0,1.4,2.2,63.6,0.8,2.4,3.2,0.4,0.0,0.2,1.0,6.2
Winston Garland,12,20.5,6.4,2.5,6.2,40.5,0.0,0.1,0.0,1.4,1.4,100,0.5,2.3,2.8,2.6,1.3,0.0,1.8,7.6
Terrell Brandon,8,16.5,6.4,2.5,5.8,43.5,0.3,0.6,40.0,1.1,1.1,100,0.5,1.6,2.1,2.1,0.9,0.4,1.8,6.9
Bill Cartwright,19,23.4,6.3,2.4,5.2,46.5,0.0,0.0,0.0,1.5,1.9,77.8,1.5,3.0,4.5,1.5,0.6,0.2,0.7,9.2
Adam Keefe,3,17.7,6.0,2.3,4.3,53.8,0.0,0.0,0.0,1.3,2.0,66.7,1.3,3.0,4.3,2.0,0.3,0.0,1.0,9.0
Kenny Gattison,9,20.8,5.9,2.4,5.1,47.8,0.0,0.0,0.0,1.0,2.3,42.9,2.1,2.2,4.3,1.2,0.6,0.1,0.8,7.3
Dwayne Schintzius,5,21.2,5.8,2.6,5.8,44.8,0.0,0.0,0.0,0.6,1.2,50.0,1.2,3.8,5.0,0.8,0.2,1.2,0.6,8.6
Mike Sanders,8,18.1,5.8,2.5,6.0,41.7,0.0,0.3,0.0,0.8,1.3,60.0,1.0,1.3,2.3,1.3,1.0,0.1,0.4,6.0
Alaa Abdelnaby,4,17.0,5.5,2.8,6.0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.8,3.3,0.3,0.0,0.3,2.3,3.8
Scott Williams,19,20.8,5.5,2.3,4.6,50.6,0.0,0.1,0.0,0.8,1.5,55.2,2.1,3.7,5.8,1.4,0.4,0.9,1.3,9.7
Jay Humphries,5,23.0,5.2,2.2,6.6,33.3,0.4,1.6,25.0,0.4,0.8,50.0,1.0,1.0,2.0,3.4,0.6,0.6,1.2,5.8
Matt Bullard,12,14.1,5.1,1.7,3.5,47.6,1.3,2.3,53.6,0.5,0.5,100,0.3,1.6,1.9,1.1,0.3,0.4,0.8,6.3
Mario Elie,4,13.0,5.0,1.3,2.5,50.0,0.5,0.5,100,2.0,2.3,88.9,0.5,1.0,1.5,1.0,0.5,0.3,1.3,5.5
John Paxson,19,17.4,4.9,1.8,3.2,58.3,0.8,1.3,62.5,0.4,0.6,72.7,0.3,0.7,1.0,1.7,0.3,0.1,0.2,6.3
Danny Ferry,8,14.8,4.9,1.6,4.3,38.2,0.5,1.1,44.4,1.1,1.3,90.0,0.5,2.6,3.1,1.8,0.5,0.4,0.9,7.0
Michael Cage,19,19.9,4.8,2.2,4.2,52.5,0.0,0.0,0.0,0.4,0.9,38.9,2.5,3.4,5.8,0.5,0.7,0.4,0.8,8.8
Nate McMillan,19,21.8,4.8,1.8,5.4,34.0,0.3,1.3,20.8,0.8,1.6,53.3,1.1,2.4,3.5,5.4,2.1,0.6,1.3,10.8
George McCloud,4,19.8,4.8,2.0,5.8,34.8,0.5,3.0,16.7,0.3,1.0,25.0,0.8,2.0,2.8,3.5,1.0,0.3,1.3,6.5
Mark West,24,19.5,4.8,1.8,3.3,54.4,0.0,0.0,0.0,1.2,1.9,60.9,1.5,2.6,4.1,0.5,0.2,1.4,0.7,7.9
Carl Herrera,12,16.3,4.7,1.8,4.8,38.6,0.0,0.2,0.0,1.0,1.7,60.0,1.3,2.4,3.8,0.6,0.3,0.2,0.9,4.9
Kevin Duckworth,4,14.5,4.5,1.8,5.3,33.3,0.0,0.0,0.0,1.0,1.0,100,1.0,2.3,3.3,0.8,0.0,0.3,1.5,3.8
Mark Eaton,5,23.4,4.4,2.0,3.8,52.6,0.0,0.0,0.0,0.4,0.8,50.0,3.2,3.4,6.6,0.4,0.0,1.8,0.4,10.6
Maurice Cheeks,5,16.4,4.4,2.2,4.6,47.8,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.6,1.2,2.8,1.2,0.2,1.4,5.8
Dale Davis,4,29.3,4.3,2.0,3.0,66.7,0.0,0.0,0.0,0.3,1.0,25.0,1.0,7.0,8.0,1.0,1.0,1.0,0.8,12.8
Pooh Richardson,4,23.8,4.3,1.5,3.8,40.0,0.3,0.3,100,1.0,1.5,66.7,0.3,2.5,2.8,5.8,0.5,0.0,1.5,9.0
Rick Fox,4,17.8,4.3,1.8,6.3,28.0,0.3,0.8,33.3,0.5,0.5,100,2.0,2.8,4.8,1.3,0.5,0.3,1.0,5.5
Gary Grant,5,20.2,4.2,2.0,6.2,32.3,0.0,0.0,0.0,0.2,0.4,50.0,0.2,0.2,0.4,4.6,0.6,0.0,1.4,4.0
Lester Conner,5,12.8,4.2,1.8,2.4,75.0,0.2,0.2,100,0.4,0.4,100,0.6,0.8,1.4,2.0,0.6,0.2,0.0,7.8
