Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Hakeem Olajuwon,4,40.5,37.5,14.0,24.5,57.1,0.0,0.3,0.0,9.5,10.8,88.4,5.0,11.8,16.8,1.8,2.3,2.8,2.3,47.0
Michael Jordan,10,42.7,36.3,13.8,26.0,53.1,0.1,0.3,33.3,8.6,9.9,86.9,2.3,4.8,7.1,4.7,2.4,1.1,3.9,34.2
Dominique Wilkins,12,39.4,31.2,11.4,25.0,45.7,0.3,1.5,22.2,8.0,10.4,76.8,3.1,3.3,6.4,2.8,1.3,0.5,2.5,23.8
Karl Malone,11,44.9,29.7,11.2,23.2,48.2,0.0,0.1,0.0,7.4,10.2,72.3,3.0,8.8,11.8,1.5,1.2,0.6,3.5,26.5
Terry Cummings,5,38.6,25.8,10.0,17.8,56.2,0.0,0.0,0.0,5.8,8.8,65.9,2.4,5.4,7.8,2.6,1.8,0.6,2.4,25.4
Tom Chambers,5,33.6,25.8,10.0,18.2,54.9,0.0,0.4,0.0,5.8,7.0,82.9,1.6,4.6,6.2,2.2,0.6,0.2,2.6,23.0
Jeff Malone,5,39.8,25.6,10.0,19.4,51.5,0.0,0.2,0.0,5.6,7.4,75.7,0.6,2.8,3.4,2.2,1.0,1.0,2.8,19.2
Kevin McHale,17,42.1,25.4,9.3,15.4,60.3,0.1,0.1,100,6.8,8.1,83.9,3.2,4.8,8.0,2.4,0.4,1.8,2.3,28.2
Larry Bird,17,44.9,24.5,8.9,19.9,45.0,0.7,1.9,37.5,5.9,6.6,89.4,1.7,7.1,8.8,6.8,2.1,0.8,2.9,28.5
Alex English,11,39.8,24.3,10.5,23.2,45.5,0.0,0.3,0.0,3.2,3.9,81.4,2.8,2.5,5.4,4.4,0.6,0.3,1.5,20.1
Alvin Robertson,3,39.7,23.3,10.0,17.7,56.6,1.0,2.3,42.9,2.3,3.0,77.8,1.7,3.0,4.7,9.3,4.0,0.3,3.0,30.3
Thurl Bailey,11,40.8,23.2,9.0,18.5,48.8,0.0,0.1,0.0,5.2,6.2,83.8,1.9,3.8,5.7,1.6,0.5,2.1,1.9,20.8
Clyde Drexler,4,42.5,22.0,8.0,20.8,38.6,0.8,1.5,50.0,5.3,7.3,72.4,3.0,4.0,7.0,5.3,3.0,0.5,3.0,20.0
Walter Berry,3,31.3,22.0,9.0,16.7,54.0,0.0,0.3,0.0,4.0,5.0,80.0,4.3,2.7,7.0,2.0,1.7,0.7,3.7,21.0
Isiah Thomas,23,39.6,21.9,8.0,18.2,43.7,0.6,1.9,29.5,5.4,6.6,82.8,1.1,3.5,4.7,8.7,2.9,0.3,3.7,23.4
Mark Aguirre,17,32.8,21.6,8.6,17.3,50.0,0.8,2.0,38.2,3.5,5.1,69.8,2.0,3.9,5.9,3.3,0.8,0.5,2.4,19.5
Kevin Duckworth,4,37.8,21.5,8.5,17.5,48.6,0.0,0.3,0.0,4.5,5.8,78.3,5.0,6.0,11.0,1.8,0.3,0.5,5.3,19.5
Xavier McDaniel,5,36.0,21.2,9.0,16.2,55.6,0.8,1.6,50.0,2.4,4.8,50.0,2.8,6.8,9.6,5.0,0.6,0.2,2.2,24.8
James Worthy,24,37.3,21.1,8.5,16.3,52.3,0.0,0.4,11.1,4.0,5.3,75.8,2.2,3.6,5.8,4.4,1.4,0.8,2.3,22.1
Mark Price,5,41.0,21.0,7.6,13.4,56.7,1.0,2.4,41.7,4.8,5.0,96.0,0.6,3.0,3.6,7.6,0.6,0.0,1.6,25.2
Dale Ellis,5,34.4,20.8,8.0,16.6,48.2,0.6,2.4,25.0,4.2,5.8,72.4,2.2,2.4,4.6,3.0,0.6,0.4,2.4,16.8
Gerald Wilkins,4,37.3,20.0,8.3,17.3,47.8,0.5,1.0,50.0,3.0,3.5,85.7,0.3,1.8,2.0,4.8,1.0,0.0,2.8,15.5
Magic Johnson,24,40.2,19.9,7.0,13.7,51.4,0.3,0.6,50.0,5.5,6.5,85.2,1.3,4.1,5.4,12.6,1.4,0.2,3.5,28.4
Jerome Kersey,4,31.8,19.8,8.0,16.3,49.2,0.0,0.3,0.0,3.8,5.3,71.4,4.3,3.3,7.5,2.3,1.8,1.0,1.3,21.3
Byron Scott,24,37.4,19.6,7.4,14.9,49.9,1.0,2.3,43.6,3.8,4.3,86.5,1.1,3.1,4.2,2.5,1.4,0.2,2.0,17.9
John Stockton,11,43.5,19.5,6.2,12.2,50.7,0.4,1.3,28.6,6.8,8.3,82.4,1.3,2.8,4.1,14.8,3.4,0.3,4.4,30.3
Adrian Dantley,23,35.0,19.4,6.7,12.7,52.4,0.0,0.1,0.0,6.1,7.7,78.7,1.6,3.0,4.7,2.0,0.8,0.0,2.2,17.0
Frank Brickowski,3,37.7,19.3,7.3,14.7,50.0,0.3,0.3,100,4.3,6.3,68.4,2.3,5.0,7.3,4.7,2.0,0.7,3.0,21.7
Jack Sikma,5,38.0,19.0,7.0,15.2,46.1,0.0,0.6,0.0,5.0,6.0,83.3,4.8,7.6,12.4,2.6,0.4,0.8,3.0,23.0
Johnny Newman,4,28.3,19.0,7.8,17.0,45.6,0.0,2.3,0.0,3.5,4.0,87.5,2.0,0.8,2.8,1.8,1.5,0.3,1.5,14.0
Patrick Ewing,4,38.3,18.8,7.0,14.3,49.1,0.0,0.3,0.0,4.8,5.5,86.4,4.0,8.8,12.8,2.5,1.5,3.3,2.8,28.0
Sleepy Floyd,4,38.5,18.8,6.5,15.3,42.6,1.0,2.0,50.0,4.8,5.5,86.4,0.8,1.0,1.8,8.5,2.0,0.0,3.0,18.5
Moses Malone,5,39.6,18.6,6.0,13.0,46.2,0.0,0.2,0.0,6.6,8.0,82.5,4.4,6.8,11.2,1.4,0.6,0.8,3.0,21.2
Rolando Blackman,17,39.5,18.1,7.4,15.4,48.3,0.0,0.2,0.0,3.2,3.6,88.7,1.5,1.7,3.2,4.5,0.9,0.2,1.5,17.1
Roy Tarpley,17,33.1,17.9,7.4,14.2,51.9,0.0,0.2,0.0,3.2,4.3,74.0,5.2,7.7,12.9,1.8,1.2,1.5,1.9,25.5
Terry Porter,4,37.3,17.0,7.3,13.0,55.8,0.3,0.8,33.3,2.3,3.3,69.2,1.0,2.5,3.5,7.0,2.5,0.0,3.3,20.0
Larry Nance,5,40.0,16.8,6.8,12.8,53.1,0.0,0.0,0.0,3.2,3.6,88.9,2.0,5.2,7.2,3.6,0.4,2.2,2.8,21.0
Dan Schayes,11,28.5,16.4,5.0,8.0,62.5,0.0,0.0,0.0,6.4,7.5,84.3,2.7,4.5,7.2,1.6,0.3,0.9,2.2,20.0
Kevin Willis,12,38.5,16.2,6.7,11.5,58.0,0.0,0.1,0.0,2.8,4.2,68.0,3.0,6.0,9.0,0.9,0.8,0.8,2.1,19.5
Dennis Johnson,17,41.3,15.9,5.4,12.4,43.3,0.4,0.9,37.5,4.8,6.1,79.6,0.9,3.6,4.5,8.2,1.4,0.5,2.6,19.6
Brad Daugherty,5,40.8,15.8,5.8,12.6,46.0,0.0,0.0,0.0,4.2,6.2,67.7,2.0,7.2,9.2,3.2,0.4,1.4,3.2,18.0
Doc Rivers,12,34.1,15.7,5.9,11.6,51.1,0.6,1.8,31.8,3.3,3.6,90.7,0.7,4.3,4.9,9.6,2.1,0.2,2.1,24.3
Bob Hansen,11,37.1,15.4,6.1,12.3,49.6,1.7,3.3,52.8,1.5,2.0,72.7,0.7,2.8,3.5,2.9,0.6,0.0,2.5,13.3
Sidney Moncrief,5,34.6,15.0,4.8,10.0,48.0,0.2,0.2,100,5.2,5.4,96.3,1.2,2.6,3.8,5.2,0.6,0.2,2.2,17.2
Robert Parish,17,36.8,14.7,5.9,11.1,53.2,0.0,0.0,0.0,2.9,3.6,82.0,3.0,6.9,9.9,1.2,0.6,1.1,2.2,19.5
Mark Jackson,4,42.8,14.3,5.5,15.0,36.7,1.3,3.0,41.7,2.0,2.8,72.7,1.5,3.3,4.8,9.8,2.5,0.0,3.5,17.5
Kareem Abdul-Jabbar,24,29.9,14.1,5.9,12.7,46.4,0.0,0.1,0.0,2.3,3.0,78.9,2.0,3.4,5.5,1.5,0.6,1.5,1.9,13.9
Paul Pressey,5,35.6,14.0,4.6,10.0,46.0,0.2,0.6,33.3,4.6,6.0,76.7,1.2,2.6,3.8,6.6,0.8,0.6,3.2,15.8
Bernard King,5,33.6,13.8,5.2,10.6,49.1,0.0,0.0,0.0,3.4,4.2,81.0,0.6,1.6,2.2,1.8,0.6,0.0,2.8,9.4
Derek Harper,17,35.4,13.5,5.2,11.9,44.1,0.5,2.1,25.0,2.5,3.5,72.9,0.6,1.9,2.5,7.1,1.9,0.3,1.9,15.9
Sam Perkins,17,33.6,13.5,5.2,11.5,45.1,0.1,0.4,14.3,3.1,3.9,80.3,2.3,4.3,6.6,1.8,1.5,1.0,1.8,15.6
Michael Adams,11,36.9,13.4,4.3,11.8,36.2,1.5,4.9,31.5,3.3,3.7,87.8,0.8,2.5,3.3,5.8,1.6,0.2,2.1,14.2
John Williams,5,37.0,13.0,4.6,9.6,47.9,0.0,0.2,0.0,3.8,6.4,59.4,2.2,3.6,5.8,4.2,1.6,0.8,2.4,15.4
Mike Sanders,5,26.8,12.8,5.6,10.4,53.8,0.0,0.2,0.0,1.6,2.0,80.0,2.2,2.8,5.0,1.4,0.6,0.4,2.2,12.8
Greg Anderson,3,31.7,12.7,5.7,12.0,47.2,0.0,0.0,0.0,1.3,3.0,44.4,2.0,5.0,7.0,1.0,0.7,1.3,3.3,11.3
Blair Rasmussen,11,25.2,12.5,5.5,11.5,47.2,0.0,0.0,0.0,1.6,1.8,90.0,2.3,4.2,6.5,0.6,0.1,1.1,0.5,14.0
Joe Dumars,23,35.0,12.3,4.9,10.7,45.7,0.1,0.3,33.3,2.4,2.7,88.9,0.8,1.4,2.2,4.9,0.6,0.1,1.7,12.2
Derrick McKey,5,21.8,12.0,4.8,7.6,63.2,0.4,1.2,33.3,2.0,3.4,58.8,1.4,2.6,4.0,1.6,0.6,1.0,1.0,14.0
Bill Laimbeer,23,33.9,11.9,5.0,10.9,45.6,0.2,0.7,29.4,1.7,2.0,88.9,1.9,7.7,9.6,1.9,0.8,0.8,1.3,17.6
