Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
LeBron James,23,42.7,30.3,10.9,21.8,50.0,1.0,3.7,25.9,7.5,10.2,73.9,2.3,7.4,9.7,5.6,1.9,0.7,3.5,31.1
Kobe Bryant,12,39.7,30.0,11.0,25.1,43.9,1.4,5.0,28.3,6.6,7.9,83.2,1.3,3.5,4.8,4.3,1.3,0.2,2.8,22.4
Kevin Durant,20,41.9,28.5,9.9,19.2,51.7,2.1,5.5,37.3,6.7,7.7,86.4,0.7,6.8,7.4,3.7,1.5,1.2,3.2,28.8
Carmelo Anthony,5,40.8,27.8,10.4,24.8,41.9,0.8,3.6,22.2,6.2,8.2,75.6,2.6,5.6,8.2,2.2,1.2,0.2,2.8,20.4
Dirk Nowitzki,4,38.5,26.8,8.5,19.3,44.2,0.3,1.5,16.7,9.5,10.5,90.5,0.8,5.5,6.3,1.8,0.8,0.0,2.5,21.3
Russell Westbrook,20,38.4,23.1,8.9,20.4,43.5,0.9,3.3,27.7,4.5,5.6,80.2,1.1,4.4,5.5,5.9,1.6,0.4,2.3,21.5
Dwyane Wade,23,39.4,22.8,8.6,18.5,46.2,0.4,1.5,29.4,5.3,7.2,72.9,1.4,3.8,5.2,4.3,1.7,1.3,3.0,20.5
Tony Parker,14,36.1,20.1,7.3,16.1,45.3,0.5,1.5,33.3,5.1,6.3,80.7,0.6,3.0,3.6,6.8,0.9,0.0,3.1,18.3
Kevin Garnett,20,36.9,19.2,8.0,16.0,49.7,0.1,0.2,25.0,3.3,4.0,81.3,1.6,8.8,10.3,1.5,1.2,1.5,2.2,22.6
Blake Griffin,11,35.7,19.1,7.6,15.3,50.0,0.0,0.1,0.0,3.8,6.0,63.6,1.7,5.2,6.9,2.5,1.8,0.9,2.3,19.1
Glen Davis,5,38.0,19.0,7.8,17.8,43.8,0.0,0.0,0.0,3.4,4.4,77.3,4.6,4.6,9.2,0.8,0.6,1.2,1.8,18.0
Rudy Gay,7,39.9,19.0,6.9,16.3,42.1,0.6,2.7,21.1,4.7,5.7,82.5,1.4,5.1,6.6,1.4,1.3,0.3,3.0,15.1
Ty Lawson,7,34.6,19.0,8.0,15.6,51.4,1.3,4.0,32.1,1.7,2.7,63.2,0.6,2.0,2.6,6.0,1.0,0.1,1.1,19.0
Paul Pierce,20,38.9,18.9,6.0,15.6,38.6,1.4,4.4,31.0,5.5,6.2,89.4,0.7,5.4,6.1,3.1,1.5,0.9,2.8,17.4
Al Jefferson,4,35.3,18.3,9.0,17.0,52.9,0.0,0.3,0.0,0.3,1.0,25.0,1.8,6.8,8.5,2.5,1.3,0.8,1.3,21.3
Chris Paul,11,38.5,17.6,6.4,14.9,42.7,1.2,3.5,33.3,3.7,4.3,87.2,0.5,4.5,5.1,7.9,2.7,0.1,3.9,20.5
Tim Duncan,14,33.1,17.4,7.2,14.6,49.5,0.0,0.1,0.0,2.9,4.1,70.7,2.3,7.1,9.4,2.8,0.7,2.1,1.5,22.2
Rajon Rondo,19,42.6,17.3,7.4,15.8,46.8,0.4,1.6,26.7,2.1,2.9,69.6,1.8,4.9,6.7,11.9,2.4,0.1,3.8,25.4
Joe Johnson,6,40.5,17.2,6.3,17.0,37.3,1.5,6.0,25.0,3.0,4.0,75.0,1.0,2.5,3.5,3.5,1.3,0.2,2.7,11.3
Danny Granger,11,38.2,17.0,6.3,15.8,39.7,2.4,6.6,35.6,2.1,2.5,82.1,1.4,4.3,5.6,2.5,0.5,0.4,2.6,13.4
Andrew Bynum,12,37.6,16.7,6.1,12.8,47.7,0.0,0.0,0.0,4.5,5.8,78.3,3.8,7.3,11.1,1.5,0.4,3.1,1.3,23.5
James Harden,20,31.5,16.3,4.7,10.7,43.5,1.6,3.9,41.0,5.4,6.3,85.7,0.7,4.5,5.1,3.4,1.6,0.1,2.1,17.4
Jrue Holiday,13,38.0,15.8,5.7,13.8,41.3,1.5,3.8,40.8,2.9,3.4,86.4,1.3,3.4,4.7,5.2,1.5,0.6,2.0,17.3
