Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
George Gervin,9,41.4,29.4,11.4,25.3,45.2,0.0,0.3,0.0,6.6,7.9,83.1,2.1,5.2,7.3,4.6,1.1,0.4,3.4,24.2
Gus Williams,8,39.4,26.3,10.3,23.3,44.1,0.3,0.8,33.3,5.5,7.0,78.6,1.5,1.8,3.3,8.1,1.6,0.6,2.3,23.1
Dan Issel,3,34.3,25.3,10.7,20.0,53.3,0.0,0.0,0.0,4.0,4.0,100,2.7,4.3,7.0,1.7,1.0,0.3,2.3,23.7
Moses Malone,3,45.3,24.0,9.7,22.3,43.3,0.0,0.0,0.0,4.7,5.0,93.3,9.3,7.7,17.0,3.3,0.7,0.7,2.0,30.7
Kiki Vandeweghe,3,36.3,22.7,8.3,14.3,58.1,0.0,0.0,0.0,6.0,6.0,100,1.3,4.7,6.0,3.0,0.7,1.3,2.0,25.7
Dennis Johnson,7,38.7,22.3,9.0,18.9,47.7,0.0,0.6,0.0,4.3,5.6,76.9,1.9,2.6,4.4,4.6,2.1,0.6,3.6,19.3
Julius Erving,21,37.1,22.0,8.0,15.4,51.9,0.0,0.3,16.7,5.9,7.9,75.2,2.7,4.7,7.4,4.7,1.8,1.8,3.2,25.0
Andrew Toney,21,33.7,21.8,8.8,17.4,50.7,0.2,0.7,33.3,3.9,4.9,79.6,1.0,1.5,2.4,4.9,0.9,0.1,3.2,17.2
Robert Parish,12,35.5,21.3,8.5,17.4,48.8,0.0,0.0,0.0,4.3,6.3,68.0,3.6,7.7,11.3,1.5,0.4,4.0,3.3,24.3
Dan Roundfield,2,42.5,21.0,8.5,18.0,47.2,0.0,0.0,0.0,4.0,7.0,57.1,3.0,8.0,11.0,1.0,1.0,2.0,3.0,20.5
Jack Sikma,8,39.4,20.5,7.1,16.0,44.5,0.0,0.0,0.0,6.3,7.3,86.2,2.6,9.5,12.1,3.0,1.1,1.0,2.0,25.9
Norm Nixon,14,39.2,20.4,8.6,18.1,47.8,0.1,0.2,33.3,3.1,4.1,75.4,0.9,2.1,3.1,8.1,1.6,0.1,2.4,20.6
Kareem Abdul-Jabbar,14,35.2,20.4,8.2,15.8,52.0,0.0,0.0,0.0,3.9,6.2,63.2,2.4,6.1,8.5,3.6,1.0,3.2,2.9,23.9
Albert King,2,29.0,20.0,9.0,16.5,54.5,0.0,0.0,0.0,2.0,2.5,80.0,1.5,2.5,4.0,3.0,2.5,0.5,2.5,19.5
Jamaal Wilkes,14,38.2,20.0,8.6,17.2,50.2,0.0,0.1,0.0,2.7,3.5,77.6,2.9,2.1,5.0,2.6,1.1,0.2,2.9,16.8
Spencer Haywood,7,33.0,20.0,8.1,16.4,49.6,0.0,0.0,0.0,3.7,5.0,74.3,2.3,3.3,5.6,1.0,0.6,2.0,2.1,17.4
Mickey Johnson,6,34.3,19.8,7.2,12.5,57.3,0.0,0.2,0.0,5.5,6.5,84.6,2.5,2.8,5.3,3.0,1.3,0.7,2.2,21.7
Alex English,3,39.3,19.3,8.7,18.3,47.3,0.0,0.0,0.0,2.0,2.3,85.7,2.7,5.0,7.7,5.7,1.0,1.0,1.3,23.3
Marques Johnson,6,39.2,18.8,7.3,16.7,44.0,0.2,0.7,25.0,4.0,7.0,57.1,3.8,3.5,7.3,3.3,1.0,0.3,2.0,16.5
Walter Davis,7,24.7,18.1,7.4,16.6,44.8,0.1,0.4,33.3,3.1,3.4,91.7,0.7,2.4,3.1,4.3,0.7,0.1,1.7,15.3
Larry Bird,12,40.8,17.8,7.3,17.2,42.7,0.1,0.5,16.7,3.1,3.8,82.2,2.8,9.8,12.5,5.6,1.9,1.4,3.2,25.6
Buck Williams,2,39.5,17.5,7.0,13.0,53.8,0.0,0.0,0.0,3.5,7.5,46.7,5.5,5.0,10.5,1.5,0.5,1.0,2.0,19.0
Magic Johnson,14,40.1,17.4,5.9,11.2,52.9,0.0,0.3,0.0,5.5,6.6,82.8,3.9,7.4,11.3,9.3,2.9,0.2,3.1,31.4
Jeff Ruland,7,33.9,17.0,5.4,11.3,48.1,0.0,0.1,0.0,6.1,8.0,76.8,4.1,5.3,9.4,0.7,0.4,0.6,3.3,17.1
Ray Williams,2,38.5,17.0,7.0,23.5,29.8,1.0,2.5,40.0,2.0,2.5,80.0,4.0,2.0,6.0,7.0,2.0,0.0,3.0,12.0
Alvan Adams,7,33.3,16.9,6.9,13.1,52.2,0.0,0.0,0.0,3.1,4.0,78.6,2.7,4.6,7.3,3.7,2.0,1.4,3.0,21.1
Brian Winters,6,38.7,16.8,6.3,12.8,49.4,0.8,1.7,50.0,3.3,4.0,83.3,0.7,1.8,2.5,4.7,1.3,0.2,3.7,14.7
Bob McAdoo,14,27.7,16.7,7.2,12.8,56.4,0.0,0.0,0.0,2.3,3.4,68.1,1.5,5.3,6.8,1.6,0.7,1.5,2.5,18.1
Kevin McHale,12,28.7,16.2,6.4,11.2,57.5,0.0,0.0,0.0,3.3,4.4,75.5,3.4,3.7,7.1,0.9,0.4,2.3,1.3,19.7
Bob Lanier,6,35.3,16.0,6.8,13.3,51.3,0.0,0.2,0.0,2.3,4.2,56.0,3.0,4.5,7.5,3.7,1.3,0.8,2.3,18.7
Frank Johnson,7,40.0,15.6,5.7,14.9,38.5,0.7,1.7,41.7,3.4,4.0,85.7,1.0,2.1,3.1,8.4,1.4,0.0,4.1,14.7
Sidney Moncrief,6,42.0,15.3,5.2,12.3,41.9,0.0,0.2,0.0,5.0,6.3,78.9,2.5,2.5,5.0,4.0,1.5,0.3,2.0,15.7
Mark Olberding,9,36.4,14.7,5.9,13.3,44.2,0.0,0.1,0.0,2.9,3.4,83.9,2.2,4.2,6.4,3.6,1.0,0.7,3.0,15.3
Cedric Maxwell,12,32.1,14.5,5.2,10.0,51.7,0.0,0.0,0.0,4.2,5.8,71.4,3.1,4.2,7.3,2.2,1.5,0.9,2.0,17.8
Maurice Cheeks,21,36.4,14.3,6.0,12.6,47.2,0.0,0.4,11.1,2.4,3.1,76.9,0.7,2.2,3.0,8.2,2.3,0.3,2.3,18.3
Allen Leavell,3,31.0,14.0,6.7,15.7,42.6,0.0,0.3,0.0,0.7,0.7,100,0.3,1.3,1.7,3.3,1.3,0.3,1.3,10.3
Billy McKinney,3,30.3,14.0,5.3,9.0,59.3,0.0,0.3,0.0,3.3,4.0,83.3,0.7,1.3,2.0,3.3,1.0,0.0,1.7,14.3
Darwin Cook,2,43.0,14.0,6.5,16.5,39.4,0.0,1.5,0.0,1.0,3.0,33.3,0.0,1.5,1.5,4.5,1.0,1.0,4.5,5.5
Elvin Hayes,3,41.3,14.0,5.7,16.7,34.0,0.0,0.0,0.0,2.7,5.0,53.3,2.3,7.7,10.0,1.0,0.7,3.3,2.0,13.7
Kyle Macy,7,34.7,13.6,5.4,12.7,42.7,0.6,1.6,36.4,2.1,2.3,93.8,1.6,1.6,3.1,4.0,1.0,0.1,1.9,12.6
