Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Jerry West,18,42.1,30.9,10.9,23.5,46.3,-,-,-,9.1,11.3,80.4,-,-,3.9,7.5,-,-,-,27.5
Earl Monroe,4,42.8,28.3,11.0,28.5,38.6,-,-,-,6.3,7.8,80.6,-,-,5.3,4.0,-,-,-,18.5
Elvin Hayes,6,46.3,25.8,10.0,19.0,52.6,-,-,-,5.8,8.8,66.0,-,-,13.8,0.8,-,-,-,28.5
Willis Reed,10,42.9,25.7,10.1,19.8,51.0,-,-,-,5.5,7.0,78.6,-,-,14.1,1.9,-,-,-,30.5
John Havlicek,18,47.2,25.4,9.4,21.2,44.5,-,-,-,6.6,7.7,85.5,-,-,9.9,5.6,-,-,-,28.1
Billy Cunningham,5,43.4,24.4,9.8,23.4,41.9,-,-,-,4.8,7.6,63.2,-,-,12.6,2.4,-,-,-,23.0
Zelmo Beaty,11,43.0,22.5,9.3,21.5,43.2,-,-,-,3.9,5.8,67.2,-,-,12.9,2.3,-,-,-,23.5
Lou Hudson,11,38.5,22.0,9.2,19.6,46.8,-,-,-,3.6,4.7,76.9,-,-,5.4,2.9,-,-,-,18.7
Walt Frazier,10,41.5,21.2,8.9,17.7,50.3,-,-,-,3.4,5.7,59.6,-,-,7.4,9.1,-,-,-,26.6
Kevin Loughery,4,43.3,20.3,7.3,19.8,36.7,-,-,-,5.8,8.8,65.7,-,-,4.5,5.3,-,-,-,14.5
Don Kojis,6,38.7,20.2,8.0,18.2,44.0,-,-,-,4.2,5.2,80.6,-,-,8.5,3.5,-,-,-,21.0
Archie Clark,5,37.0,19.4,8.0,15.4,51.9,-,-,-,3.4,3.8,89.5,-,-,3.8,4.4,-,-,-,19.8
Wes Unseld,4,41.3,18.8,7.5,14.3,52.6,-,-,-,3.8,4.8,78.9,-,-,18.5,1.3,-,-,-,30.8
Darrall Imhoff,5,38.2,18.2,6.6,13.2,50.0,-,-,-,5.0,7.6,65.8,-,-,16.4,2.4,-,-,-,27.8
Rudy LaRusso,6,35.8,18.2,5.7,15.0,37.8,-,-,-,6.8,8.8,77.4,-,-,8.5,2.5,-,-,-,17.8
Sam Jones,18,28.6,16.8,6.9,16.4,41.9,-,-,-,3.1,3.8,79.7,-,-,3.2,2.1,-,-,-,11.8
Dick Barnett,10,40.2,16.7,6.5,16.3,39.9,-,-,-,3.7,5.4,68.5,-,-,3.5,2.7,-,-,-,11.4
Nate Thurmond,6,43.8,16.7,6.7,17.0,39.2,-,-,-,3.3,5.7,58.8,-,-,19.5,4.7,-,-,-,28.2
Bill Bradley,10,41.9,16.0,6.5,14.1,46.1,-,-,-,3.0,3.9,76.9,-,-,7.3,4.0,-,-,-,18.8
Hal Greer,5,40.8,16.0,5.2,16.2,32.1,-,-,-,5.6,7.2,77.8,-,-,6.0,4.6,-,-,-,14.0
Bill Bridges,11,40.2,15.6,6.3,14.2,44.2,-,-,-,3.1,4.4,70.8,-,-,16.2,3.4,-,-,-,26.0
Elgin Baylor,18,35.6,15.4,5.9,15.4,38.5,-,-,-,3.5,5.4,64.9,-,-,9.2,4.1,-,-,-,17.3
Bailey Howell,18,30.6,15.0,6.2,12.7,48.9,-,-,-,2.6,3.6,71.9,-,-,6.6,1.1,-,-,-,15.1
Joe Caldwell,11,36.7,14.7,5.9,12.2,48.5,-,-,-,2.9,6.3,46.4,-,-,5.0,3.4,-,-,-,13.5
Jeff Mullins,6,30.0,14.3,6.5,16.0,40.6,-,-,-,1.3,1.8,72.7,-,-,3.0,3.8,-,-,-,11.2
Walt Hazzard,11,32.7,14.0,4.8,12.3,39.3,-,-,-,4.4,5.5,78.7,-,-,3.0,3.9,-,-,-,12.3
Johnny Egan,18,31.7,13.9,5.2,12.1,43.3,-,-,-,3.5,4.4,78.8,-,-,2.4,3.9,-,-,-,12.5
Wilt Chamberlain,18,46.2,13.9,5.3,9.8,54.5,-,-,-,3.2,8.2,39.2,-,-,24.7,2.6,-,-,-,31.7
Jack Marin,4,38.3,13.8,6.0,12.8,47.1,-,-,-,1.8,2.8,63.6,-,-,4.5,3.0,-,-,-,13.5
Stu Lantz,6,34.7,13.5,5.0,11.5,43.5,-,-,-,3.5,4.5,77.8,-,-,3.5,1.7,-,-,-,11.2
Ray Scott,4,34.3,13.3,5.8,13.0,44.2,-,-,-,1.8,2.0,87.5,-,-,8.0,1.0,-,-,-,14.8
Don Nelson,18,19.3,12.4,4.8,9.3,51.8,-,-,-,2.8,3.3,83.3,-,-,4.6,1.2,-,-,-,13.2
Jim King,6,23.7,12.0,4.8,13.0,37.2,-,-,-,2.3,3.0,77.8,-,-,4.2,2.8,-,-,-,10.2
Rick Adelman,6,31.2,11.7,4.0,8.8,45.3,-,-,-,3.7,6.2,59.5,-,-,2.5,4.8,-,-,-,11.7
Mel Counts,18,24.6,11.2,4.1,10.7,38.5,-,-,-,3.0,3.9,76.1,-,-,7.9,1.4,-,-,-,13.1
Larry Siegfried,18,21.8,11.1,4.0,9.6,41.9,-,-,-,3.1,3.9,78.6,-,-,2.1,2.6,-,-,-,9.3
Emmette Bryant,18,33.7,11.0,4.4,10.7,40.9,-,-,-,2.2,2.9,75.5,-,-,4.9,3.0,-,-,-,11.8
Bill Russell,18,46.1,10.8,4.3,10.1,42.3,-,-,-,2.3,4.5,50.6,-,-,20.5,5.4,-,-,-,28.7
Joe Ellis,6,26.8,10.3,3.8,13.2,29.1,-,-,-,2.7,4.2,64.0,-,-,8.5,0.5,-,-,-,8.5
Toby Kimball,6,32.8,9.8,3.8,8.8,43.4,-,-,-,2.2,4.2,52.0,-,-,12.3,0.7,-,-,-,15.8
Keith Erickson,18,24.8,7.1,3.1,7.9,39.4,-,-,-,0.8,1.4,60.0,-,-,4.8,2.2,-,-,-,8.7
Don Ohl,11,17.6,6.6,2.7,7.8,34.9,-,-,-,1.2,2.0,59.1,-,-,1.2,1.5,-,-,-,3.4
Wali Jones,5,20.6,6.4,2.4,9.0,26.7,-,-,-,1.6,2.0,80.0,-,-,3.2,1.8,-,-,-,4.4
Paul Silas,11,23.5,5.5,1.9,5.3,36.2,-,-,-,1.7,3.4,51.4,-,-,8.4,1.9,-,-,-,10.8
Bill Turner,6,16.0,5.5,2.2,5.8,37.1,-,-,-,1.2,1.8,63.6,-,-,4.2,0.8,-,-,-,6.2
