Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Gilbert Arenas,6,47.3,34.0,10.8,23.3,46.4,3.3,7.7,43.5,9.0,11.7,77.1,1.2,4.3,5.5,5.3,2.2,0.7,3.3,29.2
LeBron James,13,46.5,30.8,11.2,23.6,47.6,1.6,4.8,33.3,6.7,9.1,73.7,1.7,6.4,8.1,5.8,1.4,0.7,5.0,27.0
Vince Carter,11,40.9,29.6,10.3,22.2,46.3,1.3,5.3,24.1,7.8,9.8,79.6,1.5,5.5,7.0,5.3,1.8,0.5,2.4,28.0
Dwyane Wade,23,41.7,28.4,9.5,19.2,49.7,0.6,1.6,37.8,8.8,10.9,80.8,1.2,4.7,5.9,5.7,2.2,1.1,3.9,27.7
Kobe Bryant,7,44.9,27.9,10.3,20.7,49.7,2.0,5.0,40.0,5.3,6.9,77.1,0.6,5.7,6.3,5.1,1.1,0.4,4.7,24.1
Michael Redd,5,37.0,27.2,8.8,16.8,52.4,1.4,3.0,46.7,8.2,9.2,89.1,3.2,2.2,5.4,1.6,0.8,0.0,2.0,24.0
Dirk Nowitzki,23,42.7,27.0,8.5,18.2,46.8,1.0,2.9,34.3,8.9,10.0,89.5,2.0,9.6,11.7,2.9,1.1,0.6,2.1,30.3
Tim Duncan,13,37.9,25.8,9.3,16.2,57.3,0.0,0.2,0.0,7.2,10.1,71.8,2.5,8.0,10.5,3.3,0.8,1.9,2.6,30.1
Elton Brand,12,43.1,25.4,10.3,18.8,55.1,0.0,0.1,0.0,4.8,6.3,75.0,4.3,6.0,10.3,4.0,0.9,2.6,2.4,30.8
Bonzi Wells,6,41.5,23.2,8.8,14.5,60.9,0.8,1.3,62.5,4.7,7.2,65.1,4.2,7.8,12.0,1.3,0.8,0.3,3.0,26.5
Andres Nocioni,6,38.3,22.3,7.8,14.0,56.0,1.7,3.5,47.6,5.0,5.8,85.7,0.8,8.0,8.8,1.5,0.8,0.3,2.3,24.5
Richard Jefferson,11,39.7,22.2,8.2,15.0,54.5,1.1,2.6,41.4,4.7,5.7,82.5,0.6,3.5,4.1,4.1,0.9,0.4,2.7,21.1
Tony Parker,13,36.5,21.1,8.0,17.4,46.0,0.2,0.7,22.2,4.9,6.1,81.0,0.6,3.0,3.6,3.8,1.0,0.1,3.1,16.0
Ben Gordon,6,40.8,21.0,7.2,17.7,40.6,2.5,6.8,36.6,4.2,6.2,67.6,0.8,2.5,3.3,3.0,1.0,0.0,2.8,13.0
Carmelo Anthony,5,38.6,21.0,6.6,19.8,33.3,0.0,0.8,0.0,7.8,10.4,75.0,2.4,4.2,6.6,2.8,0.8,0.2,3.0,12.6
Jermaine O'Neal,6,36.0,21.0,7.3,14.0,52.4,0.0,0.3,0.0,6.3,8.8,71.7,1.5,6.0,7.5,1.7,0.5,2.3,4.3,19.5
Kirk Hinrich,6,39.0,20.5,6.5,15.7,41.5,1.5,4.3,34.6,6.0,7.0,85.7,0.0,3.3,3.3,7.7,1.3,0.3,4.0,19.0
Richard Hamilton,18,38.3,20.4,7.1,17.2,41.3,0.8,2.2,35.0,5.4,6.3,85.1,0.9,2.0,2.9,2.7,0.9,0.3,2.2,13.9
