Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Paul Arizin,10,40.9,28.9,10.3,22.9,45.0,-,-,-,8.3,9.9,83.8,-,-,8.4,2.9,-,-,-,26.0
Bob Cousy,3,41.3,26.3,9.3,18.7,50.0,-,-,-,7.7,8.3,92.0,-,-,8.0,8.7,-,-,-,33.0
George Yardley,10,40.6,23.0,7.7,18.3,42.1,-,-,-,7.6,9.8,77.6,-,-,13.9,2.6,-,-,-,26.7
Dolph Schayes,8,38.8,22.1,6.5,17.8,36.6,-,-,-,9.1,10.4,88.0,-,-,13.9,3.4,-,-,-,26.9
Neil Johnston,10,39.7,20.3,6.9,16.9,40.8,-,-,-,6.5,9.2,70.7,-,-,14.3,5.1,-,-,-,27.0
Bob Pettit,8,34.3,19.1,5.9,16.0,36.7,-,-,-,7.4,8.8,84.3,-,-,10.5,2.3,-,-,-,20.4
Clyde Lovellette,3,23.0,19.0,6.3,13.0,48.7,-,-,-,6.3,10.7,59.4,-,-,8.3,2.0,-,-,-,18.3
Slater Martin,3,40.3,18.0,5.7,12.3,45.9,-,-,-,6.7,8.0,83.3,-,-,2.3,5.0,-,-,-,17.3
Bill Sharman,3,39.7,17.3,6.0,15.3,39.1,-,-,-,5.3,5.7,94.1,-,-,2.3,4.0,-,-,-,14.0
Larry Foust,10,28.9,16.8,4.9,13.0,37.7,-,-,-,7.0,8.9,78.7,-,-,12.7,1.4,-,-,-,20.9
Al Ferrari,8,33.0,14.8,4.0,10.6,37.6,-,-,-,6.8,8.8,77.1,-,-,4.1,3.0,-,-,-,13.3
George King,8,39.6,14.5,4.9,13.5,36.1,-,-,-,4.8,6.0,79.2,-,-,5.9,7.5,-,-,-,18.0
Dick Schnittker,3,29.0,14.3,4.3,7.7,56.5,-,-,-,5.7,6.7,85.0,-,-,5.0,1.7,-,-,-,16.7
Jack Coleman,8,41.4,13.8,5.5,14.0,39.3,-,-,-,2.8,4.4,62.9,-,-,9.9,4.0,-,-,-,17.5
Jack Nichols,3,33.3,13.7,5.3,14.3,37.2,-,-,-,3.0,3.3,90.0,-,-,12.0,3.3,-,-,-,19.7
Jack George,10,40.5,13.6,4.6,11.8,39.0,-,-,-,4.4,5.9,74.6,-,-,4.7,5.2,-,-,-,14.8
Vern Mikkelsen,3,30.0,13.3,3.7,8.7,42.3,-,-,-,6.0,6.7,90.0,-,-,5.7,0.7,-,-,-,14.0
Joe Graboski,10,31.3,13.2,5.3,15.4,34.4,-,-,-,2.6,3.5,74.3,-,-,9.4,2.7,-,-,-,14.3
Charlie Share,8,28.9,12.9,4.5,9.1,49.3,-,-,-,3.9,6.0,64.6,-,-,9.1,1.6,-,-,-,16.9
Arnie Risen,3,29.3,12.3,4.0,11.3,35.3,-,-,-,4.3,6.0,72.2,-,-,14.7,0.7,-,-,-,18.7
Tom Gola,10,36.0,12.3,3.8,10.7,35.5,-,-,-,4.7,6.0,78.3,-,-,10.1,5.8,-,-,-,20.0
George Mikan,3,20.0,12.0,4.3,11.7,37.1,-,-,-,3.3,4.3,76.9,-,-,9.3,1.7,-,-,-,14.7
Johnny Kerr,8,26.6,11.1,4.6,9.6,48.1,-,-,-,1.9,4.1,45.5,-,-,8.5,1.3,-,-,-,13.6
Ed Kalafat,3,18.3,11.0,3.0,7.0,42.9,-,-,-,5.0,6.3,78.9,-,-,7.0,0.7,-,-,-,13.3
Dick Farley,8,21.1,10.9,4.3,9.0,47.2,-,-,-,2.4,3.9,61.3,-,-,2.6,3.5,-,-,-,10.8
Ed Conlin,8,24.6,10.5,3.9,10.6,36.5,-,-,-,2.8,4.8,57.9,-,-,5.9,1.1,-,-,-,8.8
Ed Macauley,3,24.3,10.3,4.0,10.0,40.0,-,-,-,2.3,3.7,63.6,-,-,5.0,1.7,-,-,-,9.7
Bob Houbregs,10,21.7,10.3,3.6,7.8,46.2,-,-,-,3.1,4.4,70.5,-,-,6.7,1.4,-,-,-,12.9
Dick Garmaker,3,14.0,10.0,2.3,6.3,36.8,-,-,-,5.3,5.7,94.1,-,-,2.7,3.7,-,-,-,12.0
Walter Devlin,10,27.5,9.7,4.1,10.1,40.6,-,-,-,1.5,2.5,60.0,-,-,2.1,2.3,-,-,-,7.1
Jim Loscutoff,3,29.7,9.7,3.7,10.3,35.5,-,-,-,2.3,3.0,77.8,-,-,8.7,1.3,-,-,-,12.3
Whitey Skoog,3,30.0,9.7,4.3,10.3,41.9,-,-,-,1.0,3.7,27.3,-,-,6.0,6.0,-,-,-,13.0
Mel Hutchins,10,37.7,9.3,3.4,11.2,30.4,-,-,-,2.5,4.1,61.0,-,-,8.8,2.3,-,-,-,11.0
Chuck Mencel,3,17.3,8.7,3.3,6.3,52.6,-,-,-,2.0,2.3,85.7,-,-,1.7,2.7,-,-,-,9.7
Red Rocha,8,23.6,8.5,2.9,8.5,33.8,-,-,-,2.8,3.3,84.6,-,-,6.5,1.9,-,-,-,10.8
Ernie Beck,10,25.0,8.4,3.1,7.2,43.1,-,-,-,2.2,3.1,71.0,-,-,5.1,2.2,-,-,-,10.7
Bob Harrison,8,32.0,8.3,3.4,9.4,36.0,-,-,-,1.5,2.4,63.2,-,-,3.0,3.6,-,-,-,8.0
Earl Lloyd,8,21.5,8.1,3.3,10.1,32.1,-,-,-,1.6,1.8,92.9,-,-,5.4,0.9,-,-,-,7.4
Alex Hannum,8,19.9,7.6,2.6,8.3,31.8,-,-,-,2.4,4.4,54.3,-,-,3.6,1.3,-,-,-,4.9
Chuck Noble,10,26.1,7.4,2.9,9.2,31.5,-,-,-,1.6,1.7,94.1,-,-,3.0,4.1,-,-,-,8.1
Frank Brian,10,16.6,6.9,2.6,6.8,38.2,-,-,-,1.7,2.1,81.0,-,-,1.2,1.7,-,-,-,5.2
Paul Seymour,7,21.9,6.7,2.3,7.9,29.1,-,-,-,2.1,2.9,75.0,-,-,1.6,2.6,-,-,-,4.6
Dick Hemric,3,18.0,6.3,1.7,8.0,20.8,-,-,-,3.0,5.3,56.3,-,-,7.3,0.3,-,-,-,5.3
Bill Kenville,8,16.0,6.0,2.0,5.6,35.6,-,-,-,2.0,2.9,69.6,-,-,2.1,1.8,-,-,-,5.4
Jack Stephens,7,16.6,5.6,1.7,5.9,29.3,-,-,-,2.1,3.6,60.0,-,-,3.3,1.3,-,-,-,4.6
Jack McMahon,8,20.3,5.4,2.4,6.9,34.5,-,-,-,0.6,1.4,45.5,-,-,1.1,1.9,-,-,-,3.1
Odie Spears,10,17.7,5.3,2.0,6.2,32.3,-,-,-,1.3,2.3,56.5,-,-,2.9,1.4,-,-,-,4.4
Lew Hitch,3,18.0,5.0,1.3,4.3,30.8,-,-,-,2.3,3.3,70.0,-,-,5.0,0.7,-,-,-,6.7
George Dempsey,10,13.4,3.8,1.2,3.0,40.0,-,-,-,1.4,2.0,70.0,-,-,2.5,1.3,-,-,-,5.2
Ernie Barrett,3,14.3,3.7,1.3,4.3,30.8,-,-,-,1.0,1.0,100,-,-,2.3,1.3,-,-,-,4.3
